,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년04월_계_총인구수,"43,223","13,204","3,796","1,632","3,928","2,391","3,619","2,665","3,474","2,900","5,614"
2020년04월_계_연령구간인구수,"43,223","13,204","3,796","1,632","3,928","2,391","3,619","2,665","3,474","2,900","5,614"
2020년04월_계_0~9세,"1,639",904,79,37,125,95,80,54,78,52,135
2020년04월_계_10~19세,"3,062","1,484",196,105,188,182,226,92,167,125,297
2020년04월_계_20~29세,"3,271","1,480",249,94,213,189,202,134,220,167,323
2020년04월_계_30~39세,"2,580","1,176",172,76,214,144,162,112,157,117,250
2020년04월_계_40~49세,"4,722","1,960",354,139,396,266,338,229,317,222,501
2020년04월_계_50~59세,"7,469","2,228",668,317,669,502,591,428,575,484,"1,007"
2020년04월_계_60~69세,"8,010","1,863",752,306,825,484,705,540,664,651,"1,220"
2020년04월_계_70~79세,"6,799","1,245",709,285,697,320,700,529,665,553,"1,096"
2020년04월_계_80~89세,"4,822",729,532,242,499,175,528,476,527,431,683
2020년04월_계_90~99세,832,134,84,31,99,33,83,70,102,95,101
2020년04월_계_100세 이상,17,1,1,0,3,1,4,1,2,3,1
2020년04월_남_총인구수,"20,795","6,470","1,808",795,"1,892","1,227","1,691","1,267","1,621","1,372","2,652"
2020년04월_남_연령구간인구수,"20,795","6,470","1,808",795,"1,892","1,227","1,691","1,267","1,621","1,372","2,652"
2020년04월_남_0~9세,884,471,38,23,76,45,52,29,43,29,78
2020년04월_남_10~19세,"1,643",791,112,54,108,98,106,58,100,61,155
2020년04월_남_20~29세,"1,967",881,149,62,121,127,118,93,117,106,193
2020년04월_남_30~39세,"1,360",586,93,42,115,81,88,67,87,63,138
2020년04월_남_40~49세,"2,559",944,200,80,223,148,197,140,192,129,306
2020년04월_남_50~59세,"3,953","1,119",372,178,371,272,320,247,297,258,519
2020년04월_남_60~69세,"3,908",887,357,149,408,241,336,263,322,332,613
2020년04월_남_70~79세,"2,938",543,307,123,309,156,310,227,288,242,433
2020년04월_남_80~89세,"1,434",230,159,78,145,54,144,134,152,137,201
2020년04월_남_90~99세,148,18,21,6,15,5,20,9,23,15,16
2020년04월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년04월_여_총인구수,"22,428","6,734","1,988",837,"2,036","1,164","1,928","1,398","1,853","1,528","2,962"
2020년04월_여_연령구간인구수,"22,428","6,734","1,988",837,"2,036","1,164","1,928","1,398","1,853","1,528","2,962"
2020년04월_여_0~9세,755,433,41,14,49,50,28,25,35,23,57
2020년04월_여_10~19세,"1,419",693,84,51,80,84,120,34,67,64,142
2020년04월_여_20~29세,"1,304",599,100,32,92,62,84,41,103,61,130
2020년04월_여_30~39세,"1,220",590,79,34,99,63,74,45,70,54,112
2020년04월_여_40~49세,"2,163","1,016",154,59,173,118,141,89,125,93,195
2020년04월_여_50~59세,"3,516","1,109",296,139,298,230,271,181,278,226,488
2020년04월_여_60~69세,"4,102",976,395,157,417,243,369,277,342,319,607
2020년04월_여_70~79세,"3,861",702,402,162,388,164,390,302,377,311,663
2020년04월_여_80~89세,"3,388",499,373,164,354,121,384,342,375,294,482
2020년04월_여_90~99세,684,116,63,25,84,28,63,61,79,80,85
2020년04월_여_100세 이상,16,1,1,0,2,1,4,1,2,3,1
