,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년04월_계_총인구수,"655,713","338,965","7,816","4,382","12,956","5,043","6,625","8,964","15,009","19,854","39,738","13,184","45,831","12,302","14,070","22,837","11,457","10,693","15,294","35,733","37,177","316,748","14,750","18,917","11,691","32,088","20,188","7,648","10,195","7,935","9,927","14,842","20,894","60,207","26,744","12,351","30,484","17,887",0
2020년04월_계_연령구간인구수,"655,713","338,965","7,816","4,382","12,956","5,043","6,625","8,964","15,009","19,854","39,738","13,184","45,831","12,302","14,070","22,837","11,457","10,693","15,294","35,733","37,177","316,748","14,750","18,917","11,691","32,088","20,188","7,648","10,195","7,935","9,927","14,842","20,894","60,207","26,744","12,351","30,484","17,887",0
2020년04월_계_0~9세,"55,480","25,268",340,112,656,192,336,365,"1,053","1,499","3,201",664,"4,152",798,734,"1,685",702,565,"1,089","3,853","3,272","30,212",714,"1,566",607,"2,825","2,118",212,493,354,702,937,"1,624","8,196","2,251",878,"3,751","2,984",0
2020년04월_계_10~19세,"73,314","37,316",497,205,879,372,483,712,"1,340","2,766","5,044",908,"5,509","1,213","1,367","2,749",989,"1,009","1,655","4,661","4,958","35,998","1,141","2,471",795,"4,234","1,639",416,689,571,811,"1,373","2,654","8,548","3,240","1,036","3,147","3,233",0
2020년04월_계_20~29세,"92,311","49,122",963,412,"1,477",521,722,"1,037","2,394","3,182","6,081","1,441","5,857","1,763","2,182","3,211","1,522","1,575","2,166","5,673","6,943","43,189","1,778","2,425","1,618","4,636","3,121","2,124","1,575",880,"1,372","2,045","2,809","7,749","3,988","1,539","3,932","1,598",0
2020년04월_계_30~39세,"82,469","40,093",793,419,"1,420",437,613,805,"1,739","2,400","4,862","1,405","5,352","1,284","1,383","2,246","1,214","1,124","1,756","4,749","6,092","42,376","1,362","1,992","1,363","4,033","3,420",945,"1,109",776,"1,303","2,080","2,166","9,406","3,047","1,711","5,248","2,415",0
2020년04월_계_40~49세,"108,083","54,330",958,558,"1,748",735,832,"1,251","2,026","3,637","6,945","1,827","7,580","1,802","1,862","3,712","1,617","1,498","2,241","6,297","7,204","53,753","1,925","3,209","1,546","6,169","3,087",892,"1,307","1,155","1,474","2,557","3,298","11,653","4,258","1,842","5,163","4,218",0
2020년04월_계_50~59세,"105,704","56,990","1,361",732,"2,123",822,"1,109","1,601","2,619","3,264","6,808","2,389","7,534","2,333","2,736","4,294","1,885","1,887","2,611","5,516","5,366","48,714","2,449","2,884","1,931","4,953","2,794","1,120","1,646","1,517","1,693","2,634","3,659","8,121","4,661","2,168","4,418","2,066",0
2020년04월_계_60~69세,"73,797","40,735","1,411",875,"2,176",877,"1,247","1,596","2,122","1,821","3,686","2,195","5,610","1,720","2,239","2,681","1,779","1,639","2,039","3,061","1,961","33,062","2,323","2,215","1,869","2,685","2,062",937,"1,636","1,377","1,446","1,754","2,676","3,881","2,956","1,624","2,770",851,0
2020년04월_계_70~79세,"42,590","23,042",974,684,"1,560",702,825,"1,099","1,120",851,"2,022","1,517","2,809",945,"1,090","1,383","1,200",985,"1,117","1,245",914,"19,548","1,981","1,504","1,356","1,716","1,305",661,"1,218",913,741,932,"1,290","1,740","1,550",949,"1,352",340,0
2020년04월_계_80~89세,"19,152","10,471",454,319,786,336,400,443,528,372,973,727,"1,252",378,419,752,476,351,532,565,408,"8,681",951,569,544,744,548,303,473,348,336,466,633,780,691,532,612,151,0
2020년04월_계_90~99세,"2,648","1,515",56,61,116,48,53,49,65,59,112,109,169,63,57,122,70,57,87,109,53,"1,133",117,72,56,88,76,37,48,39,47,62,81,131,101,64,83,31,0
