카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년05월_계_총인구수,"706,444","63,339","93,317","100,959","14,030","24,701","53,529","30,028","19,814","9,007","4,234","50,918","34,469","19,273","4,642","76,253","35,678","72,253"
2020년05월_계_연령구간인구수,"706,444","63,339","93,317","100,959","14,030","24,701","53,529","30,028","19,814","9,007","4,234","50,918","34,469","19,273","4,642","76,253","35,678","72,253"
2020년05월_계_0~9세,"66,483","4,454","8,816","8,930","1,560","1,142","4,295","1,872","1,297",367,200,"5,642","3,157",812,166,"10,315","4,855","8,603"
2020년05월_계_10~19세,"77,535","7,571","11,520","11,414","1,255","2,041","6,798","2,734","2,033",583,265,"6,781","5,014","1,261",211,"7,786","3,668","6,600"
2020년05월_계_20~29세,"83,689","7,906","10,473","11,834","1,495","3,403","6,473","4,196","2,466",813,424,"5,458","4,072","2,607",533,"8,788","3,813","8,935"
2020년05월_계_30~39세,"90,855","6,263","10,809","12,489","2,165","2,442","5,674","3,462","1,894",754,416,"6,448","3,847","2,201",489,"13,378","6,138","11,986"
2020년05월_계_40~49세,"129,462","11,499","17,625","19,351","2,387","3,505","10,427","4,387","3,356","1,070",544,"10,917","7,240","2,357",530,"14,419","7,010","12,838"
2020년05월_계_50~59세,"115,157","11,171","15,179","16,619","2,212","5,323","9,211","5,866","3,588","1,852",796,"7,260","5,427","4,057",936,"10,021","5,029","10,610"
2020년05월_계_60~69세,"79,070","7,454","10,371","10,963","1,753","3,814","5,522","4,311","2,653","1,861",853,"4,390","3,060","3,369","1,047","6,709","3,182","7,758"
2020년05월_계_70~79세,"43,725","4,811","5,836","6,565",797,"1,955","3,484","2,171","1,700","1,091",476,"2,814","1,761","1,617",484,"3,362","1,371","3,430"
2020년05월_계_80~89세,"17,753","1,898","2,382","2,443",348,932,"1,448",923,707,488,220,"1,040",784,854,216,"1,279",521,"1,270"
2020년05월_계_90~99세,"2,503",284,290,320,57,129,191,100,100,119,37,160,102,122,22,185,75,210
2020년05월_계_100세 이상,212,28,16,31,1,15,6,6,20,9,3,8,5,16,8,11,16,13
2020년05월_남_총인구수,"351,990","31,226","47,158","50,650","7,144","12,847","26,870","14,986","9,901","4,715","2,199","24,841","16,971","9,795","2,620","37,432","17,436","35,199"
2020년05월_남_연령구간인구수,"351,990","31,226","47,158","50,650","7,144","12,847","26,870","14,986","9,901","4,715","2,199","24,841","16,971","9,795","2,620","37,432","17,436","35,199"
2020년05월_남_0~9세,"34,190","2,324","4,601","4,633",804,631,"2,217",934,641,207,103,"2,900","1,589",407,78,"5,249","2,480","4,392"
2020년05월_남_10~19세,"39,933","3,891","5,962","5,980",654,"1,046","3,462","1,427","1,102",321,137,"3,495","2,582",671,108,"3,949","1,877","3,269"
2020년05월_남_20~29세,"43,591","4,135","5,530","6,183",787,"1,883","3,461","2,211","1,224",465,236,"2,859","2,073","1,449",319,"4,370","1,956","4,450"
2020년05월_남_30~39세,"44,578","3,053","5,323","6,284","1,100","1,317","2,805","1,808",982,395,214,"2,968","1,812","1,235",296,"6,352","2,832","5,802"
2020년05월_남_40~49세,"65,237","5,508","8,980","9,847","1,243","1,883","5,255","2,216","1,681",605,294,"5,304","3,535","1,237",333,"7,384","3,532","6,400"
2020년05월_남_50~59세,"58,801","5,668","8,001","8,605","1,145","2,836","4,888","2,829","1,887","1,023",437,"3,690","2,837","2,046",533,"4,851","2,467","5,058"
2020년05월_남_60~69세,"38,456","3,559","5,131","5,235",879,"2,005","2,656","2,202","1,297",953,436,"1,979","1,463","1,670",621,"3,162","1,467","3,741"
2020년05월_남_70~79세,"19,987","2,253","2,643","2,911",383,873,"1,542",996,754,536,243,"1,202",774,759,243,"1,622",623,"1,630"
2020년05월_남_80~89세,"6,579",750,899,894,138,340,538,339,295,179,91,406,280,286,84,462,181,417
2020년05월_남_90~99세,577,77,84,68,10,31,45,23,33,25,5,34,26,30,5,30,15,36
2020년05월_남_100세 이상,61,8,4,10,1,2,1,1,5,6,3,4,0,5,0,1,6,4
2020년05월_여_총인구수,"354,454","32,113","46,159","50,309","6,886","11,854","26,659","15,042","9,913","4,292","2,035","26,077","17,498","9,478","2,022","38,821","18,242","37,054"
2020년05월_여_연령구간인구수,"354,454","32,113","46,159","50,309","6,886","11,854","26,659","15,042","9,913","4,292","2,035","26,077","17,498","9,478","2,022","38,821","18,242","37,054"
2020년05월_여_0~9세,"32,293","2,130","4,215","4,297",756,511,"2,078",938,656,160,97,"2,742","1,568",405,88,"5,066","2,375","4,211"
2020년05월_여_10~19세,"37,602","3,680","5,558","5,434",601,995,"3,336","1,307",931,262,128,"3,286","2,432",590,103,"3,837","1,791","3,331"
2020년05월_여_20~29세,"40,098","3,771","4,943","5,651",708,"1,520","3,012","1,985","1,242",348,188,"2,599","1,999","1,158",214,"4,418","1,857","4,485"
2020년05월_여_30~39세,"46,277","3,210","5,486","6,205","1,065","1,125","2,869","1,654",912,359,202,"3,480","2,035",966,193,"7,026","3,306","6,184"
2020년05월_여_40~49세,"64,225","5,991","8,645","9,504","1,144","1,622","5,172","2,171","1,675",465,250,"5,613","3,705","1,120",197,"7,035","3,478","6,438"
2020년05월_여_50~59세,"56,356","5,503","7,178","8,014","1,067","2,487","4,323","3,037","1,701",829,359,"3,570","2,590","2,011",403,"5,170","2,562","5,552"
2020년05월_여_60~69세,"40,614","3,895","5,240","5,728",874,"1,809","2,866","2,109","1,356",908,417,"2,411","1,597","1,699",426,"3,547","1,715","4,017"
2020년05월_여_70~79세,"23,738","2,558","3,193","3,654",414,"1,082","1,942","1,175",946,555,233,"1,612",987,858,241,"1,740",748,"1,800"
2020년05월_여_80~89세,"11,174","1,148","1,483","1,549",210,592,910,584,412,309,129,634,504,568,132,817,340,853
2020년05월_여_90~99세,"1,926",207,206,252,47,98,146,77,67,94,32,126,76,92,17,155,60,174
2020년05월_여_100세 이상,151,20,12,21,0,13,5,5,15,3,0,4,5,11,8,10,10,9
