,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년03월_계_총인구수,"51,404","13,311","1,933","1,609","1,785","1,559","1,469","1,462","4,261","3,921","2,559","1,814","1,738","1,804","4,579","3,799",817,"2,147",837
2021년03월_계_연령구간인구수,"51,404","13,311","1,933","1,609","1,785","1,559","1,469","1,462","4,261","3,921","2,559","1,814","1,738","1,804","4,579","3,799",817,"2,147",837
2021년03월_계_0~9세,"1,866",778,25,38,28,21,38,36,131,142,87,42,36,37,241,95,23,52,16
2021년03월_계_10~19세,"2,244","1,018",62,37,52,40,50,41,136,125,42,45,57,53,252,125,12,74,23
2021년03월_계_20~29세,"3,079","1,114",83,70,84,56,57,53,228,263,121,86,89,102,364,181,21,76,31
2021년03월_계_30~39세,"3,156","1,151",88,72,67,48,73,73,216,273,134,93,93,82,344,196,30,80,43
2021년03월_계_40~49세,"4,626","1,735",134,97,134,108,69,96,351,347,183,127,128,123,489,269,44,142,50
2021년03월_계_50~59세,"8,549","2,195",319,257,338,283,254,240,663,688,420,306,301,314,759,604,146,332,130
2021년03월_계_60~69세,"11,970","2,578",545,430,496,426,447,423,"1,028",944,653,475,380,425,854,911,185,571,199
2021년03월_계_70~79세,"8,848","1,692",360,327,343,294,269,263,849,648,494,327,344,356,714,784,181,428,175
2021년03월_계_80~89세,"6,209",916,288,247,220,241,181,205,558,423,373,280,281,282,490,572,153,349,150
2021년03월_계_90~99세,825,133,27,34,22,42,30,29,96,64,50,33,28,28,70,58,22,40,19
2021년03월_계_100세 이상,32,1,2,0,1,0,1,3,5,4,2,0,1,2,2,4,0,3,1
2021년03월_남_총인구수,"25,142","6,519",954,789,881,751,754,730,"2,096","1,892","1,245",909,859,867,"2,175","1,865",394,"1,065",397
2021년03월_남_연령구간인구수,"25,142","6,519",954,789,881,751,754,730,"2,096","1,892","1,245",909,859,867,"2,175","1,865",394,"1,065",397
2021년03월_남_0~9세,983,422,16,21,19,11,15,23,77,67,37,18,20,23,118,51,11,24,10
2021년03월_남_10~19세,"1,162",538,36,19,23,23,30,17,71,64,23,27,28,28,114,63,7,37,14
2021년03월_남_20~29세,"1,769",618,52,42,43,28,41,30,135,145,74,49,62,60,203,112,14,44,17
2021년03월_남_30~39세,"1,768",594,59,50,45,29,46,39,123,144,81,56,55,48,193,124,13,44,25
2021년03월_남_40~49세,"2,709",919,91,65,85,76,36,61,210,208,119,90,81,76,264,171,24,100,33
2021년03월_남_50~59세,"4,635","1,143",183,139,184,151,133,131,358,384,227,171,165,186,399,327,88,190,76
2021년03월_남_60~69세,"6,024","1,218",277,218,258,216,256,239,527,443,331,251,189,223,420,457,104,294,103
2021년03월_남_70~79세,"3,866",740,143,147,143,135,123,111,383,290,230,148,152,136,300,346,68,200,71
2021년03월_남_80~89세,"2,042",299,94,82,75,74,68,74,182,132,114,92,102,81,154,193,57,123,46
2021년03월_남_90~99세,180,28,3,6,5,8,6,5,29,15,9,7,5,6,10,19,8,9,2
2021년03월_남_100세 이상,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년03월_여_총인구수,"26,262","6,792",979,820,904,808,715,732,"2,165","2,029","1,314",905,879,937,"2,404","1,934",423,"1,082",440
2021년03월_여_연령구간인구수,"26,262","6,792",979,820,904,808,715,732,"2,165","2,029","1,314",905,879,937,"2,404","1,934",423,"1,082",440
2021년03월_여_0~9세,883,356,9,17,9,10,23,13,54,75,50,24,16,14,123,44,12,28,6
2021년03월_여_10~19세,"1,082",480,26,18,29,17,20,24,65,61,19,18,29,25,138,62,5,37,9
2021년03월_여_20~29세,"1,310",496,31,28,41,28,16,23,93,118,47,37,27,42,161,69,7,32,14
2021년03월_여_30~39세,"1,388",557,29,22,22,19,27,34,93,129,53,37,38,34,151,72,17,36,18
2021년03월_여_40~49세,"1,917",816,43,32,49,32,33,35,141,139,64,37,47,47,225,98,20,42,17
2021년03월_여_50~59세,"3,914","1,052",136,118,154,132,121,109,305,304,193,135,136,128,360,277,58,142,54
2021년03월_여_60~69세,"5,946","1,360",268,212,238,210,191,184,501,501,322,224,191,202,434,454,81,277,96
2021년03월_여_70~79세,"4,982",952,217,180,200,159,146,152,466,358,264,179,192,220,414,438,113,228,104
2021년03월_여_80~89세,"4,167",617,194,165,145,167,113,131,376,291,259,188,179,201,336,379,96,226,104
2021년03월_여_90~99세,645,105,24,28,17,34,24,24,67,49,41,26,23,22,60,39,14,31,17
2021년03월_여_100세 이상,28,1,2,0,0,0,1,3,4,4,2,0,1,2,2,2,0,3,1
