,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년02월_계_총인구수,"1,447,953","102,745","295,368","214,579","430,209","405,052"
2021년02월_계_연령구간인구수,"1,447,953","102,745","295,368","214,579","430,209","405,052"
2021년02월_계_0~9세,"118,272","7,134","21,346","17,257","33,213","39,322"
2021년02월_계_10~19세,"155,985","7,292","31,154","22,709","42,674","52,156"
2021년02월_계_20~29세,"208,358","14,746","45,178","27,765","62,074","58,595"
2021년02월_계_30~39세,"184,837","13,329","36,350","25,387","55,497","54,274"
2021년02월_계_40~49세,"240,549","13,999","48,469","34,178","67,451","76,452"
2021년02월_계_50~59세,"234,091","15,627","49,522","32,950","71,778","64,214"
2021년02월_계_60~69세,"165,368","14,844","34,591","28,241","53,863","33,829"
2021년02월_계_70~79세,"93,874","10,308","19,306","17,514","29,539","17,207"
2021년02월_계_80~89세,"40,228","4,743","8,140","7,347","12,243","7,755"
2021년02월_계_90~99세,"5,961",653,"1,238","1,137","1,752","1,181"
2021년02월_계_100세 이상,430,70,74,94,125,67
2021년02월_남_총인구수,"716,331","50,674","144,682","103,263","213,621","204,091"
2021년02월_남_연령구간인구수,"716,331","50,674","144,682","103,263","213,621","204,091"
2021년02월_남_0~9세,"60,752","3,680","11,092","8,836","16,976","20,168"
2021년02월_남_10~19세,"80,788","3,763","16,374","11,349","22,479","26,823"
2021년02월_남_20~29세,"108,914","7,562","23,138","14,308","32,753","31,153"
2021년02월_남_30~39세,"94,361","6,928","18,402","12,601","28,863","27,567"
2021년02월_남_40~49세,"119,358","7,285","23,336","16,843","33,812","38,082"
2021년02월_남_50~59세,"116,085","7,706","24,269","15,593","35,139","33,378"
2021년02월_남_60~69세,"78,869","7,013","16,246","12,971","25,670","16,969"
2021년02월_남_70~79세,"41,642","4,559","8,592","7,823","13,239","7,429"
2021년02월_남_80~89세,"14,231","1,979","2,950","2,674","4,332","2,296"
2021년02월_남_90~99세,"1,277",182,275,252,347,221
2021년02월_남_100세 이상,54,17,8,13,11,5
2021년02월_여_총인구수,"731,622","52,071","150,686","111,316","216,588","200,961"
2021년02월_여_연령구간인구수,"731,622","52,071","150,686","111,316","216,588","200,961"
2021년02월_여_0~9세,"57,520","3,454","10,254","8,421","16,237","19,154"
2021년02월_여_10~19세,"75,197","3,529","14,780","11,360","20,195","25,333"
2021년02월_여_20~29세,"99,444","7,184","22,040","13,457","29,321","27,442"
2021년02월_여_30~39세,"90,476","6,401","17,948","12,786","26,634","26,707"
2021년02월_여_40~49세,"121,191","6,714","25,133","17,335","33,639","38,370"
2021년02월_여_50~59세,"118,006","7,921","25,253","17,357","36,639","30,836"
2021년02월_여_60~69세,"86,499","7,831","18,345","15,270","28,193","16,860"
2021년02월_여_70~79세,"52,232","5,749","10,714","9,691","16,300","9,778"
2021년02월_여_80~89세,"25,997","2,764","5,190","4,673","7,911","5,459"
2021년02월_여_90~99세,"4,684",471,963,885,"1,405",960
2021년02월_여_100세 이상,376,53,66,81,114,62
