카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년02월_계_총인구수,"13,265,377","1,193,480","277,386","371,218","175,677","369,199","942,183","234,417","219,619","488,147","452,865","563,066","242,107","320,959","827,374","316,125","517,087","94,452","651,211","344,685","306,526","1,071,002","469,671","298,445","302,886","58,253","198,921","704,172","226,900","476,481","275,857","163,982","275,384","1,063,650","253,982","437,811","371,857","453,827","215,869","183,444","439,502","822,470","373,867","222,435","147,770","111,008","43,614","62,224","116,902"
2020년02월_계_연령구간인구수,"13,265,377","1,193,480","277,386","371,218","175,677","369,199","942,183","234,417","219,619","488,147","452,865","563,066","242,107","320,959","827,374","316,125","517,087","94,452","651,211","344,685","306,526","1,071,002","469,671","298,445","302,886","58,253","198,921","704,172","226,900","476,481","275,857","163,982","275,384","1,063,650","253,982","437,811","371,857","453,827","215,869","183,444","439,502","822,470","373,867","222,435","147,770","111,008","43,614","62,224","116,902"
2020년02월_계_0~9세,"1,178,548","103,170","19,783","34,232","10,246","38,909","71,633","15,802","14,075","41,756","35,074","42,032","16,415","25,617","60,921","25,424","48,587","6,797","46,112","23,862","22,250","84,859","39,126","21,786","23,947","4,549","16,097","67,250","24,941","46,874","22,252","13,458","29,743","104,994","22,045","45,316","37,633","44,925","19,765","14,740","51,884","105,869","36,052","19,699","9,153","7,685","2,887","3,573","7,549"
2020년02월_계_10~19세,"1,347,854","122,606","30,131","34,446","14,643","43,386","90,600","17,701","17,561","55,338","43,514","54,982","19,725","35,257","73,590","32,654","53,036","8,920","67,189","35,239","31,950","108,526","42,498","30,722","35,306","6,306","18,890","77,663","24,888","49,821","27,779","15,232","23,835","122,626","25,171","51,524","45,931","48,422","22,375","18,107","45,106","93,486","33,454","23,770","12,916","9,854","3,259","4,749","9,699"
2020년02월_계_20~29세,"1,769,080","186,021","44,059","54,962","28,222","58,778","131,752","33,785","31,475","66,492","62,519","80,174","35,058","45,116","118,999","40,862","69,285","11,120","105,146","56,601","48,545","149,521","62,298","44,442","42,781","7,971","27,373","82,923","30,559","66,225","38,183","23,037","32,722","132,731","33,279","54,178","45,274","55,052","28,814","21,468","47,550","97,343","43,878","26,252","17,685","11,981","5,409","6,170","10,355"
2020년02월_계_30~39세,"1,917,785","184,060","34,038","60,447","25,192","64,383","138,962","34,926","31,882","72,154","59,662","79,771","34,063","45,708","120,022","44,901","77,367","10,516","85,684","43,658","42,026","142,084","66,664","38,611","36,809","7,881","27,328","91,475","39,752","73,929","39,703","22,699","47,137","148,717","34,600","61,914","52,203","67,106","30,708","23,409","70,442","149,915","59,138","27,334","14,913","11,899","4,266","5,919","11,086"
2020년02월_계_40~49세,"2,299,179","206,250","47,177","61,948","28,210","68,915","160,461","37,257","34,302","88,902","74,735","91,376","36,141","55,235","132,634","55,008","91,046","14,819","111,005","58,556","52,449","185,799","78,951","52,712","54,136","9,164","33,508","129,657","42,358","87,124","45,728","25,351","48,090","201,254","43,423","84,932","72,899","79,192","34,987","29,990","81,496","157,288","65,157","38,709","21,308","16,161","5,080","8,041","16,403"
2020년02월_계_50~59세,"2,205,106","196,150","49,410","62,575","30,777","53,388","156,216","40,450","39,595","76,171","79,027","100,349","44,457","55,892","150,251","52,543","84,074","16,355","126,363","67,110","59,253","192,432","81,811","55,249","55,372","10,213","35,942","114,373","32,471","83,506","48,374","30,061","40,540","159,461","42,571","63,766","53,124","70,005","34,980","30,873","63,171","109,180","61,893","36,758","29,558","20,134","7,358","11,559","20,936"
2020년02월_계_60~69세,"1,422,638","112,316","28,956","37,206","21,332","24,822","107,622","31,012","29,341","47,269","52,942","67,453","32,624","34,829","103,863","37,620","50,530","12,497","65,120","34,280","30,840","111,228","52,456","30,001","28,771","6,538","22,927","77,585","18,316","41,264","30,836","20,293","32,123","100,225","29,069","39,030","32,126","45,645","24,012","23,362","44,524","63,299","44,308","26,557","22,647","17,288","7,149","11,340","21,209"
2020년02월_계_70~79세,"742,296","54,956","15,387","16,988","11,629","10,952","56,630","16,446","14,925","25,259","30,340","30,933","15,923","15,010","44,931","18,300","27,689","8,670","28,689","16,261","12,428","60,629","29,698","15,222","15,709","3,467","11,523","43,225","9,364","18,216","14,614","8,958","14,863","63,755","15,526","25,484","22,745","28,101","12,797","13,233","24,179","30,412","20,990","15,733","12,412","10,100","5,076","6,800","12,711"
