,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년06월_계_총인구수,"140,651","7,201","2,998","3,147","2,509","3,347","4,109","3,202","3,495","1,960","2,260","2,865","1,599","1,278","2,220","1,070","6,856","7,823","4,016","24,840","20,611","11,030","22,215"
2020년06월_계_연령구간인구수,"140,651","7,201","2,998","3,147","2,509","3,347","4,109","3,202","3,495","1,960","2,260","2,865","1,599","1,278","2,220","1,070","6,856","7,823","4,016","24,840","20,611","11,030","22,215"
2020년06월_계_0~9세,"10,685",397,103,76,65,80,157,100,93,58,64,49,34,26,57,15,235,250,154,"2,167","1,446",927,"4,132"
2020년06월_계_10~19세,"12,155",429,133,146,104,109,199,148,192,83,100,96,57,43,187,37,396,452,244,"3,034","2,330","1,131","2,505"
2020년06월_계_20~29세,"14,793",594,252,255,209,194,318,268,319,149,144,189,95,68,127,49,646,843,337,"3,576","2,427","1,370","2,364"
2020년06월_계_30~39세,"15,540",611,216,192,145,189,225,205,219,126,124,134,76,51,121,34,574,737,271,"2,870","2,155","1,345","4,920"
2020년06월_계_40~49세,"19,497",862,304,308,211,255,430,287,325,186,213,206,116,114,164,94,849,900,422,"4,091","3,039","1,885","4,236"
2020년06월_계_50~59세,"23,976","1,452",553,614,494,597,761,649,746,383,431,558,280,224,395,236,"1,163","1,381",705,"4,201","3,761","1,906","2,486"
2020년06월_계_60~69세,"21,384","1,396",643,686,592,782,875,726,773,411,521,662,359,306,465,272,"1,496","1,600",826,"2,653","2,921","1,416","1,003"
2020년06월_계_70~79세,"13,460",835,445,474,409,594,674,504,470,293,350,522,312,243,379,154,"1,011","1,051",683,"1,374","1,605",705,373
2020년06월_계_80~89세,"7,979",537,309,330,243,477,396,279,300,239,271,382,232,176,291,158,431,533,336,773,821,297,168
2020년06월_계_90~99세,"1,130",87,40,61,37,69,70,34,54,31,41,66,34,25,32,19,55,71,35,94,103,46,26
2020년06월_계_100세 이상,52,1,0,5,0,1,4,2,4,1,1,1,4,2,2,2,0,5,3,7,3,2,2
2020년06월_남_총인구수,"70,596","3,641","1,552","1,614","1,266","1,671","2,083","1,635","1,779","1,012","1,122","1,420",801,636,"1,109",521,"3,483","3,843","1,943","12,304","10,320","5,612","11,229"
2020년06월_남_연령구간인구수,"70,596","3,641","1,552","1,614","1,266","1,671","2,083","1,635","1,779","1,012","1,122","1,420",801,636,"1,109",521,"3,483","3,843","1,943","12,304","10,320","5,612","11,229"
2020년06월_남_0~9세,"5,527",215,51,43,37,48,86,57,52,39,29,24,19,15,37,9,129,130,85,"1,111",728,463,"2,120"
2020년06월_남_10~19세,"6,550",224,65,80,54,60,122,87,102,49,54,60,32,24,102,20,189,253,132,"1,551","1,375",627,"1,288"
2020년06월_남_20~29세,"8,324",339,147,156,137,118,199,147,197,77,86,97,63,41,75,33,390,492,179,"1,966","1,435",763,"1,187"
2020년06월_남_30~39세,"8,217",322,130,104,83,118,125,118,123,89,68,82,48,32,76,18,345,442,146,"1,469","1,110",741,"2,428"
2020년06월_남_40~49세,"10,309",496,191,189,132,161,239,173,183,118,132,132,71,72,95,55,520,505,235,"1,988","1,490",969,"2,163"
2020년06월_남_50~59세,"12,498",759,324,355,271,335,414,351,411,206,233,325,161,131,210,128,608,682,363,"2,112","1,785",982,"1,352"
