,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년04월_계_총인구수,"214,901","10,376","17,121","8,793","4,581","11,268","12,981","18,847","33,427","22,870","22,319","20,374","10,891","21,053"
2021년04월_계_연령구간인구수,"214,901","10,376","17,121","8,793","4,581","11,268","12,981","18,847","33,427","22,870","22,319","20,374","10,891","21,053"
2021년04월_계_0~9세,"16,103",451,"1,335",406,206,911,430,"1,290","3,342","1,034","1,462","1,990","1,300","1,946"
2021년04월_계_10~19세,"19,782",660,"1,296",591,295,"1,094",633,"1,558","3,678","1,997","2,241","1,931","1,268","2,540"
2021년04월_계_20~29세,"25,998","1,112","2,110","1,244",555,"1,476","1,541","2,253","3,742","3,106","2,895","2,192","1,313","2,459"
2021년04월_계_30~39세,"25,864","1,089","2,407","1,046",490,"1,579","1,289","2,305","4,299","2,033","2,298","2,800","1,648","2,581"
2021년04월_계_40~49세,"33,747","1,410","2,621","1,142",533,"1,769","1,575","2,761","5,917","3,329","3,262","3,384","1,825","4,219"
2021년04월_계_50~59세,"40,589","1,874","3,327","1,751",925,"2,043","2,531","3,434","5,776","5,015","4,693","3,614","1,970","3,636"
2021년04월_계_60~69세,"32,529","2,058","2,610","1,527",960,"1,468","2,833","3,138","4,339","3,781","3,542","2,936","1,052","2,285"
2021년04월_계_70~79세,"14,423","1,237","1,032",785,449,656,"1,516","1,438","1,702","1,787","1,401","1,084",359,977
2021년04월_계_80~89세,"5,232",429,338,266,155,242,575,609,544,720,466,405,134,349
2021년04월_계_90~99세,619,54,43,35,13,30,57,61,86,68,56,37,21,58
2021년04월_계_100세 이상,15,2,2,0,0,0,1,0,2,0,3,1,1,3
2021년04월_남_총인구수,"108,828","5,305","8,877","4,469","2,316","5,617","6,689","9,427","16,670","11,618","11,321","10,308","5,470","10,741"
2021년04월_남_연령구간인구수,"108,828","5,305","8,877","4,469","2,316","5,617","6,689","9,427","16,670","11,618","11,321","10,308","5,470","10,741"
2021년04월_남_0~9세,"8,307",230,676,221,122,444,228,696,"1,778",507,737,"1,003",657,"1,008"
2021년04월_남_10~19세,"10,575",342,677,318,163,582,329,841,"1,935","1,114","1,224","1,032",676,"1,342"
2021년04월_남_20~29세,"14,467",626,"1,163",662,302,810,878,"1,245","2,116","1,769","1,626","1,234",713,"1,323"
2021년04월_남_30~39세,"13,567",609,"1,309",585,285,852,778,"1,187","2,085","1,140","1,198","1,429",783,"1,327"
2021년04월_남_40~49세,"17,249",811,"1,414",601,284,865,871,"1,399","2,894","1,654","1,609","1,795",889,"2,163"
2021년04월_남_50~59세,"20,205","1,002","1,720",862,434,979,"1,294","1,693","2,732","2,499","2,335","1,763",994,"1,898"
2021년04월_남_60~69세,"15,862",988,"1,279",735,468,683,"1,425","1,520","2,117","1,857","1,723","1,429",542,"1,096"
2021년04월_남_70~79세,"6,645",532,505,382,202,318,656,615,813,826,678,492,157,469
2021년04월_남_80~89세,"1,854",157,130,96,53,77,218,217,189,239,187,129,54,108
2021년04월_남_90~99세,95,8,4,7,3,7,12,14,11,13,4,1,5,6
2021년04월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년04월_여_총인구수,"106,073","5,071","8,244","4,324","2,265","5,651","6,292","9,420","16,757","11,252","10,998","10,066","5,421","10,312"
2021년04월_여_연령구간인구수,"106,073","5,071","8,244","4,324","2,265","5,651","6,292","9,420","16,757","11,252","10,998","10,066","5,421","10,312"
2021년04월_여_0~9세,"7,796",221,659,185,84,467,202,594,"1,564",527,725,987,643,938
2021년04월_여_10~19세,"9,207",318,619,273,132,512,304,717,"1,743",883,"1,017",899,592,"1,198"
2021년04월_여_20~29세,"11,531",486,947,582,253,666,663,"1,008","1,626","1,337","1,269",958,600,"1,136"
2021년04월_여_30~39세,"12,297",480,"1,098",461,205,727,511,"1,118","2,214",893,"1,100","1,371",865,"1,254"
2021년04월_여_40~49세,"16,498",599,"1,207",541,249,904,704,"1,362","3,023","1,675","1,653","1,589",936,"2,056"
2021년04월_여_50~59세,"20,384",872,"1,607",889,491,"1,064","1,237","1,741","3,044","2,516","2,358","1,851",976,"1,738"
2021년04월_여_60~69세,"16,667","1,070","1,331",792,492,785,"1,408","1,618","2,222","1,924","1,819","1,507",510,"1,189"
2021년04월_여_70~79세,"7,778",705,527,403,247,338,860,823,889,961,723,592,202,508
2021년04월_여_80~89세,"3,378",272,208,170,102,165,357,392,355,481,279,276,80,241
2021년04월_여_90~99세,524,46,39,28,10,23,45,47,75,55,52,36,16,52
2021년04월_여_100세 이상,13,2,2,0,0,0,1,0,2,0,3,0,1,2
