,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년08월_계_총인구수,"340,242","7,461","10,475","9,830","11,673","6,421","13,005","11,957","7,406","13,899","13,464","4,066","21,552","14,561","15,673","18,792","15,208","42,826","11,131","21,166","29,295","18,670","21,711"
2021년08월_계_연령구간인구수,"340,242","7,461","10,475","9,830","11,673","6,421","13,005","11,957","7,406","13,899","13,464","4,066","21,552","14,561","15,673","18,792","15,208","42,826","11,131","21,166","29,295","18,670","21,711"
2021년08월_계_0~9세,"24,106",267,934,942,355,205,717,861,153,484,658,179,"2,167",619,785,892,715,"3,550",619,"2,332","2,426","2,942","1,304"
2021년08월_계_10~19세,"26,233",387,856,626,612,379,871,"1,016",339,796,956,216,"2,306",885,877,"1,271",912,"3,678",633,"2,680","2,932","1,552","1,453"
2021년08월_계_20~29세,"40,981",844,"1,004","1,032","1,724",756,"1,515","1,504","1,307","1,807","1,689",587,"2,228","1,882","2,123","2,424","1,878","5,100","1,334","2,183","3,800","1,849","2,411"
2021년08월_계_30~39세,"42,953",661,"1,332","1,573","1,372",563,"1,446","1,473","1,067","1,344","1,461",454,"2,683","1,477","1,847","1,767","1,579","5,465","1,329","2,957","4,024","4,444","2,635"
2021년08월_계_40~49세,"50,797",923,"1,817","1,392","1,511",802,"1,838","1,844",928,"1,653","1,900",438,"4,006","1,727","2,000","2,319","1,920","6,694","1,405","4,181","4,882","3,595","3,022"
2021년08월_계_50~59세,"56,318","1,270","1,544","1,495","2,233","1,207","2,189","2,109","1,250","2,504","2,263",718,"3,278","2,831","2,849","3,612","2,760","6,885","2,140","2,891","4,695","1,758","3,837"
2021년08월_계_60~69세,"53,213","1,462","1,445","1,467","2,108","1,297","2,178","1,684","1,248","2,737","2,423",754,"2,795","2,920","2,835","3,509","2,861","6,505","2,045","2,018","3,747","1,543","3,632"
2021년08월_계_70~79세,"30,349","1,022",998,869,"1,214",794,"1,454",923,736,"1,714","1,400",465,"1,421","1,522","1,586","1,965","1,755","3,270","1,109","1,307","1,932",714,"2,179"
2021년08월_계_80~89세,"13,691",550,489,394,484,386,710,492,346,785,628,228,582,635,691,938,742,"1,489",463,561,775,236,"1,087"
2021년08월_계_90~99세,"1,548",69,54,38,59,32,82,49,30,73,82,27,82,62,80,91,83,185,52,55,81,34,148
2021년08월_계_100세 이상,53,6,2,2,1,0,5,2,2,2,4,0,4,1,0,4,3,5,2,1,1,3,3
2021년08월_남_총인구수,"167,453","3,711","4,954","4,861","5,904","3,051","6,177","5,912","3,702","6,926","6,454","2,161","10,576","7,250","7,887","9,057","7,638","20,998","5,596","10,257","14,487","9,235","10,659"
2021년08월_남_연령구간인구수,"167,453","3,711","4,954","4,861","5,904","3,051","6,177","5,912","3,702","6,926","6,454","2,161","10,576","7,250","7,887","9,057","7,638","20,998","5,596","10,257","14,487","9,235","10,659"
2021년08월_남_0~9세,"12,297",143,492,499,185,97,375,457,73,277,311,80,"1,071",309,409,448,361,"1,851",304,"1,180","1,241","1,499",635
2021년08월_남_10~19세,"13,758",223,457,339,333,210,466,584,195,434,491,122,"1,176",465,457,672,491,"1,941",348,"1,315","1,511",783,745
2021년08월_남_20~29세,"21,838",462,522,514,894,425,815,803,617,988,886,391,"1,204","1,040","1,170","1,316","1,046","2,697",739,"1,110","2,009",867,"1,323"
2021년08월_남_30~39세,"22,800",404,652,834,776,309,742,749,606,778,806,268,"1,322",854,"1,039",936,902,"2,825",729,"1,445","2,122","2,270","1,432"
2021년08월_남_40~49세,"26,061",502,924,719,844,410,946,885,543,875,951,249,"1,997",936,"1,076","1,180","1,030","3,417",759,"2,012","2,413","1,909","1,484"
