카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년09월_계_총인구수,"78,370","33,519","9,904","2,525","3,072","3,201","1,779","2,530","6,704","2,535","4,555","3,586","4,460"
2020년09월_계_연령구간인구수,"78,370","33,519","9,904","2,525","3,072","3,201","1,779","2,530","6,704","2,535","4,555","3,586","4,460"
2020년09월_계_0~9세,"3,705","2,161",537,62,64,82,37,60,269,78,134,108,113
2020년09월_계_10~19세,"5,721","3,337",653,90,161,136,60,145,409,147,249,128,206
2020년09월_계_20~29세,"6,876","3,557","1,121",133,150,179,92,190,480,143,270,251,310
2020년09월_계_30~39세,"6,218","3,033","1,119",160,186,141,89,142,463,152,249,221,263
2020년09월_계_40~49세,"9,614","5,026","1,161",230,272,288,152,249,759,242,439,335,461
2020년09월_계_50~59세,"13,789","5,972","1,593",435,484,551,278,468,"1,338",428,800,610,832
2020년09월_계_60~69세,"14,596","5,315","1,622",591,710,693,472,564,"1,391",528,929,801,980
2020년09월_계_70~79세,"10,447","3,260","1,164",474,582,580,337,393,928,449,878,643,759
2020년09월_계_80~89세,"6,548","1,643",832,306,415,495,225,282,575,312,551,444,468
2020년09월_계_90~99세,818,203,95,41,46,55,36,36,87,53,54,45,67
2020년09월_계_100세 이상,38,12,7,3,2,1,1,1,5,3,2,0,1
2020년09월_남_총인구수,"39,308","16,643","4,979","1,304","1,558","1,580",889,"1,316","3,318","1,278","2,311","1,812","2,320"
2020년09월_남_연령구간인구수,"39,308","16,643","4,979","1,304","1,558","1,580",889,"1,316","3,318","1,278","2,311","1,812","2,320"
2020년09월_남_0~9세,"1,917","1,131",267,29,35,43,21,32,137,39,67,56,60
2020년09월_남_10~19세,"2,935","1,684",339,46,94,68,33,82,211,69,124,74,111
2020년09월_남_20~29세,"3,898","1,960",614,77,97,96,50,115,285,91,163,151,199
2020년09월_남_30~39세,"3,460","1,599",632,92,113,81,54,93,251,94,154,129,168
2020년09월_남_40~49세,"5,281","2,556",648,164,159,173,94,162,415,145,274,199,292
2020년09월_남_50~59세,"7,342","3,067",839,247,265,320,149,246,693,243,454,348,471
2020년09월_남_60~69세,"7,195","2,540",792,305,358,365,248,285,680,260,461,410,491
2020년09월_남_70~79세,"4,725","1,468",528,221,263,248,164,180,417,205,410,285,336
2020년09월_남_80~89세,"2,368",588,300,117,166,171,74,113,206,115,195,148,175
2020년09월_남_90~99세,182,48,20,5,8,15,2,7,23,16,9,12,17
2020년09월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년09월_여_총인구수,"39,062","16,876","4,925","1,221","1,514","1,621",890,"1,214","3,386","1,257","2,244","1,774","2,140"
2020년09월_여_연령구간인구수,"39,062","16,876","4,925","1,221","1,514","1,621",890,"1,214","3,386","1,257","2,244","1,774","2,140"
2020년09월_여_0~9세,"1,788","1,030",270,33,29,39,16,28,132,39,67,52,53
2020년09월_여_10~19세,"2,786","1,653",314,44,67,68,27,63,198,78,125,54,95
2020년09월_여_20~29세,"2,978","1,597",507,56,53,83,42,75,195,52,107,100,111
2020년09월_여_30~39세,"2,758","1,434",487,68,73,60,35,49,212,58,95,92,95
2020년09월_여_40~49세,"4,333","2,470",513,66,113,115,58,87,344,97,165,136,169
2020년09월_여_50~59세,"6,447","2,905",754,188,219,231,129,222,645,185,346,262,361
2020년09월_여_60~69세,"7,401","2,775",830,286,352,328,224,279,711,268,468,391,489
2020년09월_여_70~79세,"5,722","1,792",636,253,319,332,173,213,511,244,468,358,423
2020년09월_여_80~89세,"4,180","1,055",532,189,249,324,151,169,369,197,356,296,293
2020년09월_여_90~99세,636,155,75,36,38,40,34,29,64,37,45,33,50
2020년09월_여_100세 이상,33,10,7,2,2,1,1,0,5,2,2,0,1
