카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년08월_계_총인구수,"1,536,270","282,714","355,767","213,025","90,056","41,295","82,391","63,825","68,489","46,635","38,055","41,050","35,838","43,691","24,342","21,972","32,034","27,005","28,086"
2021년08월_계_연령구간인구수,"1,536,270","282,714","355,767","213,025","90,056","41,295","82,391","63,825","68,489","46,635","38,055","41,050","35,838","43,691","24,342","21,972","32,034","27,005","28,086"
2021년08월_계_0~9세,"102,340","20,892","27,701","13,068","6,401","2,386","5,712","3,626","3,650","2,114","1,586","1,764","1,674","3,225","1,750","1,690","2,498","1,302","1,301"
2021년08월_계_10~19세,"134,698","26,616","35,364","18,564","8,560","3,709","7,225","4,978","4,998","3,552","2,829","2,791","2,452","3,651","1,701","2,022","2,259","1,615","1,812"
2021년08월_계_20~29세,"176,503","37,312","45,064","24,888","9,325","3,527","8,907","6,867","6,516","3,745","3,164","3,251","2,683","5,397","3,704","2,898","4,218","2,656","2,381"
2021년08월_계_30~39세,"162,968","33,903","45,060","21,341","8,802","3,451","9,058","5,379","5,860","3,319","2,678","2,885","2,840","4,584","2,790","2,522","3,924","2,300","2,272"
2021년08월_계_40~49세,"220,045","41,887","56,708","31,880","14,312","6,137","12,232","8,552","8,046","4,978","4,362","5,132","4,716","5,530","2,609","2,466","3,947","3,065","3,486"
2021년08월_계_50~59세,"263,947","46,444","60,866","36,524","15,632","7,075","14,946","10,994","12,200","8,561","7,127","7,811","6,716","6,969","3,768","3,414","5,112","4,797","4,991"
2021년08월_계_60~69세,"255,310","40,795","48,867","35,241","14,513","7,756","13,581","11,676","14,806","10,885","8,355","9,274","7,765","7,057","4,076","3,595","5,620","5,564","5,884"
2021년08월_계_70~79세,"133,479","20,620","21,435","19,539","7,997","4,809","6,785","7,058","7,193","5,491","4,761","4,917","4,391","4,563","2,255","1,974","2,613","3,430","3,648"
2021년08월_계_80~89세,"75,073","12,259","12,736","10,242","3,938","2,168","3,329","4,061","4,545","3,418","2,821","2,835","2,262","2,336","1,454","1,200","1,572","1,935","1,962"
2021년08월_계_90~99세,"11,437","1,915","1,903","1,680",561,254,595,608,643,543,349,371,321,363,225,177,264,329,336
2021년08월_계_100세 이상,470,71,63,58,15,23,21,26,32,29,23,19,18,16,10,14,7,12,13
2021년08월_남_총인구수,"773,260","139,628","176,452","105,698","45,716","20,936","40,847","32,250","35,273","23,922","19,719","21,057","18,664","22,693","13,223","11,565","17,378","13,899","14,340"
2021년08월_남_연령구간인구수,"773,260","139,628","176,452","105,698","45,716","20,936","40,847","32,250","35,273","23,922","19,719","21,057","18,664","22,693","13,223","11,565","17,378","13,899","14,340"
2021년08월_남_0~9세,"52,429","10,749","14,132","6,746","3,291","1,260","2,903","1,850","1,853","1,112",835,876,865,"1,612",894,848,"1,268",665,670
2021년08월_남_10~19세,"69,916","13,834","18,237","9,723","4,445","1,927","3,757","2,551","2,542","1,855","1,532","1,458","1,263","1,904",854,"1,009","1,196",869,960
2021년08월_남_20~29세,"99,324","19,952","24,015","13,655","5,483","2,046","5,017","3,836","3,941","2,134","1,851","1,915","1,563","3,493","2,567","1,908","2,830","1,702","1,416"
2021년08월_남_30~39세,"85,763","17,344","22,865","11,259","4,720","1,841","4,865","2,902","3,205","1,740","1,459","1,558","1,571","2,554","1,656","1,404","2,261","1,312","1,247"
2021년08월_남_40~49세,"112,857","20,679","27,920","16,219","7,478","3,268","6,143","4,688","4,315","2,775","2,360","2,804","2,732","2,946","1,434","1,323","2,199","1,670","1,904"
2021년08월_남_50~59세,"136,190","23,371","30,582","18,477","8,117","3,812","7,393","5,949","6,456","4,529","3,963","4,205","3,748","3,722","2,036","1,821","2,725","2,603","2,681"
2021년08월_남_60~69세,"127,357","19,744","24,256","16,828","7,022","3,822","6,553","5,884","7,737","5,698","4,417","4,845","4,099","3,493","2,207","1,921","3,019","2,846","2,966"
2021년08월_남_70~79세,"60,053","9,069","9,533","8,759","3,613","2,121","2,941","3,119","3,423","2,684","2,178","2,295","1,978","2,045","1,007",863,"1,246","1,480","1,699"
2021년08월_남_80~89세,"26,741","4,401","4,472","3,689","1,434",779,"1,159","1,347","1,643","1,269","1,018","1,028",778,838,510,421,558,671,726
2021년08월_남_90~99세,"2,517",466,430,330,111,51,109,121,154,122,98,69,59,82,54,42,72,78,69
2021년08월_남_100세 이상,113,19,10,13,2,9,7,3,4,4,8,4,8,4,4,5,4,3,2
2021년08월_여_총인구수,"763,010","143,086","179,315","107,327","44,340","20,359","41,544","31,575","33,216","22,713","18,336","19,993","17,174","20,998","11,119","10,407","14,656","13,106","13,746"
2021년08월_여_연령구간인구수,"763,010","143,086","179,315","107,327","44,340","20,359","41,544","31,575","33,216","22,713","18,336","19,993","17,174","20,998","11,119","10,407","14,656","13,106","13,746"
2021년08월_여_0~9세,"49,911","10,143","13,569","6,322","3,110","1,126","2,809","1,776","1,797","1,002",751,888,809,"1,613",856,842,"1,230",637,631
2021년08월_여_10~19세,"64,782","12,782","17,127","8,841","4,115","1,782","3,468","2,427","2,456","1,697","1,297","1,333","1,189","1,747",847,"1,013","1,063",746,852
2021년08월_여_20~29세,"77,179","17,360","21,049","11,233","3,842","1,481","3,890","3,031","2,575","1,611","1,313","1,336","1,120","1,904","1,137",990,"1,388",954,965
2021년08월_여_30~39세,"77,205","16,559","22,195","10,082","4,082","1,610","4,193","2,477","2,655","1,579","1,219","1,327","1,269","2,030","1,134","1,118","1,663",988,"1,025"
2021년08월_여_40~49세,"107,188","21,208","28,788","15,661","6,834","2,869","6,089","3,864","3,731","2,203","2,002","2,328","1,984","2,584","1,175","1,143","1,748","1,395","1,582"
2021년08월_여_50~59세,"127,757","23,073","30,284","18,047","7,515","3,263","7,553","5,045","5,744","4,032","3,164","3,606","2,968","3,247","1,732","1,593","2,387","2,194","2,310"
2021년08월_여_60~69세,"127,953","21,051","24,611","18,413","7,491","3,934","7,028","5,792","7,069","5,187","3,938","4,429","3,666","3,564","1,869","1,674","2,601","2,718","2,918"
2021년08월_여_70~79세,"73,426","11,551","11,902","10,780","4,384","2,688","3,844","3,939","3,770","2,807","2,583","2,622","2,413","2,518","1,248","1,111","1,367","1,950","1,949"
2021년08월_여_80~89세,"48,332","7,858","8,264","6,553","2,504","1,389","2,170","2,714","2,902","2,149","1,803","1,807","1,484","1,498",944,779,"1,014","1,264","1,236"
2021년08월_여_90~99세,"8,920","1,449","1,473","1,350",450,203,486,487,489,421,251,302,262,281,171,135,192,251,267
2021년08월_여_100세 이상,357,52,53,45,13,14,14,23,28,25,15,15,10,12,6,9,3,9,11
