카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년02월_계_총인구수,"27,729","12,062","2,964","2,402","2,539","3,086","4,676"
2020년02월_계_연령구간인구수,"27,729","12,062","2,964","2,402","2,539","3,086","4,676"
2020년02월_계_0~9세,"1,386",859,95,84,68,91,189
2020년02월_계_10~19세,"1,949","1,146",186,118,105,133,261
2020년02월_계_20~29세,"2,390","1,187",227,209,160,174,433
2020년02월_계_30~39세,"2,376","1,246",193,156,182,239,360
2020년02월_계_40~49세,"3,598","1,886",337,266,249,324,536
2020년02월_계_50~59세,"5,095","2,059",550,478,506,544,958
2020년02월_계_60~69세,"5,187","1,805",634,465,595,697,991
2020년02월_계_70~79세,"3,687","1,213",486,394,438,526,630
2020년02월_계_80~89세,"1,737",552,222,205,201,293,264
2020년02월_계_90~99세,309,107,34,22,33,61,52
2020년02월_계_100세 이상,15,2,0,5,2,4,2
2020년02월_남_총인구수,"14,109","6,066","1,533","1,229","1,308","1,581","2,392"
2020년02월_남_연령구간인구수,"14,109","6,066","1,533","1,229","1,308","1,581","2,392"
2020년02월_남_0~9세,727,455,52,42,33,49,96
2020년02월_남_10~19세,"1,013",602,101,50,56,70,134
2020년02월_남_20~29세,"1,416",690,136,121,102,103,264
2020년02월_남_30~39세,"1,281",616,117,82,116,139,211
2020년02월_남_40~49세,"1,981",965,190,157,151,214,304
2020년02월_남_50~59세,"2,725","1,077",314,277,249,304,504
2020년02월_남_60~69세,"2,578",875,308,246,311,351,487
2020년02월_남_70~79세,"1,687",553,221,167,203,246,297
2020년02월_남_80~89세,637,205,89,81,81,99,82
2020년02월_남_90~99세,63,27,5,6,6,6,13
2020년02월_남_100세 이상,1,1,0,0,0,0,0
2020년02월_여_총인구수,"13,620","5,996","1,431","1,173","1,231","1,505","2,284"
2020년02월_여_연령구간인구수,"13,620","5,996","1,431","1,173","1,231","1,505","2,284"
2020년02월_여_0~9세,659,404,43,42,35,42,93
2020년02월_여_10~19세,936,544,85,68,49,63,127
2020년02월_여_20~29세,974,497,91,88,58,71,169
2020년02월_여_30~39세,"1,095",630,76,74,66,100,149
2020년02월_여_40~49세,"1,617",921,147,109,98,110,232
2020년02월_여_50~59세,"2,370",982,236,201,257,240,454
2020년02월_여_60~69세,"2,609",930,326,219,284,346,504
2020년02월_여_70~79세,"2,000",660,265,227,235,280,333
2020년02월_여_80~89세,"1,100",347,133,124,120,194,182
2020년02월_여_90~99세,246,80,29,16,27,55,39
2020년02월_여_100세 이상,14,1,0,5,2,4,2
