카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년07월_계_총인구수,"428,252","21,121","18,743","30,873","31,704","32,853","12,010","32,604","16,161","22,003","19,503","21,192","17,451","20,480","21,793","23,720","45,065","22,671","18,305"
2020년07월_계_연령구간인구수,"428,252","21,121","18,743","30,873","31,704","32,853","12,010","32,604","16,161","22,003","19,503","21,192","17,451","20,480","21,793","23,720","45,065","22,671","18,305"
2020년07월_계_0~9세,"34,813","1,576","1,496","1,698","3,101","2,481",614,"3,142","1,915","1,993","1,736","1,507","1,204","1,205","1,391","1,700","4,386","1,515","2,153"
2020년07월_계_10~19세,"45,295","1,956","1,659","2,707","4,213","3,815","1,912","3,529","2,739","2,919","2,177","2,815","1,361","1,659","2,042","2,607","4,268","1,657","1,260"
2020년07월_계_20~29세,"55,999","2,829","2,737","5,175","3,606","4,411","1,506","4,318","1,395","2,450","2,358","2,704","2,564","2,920","2,880","3,231","5,488","3,437","1,990"
2020년07월_계_30~39세,"64,949","3,691","3,864","5,057","3,918","4,792",923,"5,744","1,612","2,682","2,757","2,443","3,075","3,218","3,031","3,681","7,011","4,576","2,874"
2020년07월_계_40~49세,"77,953","3,819","3,303","4,902","6,446","6,274","2,309","6,648","3,744","4,566","3,617","4,005","2,856","3,115","3,352","4,311","7,834","3,842","3,010"
2020년07월_계_50~59세,"63,129","2,952","2,485","4,734","4,697","5,326","2,109","4,091","2,113","3,363","2,829","3,432","2,456","3,252","3,605","3,507","6,299","3,332","2,547"
2020년07월_계_60~69세,"47,266","2,397","1,793","3,571","3,050","3,286","1,242","2,951","1,302","2,167","2,282","2,234","2,080","2,826","3,159","2,360","5,578","2,572","2,416"
2020년07월_계_70~79세,"27,283","1,334","1,020","2,131","1,856","1,641","1,011","1,588",930,"1,269","1,227","1,331","1,319","1,657","1,643","1,626","2,958","1,285","1,457"
2020년07월_계_80~89세,"9,551",468,298,757,673,671,334,482,324,490,419,607,443,528,576,599,"1,017",364,501
2020년07월_계_90~99세,"1,793",96,70,124,128,136,38,92,61,90,96,107,79,88,111,86,221,84,86
2020년07월_계_100세 이상,221,3,18,17,16,20,12,19,26,14,5,7,14,12,3,12,5,7,11
2020년07월_남_총인구수,"204,766","10,174","8,889","15,020","15,422","15,619","5,694","15,760","7,717","10,412","9,213","9,821","8,172","9,628","10,519","10,843","21,558","11,394","8,911"
2020년07월_남_연령구간인구수,"204,766","10,174","8,889","15,020","15,422","15,619","5,694","15,760","7,717","10,412","9,213","9,821","8,172","9,628","10,519","10,843","21,558","11,394","8,911"
2020년07월_남_0~9세,"18,032",832,734,889,"1,625","1,305",324,"1,570","1,027","1,038",926,759,604,605,732,859,"2,282",838,"1,083"
2020년07월_남_10~19세,"23,058","1,009",870,"1,549","2,193","1,942",966,"1,793","1,349","1,467","1,125","1,314",731,868,"1,043","1,194","2,173",837,635
2020년07월_남_20~29세,"26,906","1,366","1,213","2,431","1,734","2,110",744,"1,979",683,"1,227","1,118","1,275","1,215","1,430","1,488","1,405","2,690","1,752","1,046"
