카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년06월_계_총인구수,"387,847","31,838","12,603","44,410","29,103","24,678","28,737","31,704","22,904","26,646","24,709","14,280","14,580","38,326","23,405","19,924"
2021년06월_계_연령구간인구수,"387,847","31,838","12,603","44,410","29,103","24,678","28,737","31,704","22,904","26,646","24,709","14,280","14,580","38,326","23,405","19,924"
2021년06월_계_0~9세,"23,873","1,896",322,"2,735","2,483","1,183","1,603","2,327",774,"1,754","2,087",719,"1,017","2,128","1,491","1,354"
2021년06월_계_10~19세,"27,291","1,930",511,"3,144","2,000","1,612","1,866","2,164",890,"1,626","1,639",743,992,"4,096","2,408","1,670"
2021년06월_계_20~29세,"65,435","5,419","2,437","9,598","4,333","4,161","4,566","4,917","5,179","3,569","3,322","2,498","2,183","6,363","3,389","3,501"
2021년06월_계_30~39세,"61,569","5,456","2,005","6,119","4,989","4,080","4,777","4,400","4,687","4,309","4,025","2,453","2,593","5,333","3,082","3,261"
2021년06월_계_40~49세,"58,061","4,287","1,513","6,479","4,630","3,537","4,308","4,818","2,970","3,965","3,804","2,023","2,279","6,433","3,892","3,123"
2021년06월_계_50~59세,"57,788","4,662","2,022","6,311","4,261","3,835","4,358","5,129","2,975","4,103","3,571","2,062","2,198","5,882","3,716","2,703"
2021년06월_계_60~69세,"50,031","4,315","2,005","5,398","3,426","3,270","3,921","4,084","3,030","3,913","3,417","2,026","1,820","4,254","2,955","2,197"
2021년06월_계_70~79세,"29,653","2,503","1,172","3,059","1,942","2,067","2,269","2,509","1,775","2,377","2,066","1,226","1,015","2,532","1,674","1,467"
2021년06월_계_80~89세,"12,237","1,182",524,"1,331",884,831,940,"1,171",553,904,688,454,410,"1,108",687,570
2021년06월_계_90~99세,"1,754",164,81,210,142,95,120,177,68,118,85,69,69,177,103,76
2021년06월_계_100세 이상,155,24,11,26,13,7,9,8,3,8,5,7,4,20,8,2
