카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년04월_계_총인구수,"84,437","30,121","29,095",0,"3,181","3,485","2,085","6,097","10,373"
2021년04월_계_연령구간인구수,"84,437","30,121","29,095",0,"3,181","3,485","2,085","6,097","10,373"
2021년04월_계_0~9세,"7,634","2,154","4,342",0,79,122,46,189,702
2021년04월_계_10~19세,"8,322","3,353","3,095",0,175,146,75,393,"1,085"
2021년04월_계_20~29세,"9,273","3,919","3,095",0,199,257,99,534,"1,170"
2021년04월_계_30~39세,"11,536","3,144","6,161",0,181,247,121,467,"1,215"
2021년04월_계_40~49세,"13,643","4,923","5,405",0,305,351,167,707,"1,785"
2021년04월_계_50~59세,"13,654","5,321","3,387",0,596,725,380,"1,189","2,056"
2021년04월_계_60~69세,"10,860","3,895","2,150",0,765,805,565,"1,347","1,333"
2021년04월_계_70~79세,"5,497","2,079",847,0,454,455,333,709,620
2021년04월_계_80~89세,"3,520","1,176",538,0,381,333,254,485,353
2021년04월_계_90~99세,486,155,72,0,45,43,41,76,54
2021년04월_계_100세 이상,12,2,3,0,1,1,4,1,0
2021년04월_남_총인구수,"44,228","15,460","15,346",0,"1,643","1,808","1,062","3,243","5,666"
2021년04월_남_연령구간인구수,"44,228","15,460","15,346",0,"1,643","1,808","1,062","3,243","5,666"
2021년04월_남_0~9세,"3,946","1,123","2,234",0,44,61,24,102,358
2021년04월_남_10~19세,"4,320","1,726","1,577",0,90,73,41,206,607
2021년04월_남_20~29세,"5,338","2,234","1,716",0,120,150,62,332,724
2021년04월_남_30~39세,"6,350","1,698","3,320",0,111,145,73,286,717
2021년04월_남_40~49세,"7,446","2,570","2,994",0,186,221,98,406,971
2021년04월_남_50~59세,"7,457","2,861","1,824",0,350,393,217,667,"1,145"
2021년04월_남_60~69세,"5,555","1,881","1,078",0,410,433,293,741,719
2021년04월_남_70~79세,"2,516",936,388,0,212,218,153,328,281
2021년04월_남_80~89세,"1,208",400,197,0,112,106,92,164,137
2021년04월_남_90~99세,89,30,18,0,8,7,9,10,7
2021년04월_남_100세 이상,3,1,0,0,0,1,0,1,0
2021년04월_여_총인구수,"40,209","14,661","13,749",0,"1,538","1,677","1,023","2,854","4,707"
2021년04월_여_연령구간인구수,"40,209","14,661","13,749",0,"1,538","1,677","1,023","2,854","4,707"
2021년04월_여_0~9세,"3,688","1,031","2,108",0,35,61,22,87,344
2021년04월_여_10~19세,"4,002","1,627","1,518",0,85,73,34,187,478
2021년04월_여_20~29세,"3,935","1,685","1,379",0,79,107,37,202,446
2021년04월_여_30~39세,"5,186","1,446","2,841",0,70,102,48,181,498
2021년04월_여_40~49세,"6,197","2,353","2,411",0,119,130,69,301,814
2021년04월_여_50~59세,"6,197","2,460","1,563",0,246,332,163,522,911
2021년04월_여_60~69세,"5,305","2,014","1,072",0,355,372,272,606,614
2021년04월_여_70~79세,"2,981","1,143",459,0,242,237,180,381,339
2021년04월_여_80~89세,"2,312",776,341,0,269,227,162,321,216
2021년04월_여_90~99세,397,125,54,0,37,36,32,66,47
2021년04월_여_100세 이상,9,1,3,0,1,0,4,0,0
