,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년09월_계_총인구수,"62,567","39,542",921,424,"1,762","1,042","1,769","3,214","2,845","1,430",954,"1,586","1,601","2,130","3,347"
2021년09월_계_연령구간인구수,"62,567","39,542",921,424,"1,762","1,042","1,769","3,214","2,845","1,430",954,"1,586","1,601","2,130","3,347"
2021년09월_계_0~9세,"3,322","2,759",18,9,29,26,33,116,82,30,17,30,30,49,94
2021년09월_계_10~19세,"5,548","4,564",39,16,59,23,43,256,115,59,35,65,57,60,157
2021년09월_계_20~29세,"6,644","5,136",59,11,109,52,98,263,204,74,61,75,110,135,257
2021년09월_계_30~39세,"4,666","3,536",39,15,80,37,73,195,170,46,43,63,58,114,197
2021년09월_계_40~49세,"7,964","6,106",101,36,116,60,132,325,259,96,67,104,108,158,296
2021년09월_계_50~59세,"11,356","7,214",161,70,293,188,310,523,539,256,195,287,295,383,642
2021년09월_계_60~69세,"10,062","4,937",199,93,404,224,389,701,645,323,212,369,334,491,741
2021년09월_계_70~79세,"7,353","3,252",183,104,330,193,339,487,426,289,173,337,327,393,520
2021년09월_계_80~89세,"4,936","1,788",109,64,300,213,299,306,345,231,131,221,238,295,396
2021년09월_계_90~99세,685,235,12,6,42,25,50,42,59,25,18,34,43,49,45
2021년09월_계_100세 이상,31,15,1,0,0,1,3,0,1,1,2,1,1,3,2
2021년09월_남_총인구수,"30,932","19,431",468,201,900,507,866,"1,579","1,428",732,489,794,759,"1,079","1,699"
2021년09월_남_연령구간인구수,"30,932","19,431",468,201,900,507,866,"1,579","1,428",732,489,794,759,"1,079","1,699"
2021년09월_남_0~9세,"1,696","1,408",7,2,16,13,19,58,34,18,8,19,15,30,49
2021년09월_남_10~19세,"2,891","2,377",22,12,34,10,21,116,67,35,16,30,27,34,90
2021년09월_남_20~29세,"3,604","2,746",35,6,58,30,53,157,118,45,39,48,63,71,135
2021년09월_남_30~39세,"2,385","1,752",22,9,47,20,44,108,103,26,22,33,36,64,99
2021년09월_남_40~49세,"4,083","2,943",65,20,77,47,77,179,155,58,43,71,61,109,178
2021년09월_남_50~59세,"6,177","3,731",99,46,184,111,194,292,311,160,113,179,164,224,369
2021년09월_남_60~69세,"5,312","2,456",99,44,246,139,218,365,349,181,120,207,195,276,417
2021년09월_남_70~79세,"3,125","1,366",85,41,146,75,154,206,194,116,78,136,124,167,237
2021년09월_남_80~89세,"1,500",599,34,20,81,56,76,91,81,85,41,64,69,89,114
2021년09월_남_90~99세,156,52,0,1,11,6,8,7,16,8,9,7,5,15,11
2021년09월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"31,635","20,111",453,223,862,535,903,"1,635","1,417",698,465,792,842,"1,051","1,648"
2021년09월_여_연령구간인구수,"31,635","20,111",453,223,862,535,903,"1,635","1,417",698,465,792,842,"1,051","1,648"
2021년09월_여_0~9세,"1,626","1,351",11,7,13,13,14,58,48,12,9,11,15,19,45
2021년09월_여_10~19세,"2,657","2,187",17,4,25,13,22,140,48,24,19,35,30,26,67
2021년09월_여_20~29세,"3,040","2,390",24,5,51,22,45,106,86,29,22,27,47,64,122
2021년09월_여_30~39세,"2,281","1,784",17,6,33,17,29,87,67,20,21,30,22,50,98
2021년09월_여_40~49세,"3,881","3,163",36,16,39,13,55,146,104,38,24,33,47,49,118
2021년09월_여_50~59세,"5,179","3,483",62,24,109,77,116,231,228,96,82,108,131,159,273
2021년09월_여_60~69세,"4,750","2,481",100,49,158,85,171,336,296,142,92,162,139,215,324
2021년09월_여_70~79세,"4,228","1,886",98,63,184,118,185,281,232,173,95,201,203,226,283
2021년09월_여_80~89세,"3,436","1,189",75,44,219,157,223,215,264,146,90,157,169,206,282
2021년09월_여_90~99세,529,183,12,5,31,19,42,35,43,17,9,27,38,34,34
2021년09월_여_100세 이상,28,14,1,0,0,1,1,0,1,1,2,1,1,3,2
