,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년07월_계_총인구수,"394,293","25,231","19,265","10,343","34,900","22,481","26,000","25,061","19,734","20,437","26,045","35,677","19,511","30,428","17,321","40,382","21,477"
2020년07월_계_연령구간인구수,"394,293","25,231","19,265","10,343","34,900","22,481","26,000","25,061","19,734","20,437","26,045","35,677","19,511","30,428","17,321","40,382","21,477"
2020년07월_계_0~9세,"23,574","1,346","1,119",645,"1,747","1,244","1,234","1,936",804,"1,325","1,114","2,523","1,162","1,514",848,"3,565","1,448"
2020년07월_계_10~19세,"27,414","1,679","1,251",704,"2,097","1,304","1,583","2,049",862,"1,379","1,265","3,210","1,245","1,928","1,221","3,846","1,791"
2020년07월_계_20~29세,"55,983","3,438","2,529","1,335","5,241","3,128","3,850","3,638","3,939","2,965","3,847","4,962","2,785","4,228","2,370","5,072","2,656"
2020년07월_계_30~39세,"58,291","3,418","2,775","1,621","5,473","3,476","3,749","3,719","4,058","3,290","3,771","5,126","3,145","4,091","2,212","5,361","3,006"
2020년07월_계_40~49세,"58,239","3,854","3,001","1,578","5,195","3,224","3,654","3,637","2,625","2,876","3,624","5,955","2,951","4,149","2,509","6,117","3,290"
2020년07월_계_50~59세,"69,861","4,978","3,331","1,878","6,452","3,983","4,734","4,501","3,144","3,443","5,116","5,615","3,187","5,820","3,370","6,702","3,607"
2020년07월_계_60~69세,"56,685","3,605","2,858","1,464","4,799","3,459","3,962","3,235","2,437","3,007","4,083","4,604","2,915","4,932","2,697","5,435","3,193"
2020년07월_계_70~79세,"31,084","2,053","1,807",815,"2,803","1,911","2,296","1,614","1,343","1,516","2,270","2,568","1,532","2,615","1,455","2,840","1,646"
2020년07월_계_80~89세,"11,391",740,501,270,954,652,823,644,442,559,850,973,514,982,542,"1,209",736
2020년07월_계_90~99세,"1,569",108,83,29,112,88,105,85,69,72,87,119,63,151,82,218,98
2020년07월_계_100세 이상,202,12,10,4,27,12,10,3,11,5,18,22,12,18,15,17,6
2020년07월_남_총인구수,"195,227","12,602","9,629","5,238","17,365","11,270","12,937","12,278","9,624","9,997","13,386","17,341","9,595","15,323","8,726","19,679","10,237"
2020년07월_남_연령구간인구수,"195,227","12,602","9,629","5,238","17,365","11,270","12,937","12,278","9,624","9,997","13,386","17,341","9,595","15,323","8,726","19,679","10,237"
2020년07월_남_0~9세,"12,188",689,595,307,905,672,615,"1,021",412,691,590,"1,300",601,778,443,"1,835",734
2020년07월_남_10~19세,"13,993",827,671,362,"1,029",681,820,"1,078",452,687,677,"1,626",645,962,579,"1,986",911
2020년07월_남_20~29세,"27,882","1,707","1,294",714,"2,678","1,611","1,957","1,813","1,686","1,462","1,900","2,387","1,363","2,182","1,208","2,563","1,357"
2020년07월_남_30~39세,"30,102","1,829","1,453",851,"2,874","1,779","1,988","1,879","2,073","1,693","2,021","2,561","1,648","2,139","1,201","2,637","1,476"
2020년07월_남_40~49세,"30,061","2,043","1,615",850,"2,698","1,710","1,930","1,768","1,374","1,499","1,942","2,947","1,479","2,237","1,275","3,094","1,600"
2020년07월_남_50~59세,"34,498","2,550","1,666",958,"3,217","1,927","2,319","2,172","1,600","1,607","2,720","2,703","1,560","2,917","1,738","3,156","1,688"
2020년07월_남_60~69세,"27,500","1,729","1,334",721,"2,309","1,702","1,900","1,579","1,166","1,435","2,115","2,180","1,366","2,476","1,369","2,628","1,491"
2020년07월_남_70~79세,"14,187",921,790,357,"1,247",917,"1,048",709,654,689,"1,040","1,201",704,"1,221",686,"1,300",703
2020년07월_남_80~89세,"4,407",274,185,113,377,250,327,242,189,220,341,405,208,370,211,441,254
2020년07월_남_90~99세,364,32,25,4,24,19,30,17,16,13,34,24,17,37,13,37,22
2020년07월_남_100세 이상,45,1,1,1,7,2,3,0,2,1,6,7,4,4,3,2,1
2020년07월_여_총인구수,"199,066","12,629","9,636","5,105","17,535","11,211","13,063","12,783","10,110","10,440","12,659","18,336","9,916","15,105","8,595","20,703","11,240"
2020년07월_여_연령구간인구수,"199,066","12,629","9,636","5,105","17,535","11,211","13,063","12,783","10,110","10,440","12,659","18,336","9,916","15,105","8,595","20,703","11,240"
2020년07월_여_0~9세,"11,386",657,524,338,842,572,619,915,392,634,524,"1,223",561,736,405,"1,730",714
2020년07월_여_10~19세,"13,421",852,580,342,"1,068",623,763,971,410,692,588,"1,584",600,966,642,"1,860",880
2020년07월_여_20~29세,"28,101","1,731","1,235",621,"2,563","1,517","1,893","1,825","2,253","1,503","1,947","2,575","1,422","2,046","1,162","2,509","1,299"
2020년07월_여_30~39세,"28,189","1,589","1,322",770,"2,599","1,697","1,761","1,840","1,985","1,597","1,750","2,565","1,497","1,952","1,011","2,724","1,530"
2020년07월_여_40~49세,"28,178","1,811","1,386",728,"2,497","1,514","1,724","1,869","1,251","1,377","1,682","3,008","1,472","1,912","1,234","3,023","1,690"
2020년07월_여_50~59세,"35,363","2,428","1,665",920,"3,235","2,056","2,415","2,329","1,544","1,836","2,396","2,912","1,627","2,903","1,632","3,546","1,919"
2020년07월_여_60~69세,"29,185","1,876","1,524",743,"2,490","1,757","2,062","1,656","1,271","1,572","1,968","2,424","1,549","2,456","1,328","2,807","1,702"
2020년07월_여_70~79세,"16,897","1,132","1,017",458,"1,556",994,"1,248",905,689,827,"1,230","1,367",828,"1,394",769,"1,540",943
2020년07월_여_80~89세,"6,984",466,316,157,577,402,496,402,253,339,509,568,306,612,331,768,482
2020년07월_여_90~99세,"1,205",76,58,25,88,69,75,68,53,59,53,95,46,114,69,181,76
2020년07월_여_100세 이상,157,11,9,3,20,10,7,3,9,4,12,15,8,14,12,15,5
