,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년07월_계_총인구수,"2,644,001","504,230","231,533","272,697","253,674","140,627","158,765","417,098","103,862","101,515","98,038","71,417","262,537","23,437","52,051","25,161","16,738","36,666","42,512","31,602","43,426","115,177","55,652","31,777","48,789","9,250"
2020년07월_계_연령구간인구수,"2,644,001","504,230","231,533","272,697","253,674","140,627","158,765","417,098","103,862","101,515","98,038","71,417","262,537","23,437","52,051","25,161","16,738","36,666","42,512","31,602","43,426","115,177","55,652","31,777","48,789","9,250"
2020년07월_계_0~9세,"194,217","40,718","17,995","22,723","16,530","10,668","10,898","42,342","6,318","5,805","5,305","4,099","20,985",714,"1,991","1,003",760,"1,757","1,558","1,456","1,948","9,855","4,665","1,456","2,961",425
2020년07월_계_10~19세,"228,690","47,204","21,429","25,775","21,228","12,167","13,803","45,516","9,038","6,691","7,803","5,741","22,859",991,"2,359","1,252",960,"2,119","2,311","2,112","2,346","11,598","4,385","1,893","3,838",476
2020년07월_계_20~29세,"285,427","56,870","26,511","30,359","27,041","14,788","16,580","56,928","9,797","10,201","8,299","6,119","35,826","1,546","3,211","1,755","1,148","2,505","2,902","2,562","3,574","12,253","4,102","2,077","4,497",846
2020년07월_계_30~39세,"297,033","60,815","27,631","33,184","25,888","15,453","15,657","66,706","8,750","9,453","7,646","5,898","33,517","1,389","3,349","1,747","1,055","2,527","2,905","2,367","3,346","15,617","5,604","2,033","4,378",933
2020년07월_계_40~49세,"386,370","77,634","35,841","41,793","37,157","19,494","22,530","73,391","14,077","12,856","11,731","8,846","41,592","2,216","4,749","2,429","1,769","4,012","4,490","3,949","4,816","20,608","7,088","3,288","6,323","1,325"
2020년07월_계_50~59세,"461,499","90,860","41,864","48,996","46,881","23,948","26,643","69,448","18,216","18,292","17,038","12,114","44,638","4,355","8,893","4,772","2,998","6,260","7,506","5,977","8,625","19,454","8,138","5,875","8,682","1,886"
2020년07월_계_60~69세,"397,640","76,442","35,798","40,644","39,994","21,441","24,931","37,766","17,933","18,145","17,890","13,084","33,818","5,240","11,548","5,394","3,362","7,274","9,431","6,125","9,032","13,219","9,173","6,683","7,970","1,745"
2020년07월_계_70~79세,"241,125","36,431","16,967","19,464","24,383","13,506","16,715","15,918","11,984","12,423","12,762","9,328","19,152","4,064","9,086","4,059","2,712","5,988","6,577","4,119","5,809","7,612","6,949","4,776","5,741","1,031"
2020년07월_계_80~89세,"132,957","15,071","6,591","8,480","12,801","7,978","9,531","7,915","6,727","6,842","8,270","5,354","9,055","2,588","6,036","2,427","1,710","3,706","4,233","2,625","3,443","4,318","4,879","3,184","3,770",494
2020년07월_계_90~99세,"18,083","2,080",852,"1,228","1,680","1,130","1,414","1,119",963,765,"1,236",778,"1,026",319,785,302,238,491,580,303,461,603,635,485,612,78
2020년07월_계_100세 이상,960,105,54,51,91,54,63,49,59,42,58,56,69,15,44,21,26,27,19,7,26,40,34,27,17,11
2020년07월_남_총인구수,"1,331,461","254,899","119,323","135,576","127,019","70,548","78,614","214,052","51,495","51,550","48,077","34,984","132,218","11,961","25,455","12,580","8,271","17,387","20,859","16,171","22,449","60,050","27,369","16,005","24,409","5,039"
2020년07월_남_연령구간인구수,"1,331,461","254,899","119,323","135,576","127,019","70,548","78,614","214,052","51,495","51,550","48,077","34,984","132,218","11,961","25,455","12,580","8,271","17,387","20,859","16,171","22,449","60,050","27,369","16,005","24,409","5,039"
