,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년03월_계_총인구수,"16,549","7,214","2,136","1,729","1,745","1,714","2,011"
2021년03월_계_연령구간인구수,"16,549","7,214","2,136","1,729","1,745","1,714","2,011"
2021년03월_계_0~9세,726,442,74,54,39,59,58
2021년03월_계_10~19세,918,538,76,55,77,98,74
2021년03월_계_20~29세,"1,131",641,101,79,108,93,109
2021년03월_계_30~39세,"1,018",620,115,59,69,69,86
2021년03월_계_40~49세,"1,667",911,173,126,130,162,165
2021년03월_계_50~59세,"2,924","1,246",364,286,335,313,380
2021년03월_계_60~69세,"3,506","1,292",520,426,391,394,483
2021년03월_계_70~79세,"2,654",899,411,371,302,288,383
2021년03월_계_80~89세,"1,720",521,261,237,262,200,239
2021년03월_계_90~99세,266,102,40,32,31,32,29
2021년03월_계_100세 이상,19,2,1,4,1,6,5
2021년03월_남_총인구수,"8,204","3,559","1,035",876,860,858,"1,016"
2021년03월_남_연령구간인구수,"8,204","3,559","1,035",876,860,858,"1,016"
2021년03월_남_0~9세,380,241,35,29,18,34,23
2021년03월_남_10~19세,472,268,46,26,41,47,44
2021년03월_남_20~29세,665,376,56,45,63,58,67
2021년03월_남_30~39세,552,325,63,38,41,37,48
2021년03월_남_40~49세,982,507,117,86,70,100,102
2021년03월_남_50~59세,"1,606",646,199,178,188,178,217
2021년03월_남_60~69세,"1,768",639,255,207,203,202,262
2021년03월_남_70~79세,"1,152",377,169,184,136,120,166
2021년03월_남_80~89세,561,161,86,75,91,68,80
2021년03월_남_90~99세,62,19,8,7,9,13,6
2021년03월_남_100세 이상,4,0,1,1,0,1,1
2021년03월_여_총인구수,"8,345","3,655","1,101",853,885,856,995
2021년03월_여_연령구간인구수,"8,345","3,655","1,101",853,885,856,995
2021년03월_여_0~9세,346,201,39,25,21,25,35
2021년03월_여_10~19세,446,270,30,29,36,51,30
2021년03월_여_20~29세,466,265,45,34,45,35,42
2021년03월_여_30~39세,466,295,52,21,28,32,38
2021년03월_여_40~49세,685,404,56,40,60,62,63
2021년03월_여_50~59세,"1,318",600,165,108,147,135,163
2021년03월_여_60~69세,"1,738",653,265,219,188,192,221
2021년03월_여_70~79세,"1,502",522,242,187,166,168,217
2021년03월_여_80~89세,"1,159",360,175,162,171,132,159
2021년03월_여_90~99세,204,83,32,25,22,19,23
2021년03월_여_100세 이상,15,2,0,3,1,5,4
