카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년02월_계_총인구수,"1,598,599","840,272","180,277","201,704","263,132","195,159","210,643","134,171","32,840","50,903","48,364","37,419","81,301","38,185","94,909","29,592"
2020년02월_계_연령구간인구수,"1,598,599","840,272","180,277","201,704","263,132","195,159","210,643","134,171","32,840","50,903","48,364","37,419","81,301","38,185","94,909","29,592"
2020년02월_계_0~9세,"128,290","76,590","15,095","15,467","24,678","21,350","15,194","9,261","1,561","2,748","2,530","3,548","7,712","1,364","6,502","1,280"
2020년02월_계_10~19세,"153,119","87,960","19,465","21,700","27,105","19,690","19,466","12,197","2,198","4,045","3,619","3,465","7,877","2,196","8,010","2,086"
2020년02월_계_20~29세,"198,910","118,650","23,099","29,197","40,481","25,873","24,405","15,097","2,492","4,547","4,697","4,574","8,937","3,210","9,895","2,406"
2020년02월_계_30~39세,"198,768","119,812","21,145","24,492","41,067","33,108","23,995","13,556","2,362","4,095","3,560","4,943","11,327","2,618","10,344","2,156"
2020년02월_계_40~49세,"243,982","137,264","29,207","32,615","43,349","32,093","31,614","18,926","3,481","6,434","5,635","5,768","13,122","3,978","14,264","3,496"
2020년02월_계_50~59세,"273,857","136,734","31,508","35,230","42,471","27,525","37,969","24,395","6,040","9,153","8,654","6,113","13,464","7,542","17,972","5,821"
2020년02월_계_60~69세,"209,926","90,864","21,839","23,994","25,717","19,314","29,826","21,571","6,527","9,394","8,790","4,724","9,590","8,170","14,409","6,061"
2020년02월_계_70~79세,"119,037","46,274","11,942","12,249","11,811","10,272","17,432","12,320","4,607","6,191","6,445","2,680","5,455","5,460","8,245","3,928"
2020년02월_계_80~89세,"63,513","22,770","6,024","5,889","5,672","5,185","9,488","5,991","3,075","3,725","3,851","1,434","3,363","3,195","4,540","2,081"
2020년02월_계_90~99세,"8,656","3,166",898,819,743,706,"1,187",787,473,544,551,159,436,425,674,254
2020년02월_계_100세 이상,541,188,55,52,38,43,67,70,24,27,32,11,18,27,54,23
2020년02월_남_총인구수,"809,805","423,236","89,785","100,113","133,439","99,899","106,535","67,244","16,521","25,665","23,990","19,373","42,535","19,500","50,219","14,987"
