카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년06월_계_총인구수,"235,394","26,324","5,863","6,844","11,899","10,542","5,280","50,148","9,704","27,174","27,364","54,252"
2021년06월_계_연령구간인구수,"235,394","26,324","5,863","6,844","11,899","10,542","5,280","50,148","9,704","27,174","27,364","54,252"
2021년06월_계_0~9세,"20,157","1,289",148,379,614,492,204,"4,641",635,"1,917","2,213","7,625"
2021년06월_계_10~19세,"24,361","2,495",307,359,836,512,265,"6,962",737,"2,627","3,402","5,859"
2021년06월_계_20~29세,"27,764","3,254",648,802,"1,262","1,094",560,"5,441","1,515","3,448","3,875","5,865"
2021년06월_계_30~39세,"28,500","2,288",456,764,"1,134","1,075",448,"5,240","1,197","2,880","2,987","10,031"
2021년06월_계_40~49세,"40,060","3,867",650,774,"1,628","1,141",605,"10,097","1,347","4,289","4,922","10,740"
2021년06월_계_50~59세,"38,901","5,133","1,241","1,197","2,470","1,797","1,033","7,590","1,754","5,407","4,681","6,598"
2021년06월_계_60~69세,"30,541","4,404","1,375","1,442","2,279","2,294","1,109","5,312","1,392","3,847","2,597","4,490"
2021년06월_계_70~79세,"16,446","2,285",656,682,"1,058","1,312",666,"3,343",728,"1,881","1,641","2,194"
2021년06월_계_80~89세,"7,529","1,147",327,369,538,666,344,"1,336",338,793,933,738
2021년06월_계_90~99세,"1,088",156,55,74,79,154,45,179,48,85,107,106
2021년06월_계_100세 이상,47,6,0,2,1,5,1,7,13,0,6,6
2021년06월_남_총인구수,"119,411","13,332","3,345","3,833","6,433","5,413","2,787","24,499","5,115","13,788","13,562","27,304"
2021년06월_남_연령구간인구수,"119,411","13,332","3,345","3,833","6,433","5,413","2,787","24,499","5,115","13,788","13,562","27,304"
2021년06월_남_0~9세,"10,292",626,79,180,311,262,103,"2,339",317,999,"1,142","3,934"
2021년06월_남_10~19세,"12,405","1,292",168,178,454,283,147,"3,517",388,"1,357","1,745","2,876"
2021년06월_남_20~29세,"14,886","1,781",390,518,739,667,317,"2,751",875,"1,824","2,024","3,000"
2021년06월_남_30~39세,"14,692","1,241",295,464,639,588,253,"2,538",658,"1,528","1,490","4,998"
2021년06월_남_40~49세,"20,669","1,970",407,480,927,621,349,"4,960",723,"2,227","2,434","5,571"
2021년06월_남_50~59세,"20,381","2,686",763,705,"1,379",902,540,"3,952",944,"2,753","2,403","3,354"
2021년06월_남_60~69세,"15,329","2,237",772,820,"1,246","1,137",625,"2,361",723,"1,962","1,261","2,185"
2021년06월_남_70~79세,"7,671","1,065",341,335,513,654,310,"1,519",338,832,661,"1,103"
2021년06월_남_80~89세,"2,839",406,118,137,206,264,135,517,135,288,368,265
2021년06월_남_90~99세,237,28,12,16,19,33,8,45,11,18,29,18
2021년06월_남_100세 이상,10,0,0,0,0,2,0,0,3,0,5,0
2021년06월_여_총인구수,"115,983","12,992","2,518","3,011","5,466","5,129","2,493","25,649","4,589","13,386","13,802","26,948"
2021년06월_여_연령구간인구수,"115,983","12,992","2,518","3,011","5,466","5,129","2,493","25,649","4,589","13,386","13,802","26,948"
2021년06월_여_0~9세,"9,865",663,69,199,303,230,101,"2,302",318,918,"1,071","3,691"
2021년06월_여_10~19세,"11,956","1,203",139,181,382,229,118,"3,445",349,"1,270","1,657","2,983"
2021년06월_여_20~29세,"12,878","1,473",258,284,523,427,243,"2,690",640,"1,624","1,851","2,865"
2021년06월_여_30~39세,"13,808","1,047",161,300,495,487,195,"2,702",539,"1,352","1,497","5,033"
2021년06월_여_40~49세,"19,391","1,897",243,294,701,520,256,"5,137",624,"2,062","2,488","5,169"
2021년06월_여_50~59세,"18,520","2,447",478,492,"1,091",895,493,"3,638",810,"2,654","2,278","3,244"
2021년06월_여_60~69세,"15,212","2,167",603,622,"1,033","1,157",484,"2,951",669,"1,885","1,336","2,305"
2021년06월_여_70~79세,"8,775","1,220",315,347,545,658,356,"1,824",390,"1,049",980,"1,091"
2021년06월_여_80~89세,"4,690",741,209,232,332,402,209,819,203,505,565,473
2021년06월_여_90~99세,851,128,43,58,60,121,37,134,37,67,78,88
2021년06월_여_100세 이상,37,6,0,2,1,3,1,7,10,0,1,6
