카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년05월_계_총인구수,"46,077","14,271","2,879","3,253","1,271","3,675","1,933","2,869","2,665","1,902","2,466","4,497","4,396"
2020년05월_계_연령구간인구수,"46,077","14,271","2,879","3,253","1,271","3,675","1,933","2,869","2,665","1,902","2,466","4,497","4,396"
2020년05월_계_0~9세,"2,345","1,068",133,124,40,145,65,78,84,78,113,218,199
2020년05월_계_10~19세,"3,044","1,239",113,179,51,208,109,142,132,85,122,323,341
2020년05월_계_20~29세,"4,885","1,677",250,286,102,333,183,624,226,169,202,418,415
2020년05월_계_30~39세,"3,714","1,493",229,247,80,252,127,161,200,131,185,306,303
2020년05월_계_40~49세,"5,319","1,922",322,339,114,382,182,233,264,185,254,574,548
2020년05월_계_50~59세,"8,190","2,260",543,641,255,713,395,439,455,355,467,837,830
2020년05월_계_60~69세,"7,921","2,037",557,642,259,683,376,461,544,390,481,784,707
2020년05월_계_70~79세,"6,286","1,580",447,494,204,552,286,406,427,321,395,572,602
2020년05월_계_80~89세,"3,753",845,245,254,138,360,179,280,281,159,220,395,397
2020년05월_계_90~99세,588,141,39,44,27,41,30,43,49,27,26,67,54
2020년05월_계_100세 이상,32,9,1,3,1,6,1,2,3,2,1,3,0
2020년05월_남_총인구수,"23,463","7,241","1,451","1,654",640,"1,884",995,"1,639","1,353",938,"1,227","2,255","2,186"
2020년05월_남_연령구간인구수,"23,463","7,241","1,451","1,654",640,"1,884",995,"1,639","1,353",938,"1,227","2,255","2,186"
2020년05월_남_0~9세,"1,171",521,64,61,19,80,38,35,45,45,50,115,98
2020년05월_남_10~19세,"1,595",650,59,90,23,110,60,92,68,41,58,180,164
2020년05월_남_20~29세,"2,919",959,134,160,56,192,102,533,129,83,106,229,236
2020년05월_남_30~39세,"1,966",776,122,135,42,144,68,92,115,59,90,163,160
2020년05월_남_40~49세,"3,098","1,069",202,202,65,231,105,138,181,117,160,314,314
2020년05월_남_50~59세,"4,528","1,220",302,351,150,392,214,242,249,189,264,478,477
2020년05월_남_60~69세,"4,084","1,013",280,356,140,360,217,232,273,198,242,399,374
2020년05월_남_70~79세,"2,775",708,198,212,88,241,127,180,188,144,191,250,248
2020년05월_남_80~89세,"1,198",294,81,78,49,123,60,87,96,52,63,108,107
2020년05월_남_90~99세,126,30,9,9,8,10,4,8,9,10,3,18,8
2020년05월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년05월_여_총인구수,"22,614","7,030","1,428","1,599",631,"1,791",938,"1,230","1,312",964,"1,239","2,242","2,210"
2020년05월_여_연령구간인구수,"22,614","7,030","1,428","1,599",631,"1,791",938,"1,230","1,312",964,"1,239","2,242","2,210"
2020년05월_여_0~9세,"1,174",547,69,63,21,65,27,43,39,33,63,103,101
2020년05월_여_10~19세,"1,449",589,54,89,28,98,49,50,64,44,64,143,177
2020년05월_여_20~29세,"1,966",718,116,126,46,141,81,91,97,86,96,189,179
2020년05월_여_30~39세,"1,748",717,107,112,38,108,59,69,85,72,95,143,143
2020년05월_여_40~49세,"2,221",853,120,137,49,151,77,95,83,68,94,260,234
2020년05월_여_50~59세,"3,662","1,040",241,290,105,321,181,197,206,166,203,359,353
2020년05월_여_60~69세,"3,837","1,024",277,286,119,323,159,229,271,192,239,385,333
2020년05월_여_70~79세,"3,511",872,249,282,116,311,159,226,239,177,204,322,354
2020년05월_여_80~89세,"2,555",551,164,176,89,237,119,193,185,107,157,287,290
2020년05월_여_90~99세,462,111,30,35,19,31,26,35,40,17,23,49,46
2020년05월_여_100세 이상,29,8,1,3,1,5,1,2,3,2,1,2,0
