카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년12월_계_총인구수,"41,523","2,482","2,893","6,520","10,707","4,672","1,060","1,028","4,792","7,369"
2020년12월_계_연령구간인구수,"41,523","2,482","2,893","6,520","10,707","4,672","1,060","1,028","4,792","7,369"
2020년12월_계_0~9세,"1,320",37,76,214,389,111,17,16,182,278
2020년12월_계_10~19세,"2,027",76,107,383,560,192,38,28,212,431
2020년12월_계_20~29세,"5,679",616,314,936,"1,507",542,115,66,799,784
2020년12월_계_30~39세,"4,471",430,245,675,"1,129",482,106,89,663,652
2020년12월_계_40~49세,"5,394",280,350,915,"1,456",549,122,109,664,949
2020년12월_계_50~59세,"7,074",361,536,"1,100","1,812",808,196,206,720,"1,335"
2020년12월_계_60~69세,"7,891",379,582,"1,149","1,986","1,005",248,299,774,"1,469"
2020년12월_계_70~79세,"5,110",194,450,777,"1,243",637,133,155,510,"1,011"
2020년12월_계_80~89세,"2,097",83,182,290,540,273,65,45,224,395
2020년12월_계_90~99세,375,23,46,72,72,48,15,14,35,50
2020년12월_계_100세 이상,85,3,5,9,13,25,5,1,9,15
2020년12월_남_총인구수,"20,282","1,220","1,456","3,071","5,200","2,214",536,572,"2,440","3,573"
2020년12월_남_연령구간인구수,"20,282","1,220","1,456","3,071","5,200","2,214",536,572,"2,440","3,573"
2020년12월_남_0~9세,689,19,34,113,195,67,9,9,101,142
2020년12월_남_10~19세,"1,032",41,47,181,289,105,21,13,110,225
2020년12월_남_20~29세,"2,806",249,170,458,749,256,63,35,405,421
2020년12월_남_30~39세,"2,424",227,135,354,589,266,56,49,386,362
2020년12월_남_40~49세,"2,939",148,204,476,793,296,64,70,388,500
2020년12월_남_50~59세,"3,562",199,277,517,909,393,102,135,373,657
2020년12월_남_60~69세,"3,709",195,286,536,918,440,131,169,365,669
2020년12월_남_70~79세,"2,226",104,212,317,520,281,58,75,226,433
2020년12월_남_80~89세,768,32,77,101,212,91,24,10,74,147
2020년12월_남_90~99세,107,6,13,13,23,13,6,7,10,16
2020년12월_남_100세 이상,20,0,1,5,3,6,2,0,2,1
2020년12월_여_총인구수,"21,241","1,262","1,437","3,449","5,507","2,458",524,456,"2,352","3,796"
2020년12월_여_연령구간인구수,"21,241","1,262","1,437","3,449","5,507","2,458",524,456,"2,352","3,796"
2020년12월_여_0~9세,631,18,42,101,194,44,8,7,81,136
2020년12월_여_10~19세,995,35,60,202,271,87,17,15,102,206
2020년12월_여_20~29세,"2,873",367,144,478,758,286,52,31,394,363
2020년12월_여_30~39세,"2,047",203,110,321,540,216,50,40,277,290
2020년12월_여_40~49세,"2,455",132,146,439,663,253,58,39,276,449
2020년12월_여_50~59세,"3,512",162,259,583,903,415,94,71,347,678
2020년12월_여_60~69세,"4,182",184,296,613,"1,068",565,117,130,409,800
2020년12월_여_70~79세,"2,884",90,238,460,723,356,75,80,284,578
2020년12월_여_80~89세,"1,329",51,105,189,328,182,41,35,150,248
2020년12월_여_90~99세,268,17,33,59,49,35,9,7,25,34
2020년12월_여_100세 이상,65,3,4,4,10,19,3,1,7,14
