,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년09월_계_총인구수,"312,159","7,497","6,563","46,434","15,779","19,060","25,471","29,950","2,753","24,970","25,667","3,910","3,575","52,990","47,540"
2021년09월_계_연령구간인구수,"312,159","7,497","6,563","46,434","15,779","19,060","25,471","29,950","2,753","24,970","25,667","3,910","3,575","52,990","47,540"
2021년09월_계_0~9세,"31,512",320,278,"3,972",959,"1,071","1,991","4,320",81,"3,504","3,406",129,157,"5,013","6,311"
2021년09월_계_10~19세,"27,552",398,384,"3,865","1,021","1,083","2,468","3,046",137,"2,350","2,733",193,172,"4,335","5,367"
2021년09월_계_20~29세,"38,161",896,951,"5,129","2,077","2,415","3,131","3,206",337,"2,880","2,841",469,467,"9,370","3,992"
2021년09월_계_30~39세,"51,951","1,008","1,022","6,899","2,235","2,923","3,353","5,209",363,"4,731","4,189",416,463,"11,943","7,197"
2021년09월_계_40~49세,"55,553",963,909,"7,401","2,147","2,511","4,334","6,105",362,"4,386","5,090",503,435,"9,907","10,500"
2021년09월_계_50~59세,"44,796","1,417","1,174","7,097","2,775","3,308","4,143","3,864",570,"3,299","3,836",776,705,"5,858","5,974"
2021년09월_계_60~69세,"38,181","1,567","1,095","7,141","2,786","3,500","3,568","2,673",530,"2,381","2,484",792,717,"4,019","4,928"
2021년09월_계_70~79세,"17,059",599,527,"3,492","1,244","1,561","1,724","1,023",237,990,775,387,294,"1,834","2,372"
2021년09월_계_80~89세,"6,246",256,190,"1,247",470,594,642,388,115,372,263,209,155,588,757
2021년09월_계_90~99세,"1,093",66,31,182,61,90,115,107,20,72,49,33,9,121,137
2021년09월_계_100세 이상,55,7,2,9,4,4,2,9,1,5,1,3,1,2,5
2021년09월_남_총인구수,"156,333","4,151","3,386","22,940","8,019","9,612","12,675","14,813","1,531","12,526","12,573","2,212","2,038","26,449","23,408"
2021년09월_남_연령구간인구수,"156,333","4,151","3,386","22,940","8,019","9,612","12,675","14,813","1,531","12,526","12,573","2,212","2,038","26,449","23,408"
2021년09월_남_0~9세,"16,136",158,146,"2,044",504,537,"1,071","2,140",46,"1,837","1,692",65,74,"2,597","3,225"
2021년09월_남_10~19세,"13,936",208,196,"1,981",546,565,"1,241","1,528",72,"1,186","1,370",107,90,"2,123","2,723"
2021년09월_남_20~29세,"19,208",532,511,"2,623","1,152","1,314","1,655","1,619",203,"1,449","1,409",264,272,"4,182","2,023"
2021년09월_남_30~39세,"26,249",597,604,"3,553","1,214","1,607","1,727","2,431",222,"2,302","1,886",248,287,"6,286","3,285"
2021년09월_남_40~49세,"28,902",599,502,"3,758","1,124","1,332","2,184","3,168",209,"2,255","2,560",309,270,"5,219","5,413"
2021년09월_남_50~59세,"22,434",811,593,"3,373","1,333","1,621","2,033","1,920",319,"1,665","1,862",492,412,"3,010","2,990"
2021년09월_남_60~69세,"18,473",835,528,"3,370","1,323","1,677","1,671","1,300",293,"1,182","1,278",442,416,"1,869","2,289"
2021년09월_남_70~79세,"8,491",300,235,"1,702",618,748,820,549,118,513,416,189,155,938,"1,190"
2021년09월_남_80~89세,"2,251",95,65,488,190,198,249,133,40,121,86,90,59,198,239
2021년09월_남_90~99세,241,13,6,45,14,11,24,23,9,16,14,5,3,27,31
2021년09월_남_100세 이상,12,3,0,3,1,2,0,2,0,0,0,1,0,0,0
2021년09월_여_총인구수,"155,826","3,346","3,177","23,494","7,760","9,448","12,796","15,137","1,222","12,444","13,094","1,698","1,537","26,541","24,132"
2021년09월_여_연령구간인구수,"155,826","3,346","3,177","23,494","7,760","9,448","12,796","15,137","1,222","12,444","13,094","1,698","1,537","26,541","24,132"
2021년09월_여_0~9세,"15,376",162,132,"1,928",455,534,920,"2,180",35,"1,667","1,714",64,83,"2,416","3,086"
2021년09월_여_10~19세,"13,616",190,188,"1,884",475,518,"1,227","1,518",65,"1,164","1,363",86,82,"2,212","2,644"
2021년09월_여_20~29세,"18,953",364,440,"2,506",925,"1,101","1,476","1,587",134,"1,431","1,432",205,195,"5,188","1,969"
2021년09월_여_30~39세,"25,702",411,418,"3,346","1,021","1,316","1,626","2,778",141,"2,429","2,303",168,176,"5,657","3,912"
2021년09월_여_40~49세,"26,651",364,407,"3,643","1,023","1,179","2,150","2,937",153,"2,131","2,530",194,165,"4,688","5,087"
2021년09월_여_50~59세,"22,362",606,581,"3,724","1,442","1,687","2,110","1,944",251,"1,634","1,974",284,293,"2,848","2,984"
2021년09월_여_60~69세,"19,708",732,567,"3,771","1,463","1,823","1,897","1,373",237,"1,199","1,206",350,301,"2,150","2,639"
2021년09월_여_70~79세,"8,568",299,292,"1,790",626,813,904,474,119,477,359,198,139,896,"1,182"
2021년09월_여_80~89세,"3,995",161,125,759,280,396,393,255,75,251,177,119,96,390,518
2021년09월_여_90~99세,852,53,25,137,47,79,91,84,11,56,35,28,6,94,106
2021년09월_여_100세 이상,43,4,2,6,3,2,2,7,1,5,1,2,1,2,5
