카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년01월_계_총인구수,"25,030","5,217","1,850","2,510","2,091","2,534","2,611","1,793","6,424"
2021년01월_계_연령구간인구수,"25,030","5,217","1,850","2,510","2,091","2,534","2,611","1,793","6,424"
2021년01월_계_0~9세,973,291,49,64,76,60,71,53,309
2021년01월_계_10~19세,"1,212",362,56,97,97,99,95,49,357
2021년01월_계_20~29세,"1,677",468,92,129,131,120,117,94,526
2021년01월_계_30~39세,"1,686",482,122,122,104,126,114,100,516
2021년01월_계_40~49세,"2,370",600,143,159,207,184,201,131,745
2021년01월_계_50~59세,"4,715","1,011",365,495,409,482,492,286,"1,175"
2021년01월_계_60~69세,"5,542",919,465,654,449,699,622,447,"1,287"
2021년01월_계_70~79세,"4,036",630,338,476,350,451,528,335,928
2021년01월_계_80~89세,"2,493",394,200,281,239,275,321,255,528
2021년01월_계_90~99세,305,52,20,32,27,37,47,41,49
2021년01월_계_100세 이상,21,8,0,1,2,1,3,2,4
2021년01월_남_총인구수,"12,477","2,597",919,"1,231","1,036","1,259","1,249",888,"3,298"
2021년01월_남_연령구간인구수,"12,477","2,597",919,"1,231","1,036","1,259","1,249",888,"3,298"
2021년01월_남_0~9세,499,156,23,33,38,34,35,25,155
2021년01월_남_10~19세,643,177,36,56,53,55,55,21,190
2021년01월_남_20~29세,"1,021",279,53,76,80,65,76,53,339
2021년01월_남_30~39세,985,270,79,68,58,77,60,68,305
2021년01월_남_40~49세,"1,358",320,90,88,123,106,114,82,435
2021년01월_남_50~59세,"2,504",533,185,261,223,254,251,160,637
2021년01월_남_60~69세,"2,762",453,243,318,219,345,314,242,628
2021년01월_남_70~79세,"1,769",269,147,211,150,206,223,150,413
2021년01월_남_80~89세,872,132,61,113,85,110,110,78,183
2021년01월_남_90~99세,58,6,2,6,7,7,11,8,11
2021년01월_남_100세 이상,6,2,0,1,0,0,0,1,2
2021년01월_여_총인구수,"12,553","2,620",931,"1,279","1,055","1,275","1,362",905,"3,126"
2021년01월_여_연령구간인구수,"12,553","2,620",931,"1,279","1,055","1,275","1,362",905,"3,126"
2021년01월_여_0~9세,474,135,26,31,38,26,36,28,154
2021년01월_여_10~19세,569,185,20,41,44,44,40,28,167
2021년01월_여_20~29세,656,189,39,53,51,55,41,41,187
2021년01월_여_30~39세,701,212,43,54,46,49,54,32,211
2021년01월_여_40~49세,"1,012",280,53,71,84,78,87,49,310
2021년01월_여_50~59세,"2,211",478,180,234,186,228,241,126,538
2021년01월_여_60~69세,"2,780",466,222,336,230,354,308,205,659
2021년01월_여_70~79세,"2,267",361,191,265,200,245,305,185,515
2021년01월_여_80~89세,"1,621",262,139,168,154,165,211,177,345
2021년01월_여_90~99세,247,46,18,26,20,30,36,33,38
2021년01월_여_100세 이상,15,6,0,0,2,1,3,1,2
