카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년06월_계_총인구수,"28,652","10,435","5,332","2,476","2,062","3,241","1,899","1,502","1,705"
2021년06월_계_연령구간인구수,"28,652","10,435","5,332","2,476","2,062","3,241","1,899","1,502","1,705"
2021년06월_계_0~9세,"1,149",626,252,57,51,71,40,21,31
2021년06월_계_10~19세,"1,911",909,404,103,137,172,67,32,87
2021년06월_계_20~29세,"2,119","1,081",432,121,99,131,83,68,104
2021년06월_계_30~39세,"1,906",989,400,88,78,134,69,71,77
2021년06월_계_40~49세,"3,157","1,443",666,194,174,302,140,114,124
2021년06월_계_50~59세,"5,429","1,910",962,497,390,663,393,281,333
2021년06월_계_60~69세,"6,662","1,897","1,067",694,577,882,586,468,491
2021년06월_계_70~79세,"3,841",986,731,418,346,538,309,255,258
2021년06월_계_80~89세,"2,174",521,375,254,185,306,191,170,172
2021년06월_계_90~99세,288,70,42,46,23,42,21,21,23
2021년06월_계_100세 이상,16,3,1,4,2,0,0,1,5
2021년06월_남_총인구수,"14,495","5,215","2,767","1,231","1,101","1,547","1,042",763,829
2021년06월_남_연령구간인구수,"14,495","5,215","2,767","1,231","1,101","1,547","1,042",763,829
2021년06월_남_0~9세,599,323,136,25,32,35,22,9,17
2021년06월_남_10~19세,"1,021",459,226,56,89,94,46,14,37
2021년06월_남_20~29세,"1,224",601,266,58,55,85,62,35,62
2021년06월_남_30~39세,"1,022",516,228,49,44,68,37,43,37
2021년06월_남_40~49세,"1,733",753,379,109,104,153,89,73,73
2021년06월_남_50~59세,"2,908","1,021",532,278,206,327,213,157,174
2021년06월_남_60~69세,"3,425",929,534,361,304,433,339,259,266
2021년06월_남_70~79세,"1,721",421,317,191,185,235,150,116,106
2021년06월_남_80~89세,764,177,138,90,75,109,75,51,49
2021년06월_남_90~99세,74,15,10,12,7,8,9,6,7
2021년06월_남_100세 이상,4,0,1,2,0,0,0,0,1
2021년06월_여_총인구수,"14,157","5,220","2,565","1,245",961,"1,694",857,739,876
2021년06월_여_연령구간인구수,"14,157","5,220","2,565","1,245",961,"1,694",857,739,876
2021년06월_여_0~9세,550,303,116,32,19,36,18,12,14
2021년06월_여_10~19세,890,450,178,47,48,78,21,18,50
2021년06월_여_20~29세,895,480,166,63,44,46,21,33,42
2021년06월_여_30~39세,884,473,172,39,34,66,32,28,40
2021년06월_여_40~49세,"1,424",690,287,85,70,149,51,41,51
2021년06월_여_50~59세,"2,521",889,430,219,184,336,180,124,159
2021년06월_여_60~69세,"3,237",968,533,333,273,449,247,209,225
2021년06월_여_70~79세,"2,120",565,414,227,161,303,159,139,152
2021년06월_여_80~89세,"1,410",344,237,164,110,197,116,119,123
2021년06월_여_90~99세,214,55,32,34,16,34,12,15,16
2021년06월_여_100세 이상,12,3,0,2,2,0,0,1,4
