카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년09월_계_총인구수,"45,976","20,199","3,228","4,228","2,227","1,897","2,336","3,151",976,"2,750","1,827","3,157"
2021년09월_계_연령구간인구수,"45,976","20,199","3,228","4,228","2,227","1,897","2,336","3,151",976,"2,750","1,827","3,157"
2021년09월_계_0~9세,"2,156","1,454",80,155,42,49,61,97,27,70,35,86
2021년09월_계_10~19세,"3,210","1,939",153,298,101,86,102,167,49,104,81,130
2021년09월_계_20~29세,"3,918","2,384",211,259,132,105,102,280,40,136,93,176
2021년09월_계_30~39세,"3,000","1,836",155,241,86,72,89,153,28,115,63,162
2021년09월_계_40~49세,"4,995","2,899",281,389,203,144,167,253,67,182,163,247
2021년09월_계_50~59세,"8,101","3,442",618,760,426,332,373,616,194,457,330,553
2021년09월_계_60~69세,"9,690","3,169",845,"1,023",545,491,634,733,245,764,423,818
2021년09월_계_70~79세,"6,375","1,941",490,653,405,315,456,499,171,507,359,579
2021년09월_계_80~89세,"3,981","1,017",345,405,249,270,296,323,137,352,230,357
2021년09월_계_90~99세,536,115,48,44,36,32,54,30,17,62,50,48
2021년09월_계_100세 이상,14,3,2,1,2,1,2,0,1,1,0,1
2021년09월_남_총인구수,"22,912","9,977","1,642","2,126","1,107",944,"1,141","1,611",483,"1,381",910,"1,590"
2021년09월_남_연령구간인구수,"22,912","9,977","1,642","2,126","1,107",944,"1,141","1,611",483,"1,381",910,"1,590"
2021년09월_남_0~9세,"1,100",729,45,87,21,25,26,45,15,40,23,44
2021년09월_남_10~19세,"1,667","1,007",72,157,51,46,61,96,27,44,40,66
2021년09월_남_20~29세,"2,212","1,287",116,149,78,65,60,182,22,92,56,105
2021년09월_남_30~39세,"1,589",930,96,129,48,43,48,89,17,63,41,85
2021년09월_남_40~49세,"2,697","1,465",156,218,118,91,98,148,38,117,99,149
2021년09월_남_50~59세,"4,329","1,778",341,417,235,181,216,336,112,249,173,291
2021년09월_남_60~69세,"4,993","1,577",452,530,271,255,327,383,136,395,238,429
2021년09월_남_70~79세,"2,825",834,243,285,190,137,199,216,68,232,149,272
2021년09월_남_80~89세,"1,380",349,111,146,86,92,97,109,44,136,79,131
2021년09월_남_90~99세,117,21,10,8,8,9,8,7,4,13,12,17
2021년09월_남_100세 이상,3,0,0,0,1,0,1,0,0,0,0,1
2021년09월_여_총인구수,"23,064","10,222","1,586","2,102","1,120",953,"1,195","1,540",493,"1,369",917,"1,567"
2021년09월_여_연령구간인구수,"23,064","10,222","1,586","2,102","1,120",953,"1,195","1,540",493,"1,369",917,"1,567"
2021년09월_여_0~9세,"1,056",725,35,68,21,24,35,52,12,30,12,42
2021년09월_여_10~19세,"1,543",932,81,141,50,40,41,71,22,60,41,64
2021년09월_여_20~29세,"1,706","1,097",95,110,54,40,42,98,18,44,37,71
2021년09월_여_30~39세,"1,411",906,59,112,38,29,41,64,11,52,22,77
2021년09월_여_40~49세,"2,298","1,434",125,171,85,53,69,105,29,65,64,98
2021년09월_여_50~59세,"3,772","1,664",277,343,191,151,157,280,82,208,157,262
2021년09월_여_60~69세,"4,697","1,592",393,493,274,236,307,350,109,369,185,389
2021년09월_여_70~79세,"3,550","1,107",247,368,215,178,257,283,103,275,210,307
2021년09월_여_80~89세,"2,601",668,234,259,163,178,199,214,93,216,151,226
2021년09월_여_90~99세,419,94,38,36,28,23,46,23,13,49,38,31
2021년09월_여_100세 이상,11,3,2,1,1,1,1,0,1,1,0,0
