카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년12월_계_총인구수,"42,958","13,222","3,733","1,609","3,902","2,348","3,534","2,624","3,543","2,876","5,567"
2020년12월_계_연령구간인구수,"42,958","13,222","3,733","1,609","3,902","2,348","3,534","2,624","3,543","2,876","5,567"
2020년12월_계_0~9세,"1,591",864,76,35,123,89,64,49,110,48,133
2020년12월_계_10~19세,"2,937","1,415",234,93,176,176,197,88,175,113,270
2020년12월_계_20~29세,"3,314","1,566",220,106,204,189,195,132,219,165,318
2020년12월_계_30~39세,"2,467","1,142",157,74,196,130,156,102,166,110,234
2020년12월_계_40~49세,"4,596","1,948",337,137,383,259,313,216,311,204,488
2020년12월_계_50~59세,"7,345","2,218",623,310,672,471,582,433,572,473,991
2020년12월_계_60~69세,"8,314","1,955",776,319,843,503,713,545,708,679,"1,273"
2020년12월_계_70~79세,"6,673","1,220",691,272,698,325,701,523,644,540,"1,059"
2020년12월_계_80~89세,"4,875",766,533,229,508,170,526,466,526,447,704
2020년12월_계_90~99세,830,127,85,34,97,35,82,69,111,94,96
2020년12월_계_100세 이상,16,1,1,0,2,1,5,1,1,3,1
2020년12월_남_총인구수,"20,707","6,459","1,793",791,"1,873","1,216","1,666","1,256","1,655","1,358","2,640"
2020년12월_남_연령구간인구수,"20,707","6,459","1,793",791,"1,873","1,216","1,666","1,256","1,655","1,358","2,640"
2020년12월_남_0~9세,841,436,38,22,70,43,38,27,60,28,79
2020년12월_남_10~19세,"1,570",733,145,48,101,89,97,51,104,54,148
2020년12월_남_20~29세,"2,040",943,139,69,123,135,122,98,116,104,191
2020년12월_남_30~39세,"1,279",565,81,41,104,69,89,56,87,60,127
2020년12월_남_40~49세,"2,472",925,185,78,216,147,184,134,191,114,298
2020년12월_남_50~59세,"3,910","1,123",354,177,369,253,318,250,296,255,515
2020년12월_남_60~69세,"4,071",936,372,157,414,260,341,271,340,344,636
2020년12월_남_70~79세,"2,905",535,294,117,312,159,316,221,279,239,433
2020년12월_남_80~89세,"1,469",246,163,77,148,56,142,139,155,144,199
2020년12월_남_90~99세,148,17,21,5,15,5,19,9,27,16,14
2020년12월_남_100세 이상,2,0,1,0,1,0,0,0,0,0,0
2020년12월_여_총인구수,"22,251","6,763","1,940",818,"2,029","1,132","1,868","1,368","1,888","1,518","2,927"
2020년12월_여_연령구간인구수,"22,251","6,763","1,940",818,"2,029","1,132","1,868","1,368","1,888","1,518","2,927"
2020년12월_여_0~9세,750,428,38,13,53,46,26,22,50,20,54
2020년12월_여_10~19세,"1,367",682,89,45,75,87,100,37,71,59,122
2020년12월_여_20~29세,"1,274",623,81,37,81,54,73,34,103,61,127
2020년12월_여_30~39세,"1,188",577,76,33,92,61,67,46,79,50,107
2020년12월_여_40~49세,"2,124","1,023",152,59,167,112,129,82,120,90,190
2020년12월_여_50~59세,"3,435","1,095",269,133,303,218,264,183,276,218,476
2020년12월_여_60~69세,"4,243","1,019",404,162,429,243,372,274,368,335,637
2020년12월_여_70~79세,"3,768",685,397,155,386,166,385,302,365,301,626
2020년12월_여_80~89세,"3,406",520,370,152,360,114,384,327,371,303,505
2020년12월_여_90~99세,682,110,64,29,82,30,63,60,84,78,82
2020년12월_여_100세 이상,14,1,0,0,1,1,5,1,1,3,1
