,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년10월_계_총인구수,"98,535","6,065","1,644","2,158","1,621","1,113","3,444","2,588","3,860","5,137","2,399","1,705","2,181","5,176","14,162","6,804","16,421","15,730","6,327"
2021년10월_계_연령구간인구수,"98,535","6,065","1,644","2,158","1,621","1,113","3,444","2,588","3,860","5,137","2,399","1,705","2,181","5,176","14,162","6,804","16,421","15,730","6,327"
2021년10월_계_0~9세,"5,683",128,33,39,56,27,101,57,106,138,33,40,70,164,"1,002",429,"1,533","1,493",234
2021년10월_계_10~19세,"8,065",289,89,113,103,60,168,100,197,245,86,59,104,318,"1,401",651,"1,930","1,787",365
2021년10월_계_20~29세,"9,116",355,174,136,124,65,207,143,247,357,104,84,152,447,"1,616",706,"1,957","1,755",487
2021년10월_계_30~39세,"8,961",332,85,117,104,61,204,128,198,266,93,67,138,362,"1,565",727,"2,124","1,871",519
2021년10월_계_40~49세,"13,380",553,153,231,214,99,314,205,357,451,173,132,251,643,"2,151","1,053","2,980","2,692",728
2021년10월_계_50~59세,"16,629","1,060",269,388,302,209,558,406,647,918,356,244,386,912,"2,400","1,151","2,576","2,638","1,209"
2021년10월_계_60~69세,"17,874","1,572",411,524,387,255,839,596,927,"1,242",588,444,525,"1,119","2,138","1,019","1,894","1,940","1,454"
2021년10월_계_70~79세,"11,333","1,035",273,353,188,189,588,513,682,852,507,358,360,716,"1,262",663,931,"1,014",849
2021년10월_계_80~89세,"6,493",621,134,220,121,131,408,382,433,553,384,235,177,431,556,369,447,468,423
2021년10월_계_90~99세,961,120,23,36,21,17,56,58,60,105,73,42,17,63,70,35,46,63,56
2021년10월_계_100세 이상,40,0,0,1,1,0,1,0,6,10,2,0,1,1,1,1,3,9,3
2021년10월_남_총인구수,"49,996","3,079",861,"1,136",870,601,"1,791","1,296","1,945","2,586","1,190",874,"1,079","2,728","7,144","3,435","8,220","7,870","3,291"
2021년10월_남_연령구간인구수,"49,996","3,079",861,"1,136",870,601,"1,791","1,296","1,945","2,586","1,190",874,"1,079","2,728","7,144","3,435","8,220","7,870","3,291"
2021년10월_남_0~9세,"2,882",70,12,14,25,13,50,35,58,75,23,19,41,80,513,218,775,753,108
2021년10월_남_10~19세,"4,157",144,45,59,56,33,94,59,105,121,47,36,61,166,714,322,978,931,186
2021년10월_남_20~29세,"5,378",238,128,76,82,42,124,83,146,212,63,52,82,291,945,398,"1,104","1,008",304
2021년10월_남_30~39세,"4,869",191,41,73,61,39,136,84,115,157,56,32,76,220,844,401,"1,069",954,320
2021년10월_남_40~49세,"7,327",332,93,152,130,67,195,124,212,256,113,97,157,392,"1,084",569,"1,538","1,351",465
2021년10월_남_50~59세,"8,907",582,157,236,179,132,315,240,352,508,196,141,214,506,"1,235",604,"1,301","1,349",660
2021년10월_남_60~69세,"8,813",798,223,255,197,139,423,300,483,637,295,243,239,560,"1,023",476,896,920,706
2021년10월_남_70~79세,"5,126",476,123,176,93,87,301,231,310,398,221,159,154,340,556,288,404,441,368
2021년10월_남_80~89세,"2,311",219,35,88,43,45,144,126,155,198,154,84,52,158,212,150,144,144,160
2021년10월_남_90~99세,219,29,4,7,4,4,9,14,9,22,21,11,3,15,18,9,10,16,14
2021년10월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년10월_여_총인구수,"48,539","2,986",783,"1,022",751,512,"1,653","1,292","1,915","2,551","1,209",831,"1,102","2,448","7,018","3,369","8,201","7,860","3,036"
2021년10월_여_연령구간인구수,"48,539","2,986",783,"1,022",751,512,"1,653","1,292","1,915","2,551","1,209",831,"1,102","2,448","7,018","3,369","8,201","7,860","3,036"
2021년10월_여_0~9세,"2,801",58,21,25,31,14,51,22,48,63,10,21,29,84,489,211,758,740,126
2021년10월_여_10~19세,"3,908",145,44,54,47,27,74,41,92,124,39,23,43,152,687,329,952,856,179
2021년10월_여_20~29세,"3,738",117,46,60,42,23,83,60,101,145,41,32,70,156,671,308,853,747,183
2021년10월_여_30~39세,"4,092",141,44,44,43,22,68,44,83,109,37,35,62,142,721,326,"1,055",917,199
2021년10월_여_40~49세,"6,053",221,60,79,84,32,119,81,145,195,60,35,94,251,"1,067",484,"1,442","1,341",263
2021년10월_여_50~59세,"7,722",478,112,152,123,77,243,166,295,410,160,103,172,406,"1,165",547,"1,275","1,289",549
2021년10월_여_60~69세,"9,061",774,188,269,190,116,416,296,444,605,293,201,286,559,"1,115",543,998,"1,020",748
2021년10월_여_70~79세,"6,207",559,150,177,95,102,287,282,372,454,286,199,206,376,706,375,527,573,481
2021년10월_여_80~89세,"4,182",402,99,132,78,86,264,256,278,355,230,151,125,273,344,219,303,324,263
2021년10월_여_90~99세,742,91,19,29,17,13,47,44,51,83,52,31,14,48,52,26,36,47,42
2021년10월_여_100세 이상,33,0,0,1,1,0,1,0,6,8,1,0,1,1,1,1,2,6,3
