카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년08월_계_총인구수,"133,354","6,811","7,195","4,555","45,236","30,687","2,491","32,776","3,603"
2020년08월_계_연령구간인구수,"133,354","6,811","7,195","4,555","45,236","30,687","2,491","32,776","3,603"
2020년08월_계_0~9세,"19,629",184,503,91,"8,779","5,335",61,"4,559",117
2020년08월_계_10~19세,"11,141",299,481,150,"3,618","4,130",66,"2,252",145
2020년08월_계_20~29세,"11,939",661,849,376,"3,795","2,513",200,"3,254",291
2020년08월_계_30~39세,"26,631",571,885,362,"11,820","5,257",206,"7,220",310
2020년08월_계_40~49세,"22,518",715,916,388,"7,697","6,587",209,"5,588",418
2020년08월_계_50~59세,"16,525","1,290","1,137",984,"4,268","3,365",510,"4,221",750
2020년08월_계_60~69세,"15,207","1,635","1,333","1,278","3,473","2,368",612,"3,641",867
2020년08월_계_70~79세,"6,676","1,012",697,597,"1,268",812,416,"1,422",452
2020년08월_계_80~89세,"2,601",384,332,264,432,274,177,533,205
2020년08월_계_90~99세,443,57,55,54,77,45,31,81,43
2020년08월_계_100세 이상,44,3,7,11,9,1,3,5,5
2020년08월_남_총인구수,"68,912","3,768","4,000","2,419","22,660","15,259","1,322","17,581","1,903"
2020년08월_남_연령구간인구수,"68,912","3,768","4,000","2,419","22,660","15,259","1,322","17,581","1,903"
2020년08월_남_0~9세,"10,079",94,262,43,"4,427","2,765",28,"2,397",63
2020년08월_남_10~19세,"5,677",172,262,81,"1,768","2,092",44,"1,184",74
2020년08월_남_20~29세,"6,406",390,555,233,"1,838","1,285",115,"1,815",175
2020년08월_남_30~39세,"13,579",332,509,213,"5,863","2,370",121,"3,983",188
2020년08월_남_40~49세,"12,623",431,561,245,"4,274","3,388",139,"3,334",251
2020년08월_남_50~59세,"8,499",762,656,532,"1,993","1,702",276,"2,181",397
2020년08월_남_60~69세,"7,744",910,719,691,"1,669","1,150",327,"1,832",446
2020년08월_남_70~79세,"3,333",519,352,274,668,399,209,679,233
2020년08월_남_80~89세,881,147,116,92,147,94,56,162,67
2020년08월_남_90~99세,79,10,6,11,10,13,7,13,9
2020년08월_남_100세 이상,12,1,2,4,3,1,0,1,0
2020년08월_여_총인구수,"64,442","3,043","3,195","2,136","22,576","15,428","1,169","15,195","1,700"
2020년08월_여_연령구간인구수,"64,442","3,043","3,195","2,136","22,576","15,428","1,169","15,195","1,700"
2020년08월_여_0~9세,"9,550",90,241,48,"4,352","2,570",33,"2,162",54
2020년08월_여_10~19세,"5,464",127,219,69,"1,850","2,038",22,"1,068",71
2020년08월_여_20~29세,"5,533",271,294,143,"1,957","1,228",85,"1,439",116
2020년08월_여_30~39세,"13,052",239,376,149,"5,957","2,887",85,"3,237",122
2020년08월_여_40~49세,"9,895",284,355,143,"3,423","3,199",70,"2,254",167
2020년08월_여_50~59세,"8,026",528,481,452,"2,275","1,663",234,"2,040",353
2020년08월_여_60~69세,"7,463",725,614,587,"1,804","1,218",285,"1,809",421
2020년08월_여_70~79세,"3,343",493,345,323,600,413,207,743,219
2020년08월_여_80~89세,"1,720",237,216,172,285,180,121,371,138
2020년08월_여_90~99세,364,47,49,43,67,32,24,68,34
2020년08월_여_100세 이상,32,2,5,7,6,0,3,4,5
