,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년08월_계_총인구수,"37,101","9,705","2,089","1,906","2,253","3,114","2,142","5,101","3,327","2,720","2,050","2,694"
2021년08월_계_연령구간인구수,"37,101","9,705","2,089","1,906","2,253","3,114","2,142","5,101","3,327","2,720","2,050","2,694"
2021년08월_계_0~9세,"1,233",593,58,50,36,77,46,113,82,66,50,62
2021년08월_계_10~19세,"1,898",864,121,55,75,134,91,191,111,104,54,98
2021년08월_계_20~29세,"2,655","1,131",111,104,117,212,125,243,178,197,106,131
2021년08월_계_30~39세,"2,271",939,107,70,95,183,121,227,160,137,113,119
2021년08월_계_40~49세,"3,640","1,412",166,155,180,288,180,369,263,255,163,209
2021년08월_계_50~59세,"7,008","1,658",408,403,400,652,410,"1,044",655,504,366,508
2021년08월_계_60~69세,"9,137","1,588",554,545,672,763,553,"1,469",939,673,617,764
2021년08월_계_70~79세,"5,320",940,299,283,374,472,355,844,513,456,340,444
2021년08월_계_80~89세,"3,459",525,228,215,270,295,225,516,365,296,202,322
2021년08월_계_90~99세,462,53,37,26,32,37,34,79,60,31,36,37
2021년08월_계_100세 이상,18,2,0,0,2,1,2,6,1,1,3,0
2021년08월_남_총인구수,"19,060","4,961","1,096",967,"1,164","1,573","1,089","2,654","1,699","1,401","1,051","1,405"
2021년08월_남_연령구간인구수,"19,060","4,961","1,096",967,"1,164","1,573","1,089","2,654","1,699","1,401","1,051","1,405"
2021년08월_남_0~9세,623,306,29,28,15,30,23,59,39,36,23,35
2021년08월_남_10~19세,969,436,60,28,43,66,40,108,55,48,27,58
2021년08월_남_20~29세,"1,563",646,63,62,69,111,82,161,104,119,59,87
2021년08월_남_30~39세,"1,303",503,66,40,59,107,68,130,98,82,74,76
2021년08월_남_40~49세,"2,107",759,107,81,114,172,109,215,158,153,103,136
2021년08월_남_50~59세,"3,814",910,230,226,205,362,223,563,364,286,182,263
2021년08월_남_60~69세,"4,857",788,302,300,371,419,279,801,504,357,336,400
2021년08월_남_70~79세,"2,487",408,139,119,176,211,191,410,242,208,169,214
2021년08월_남_80~89세,"1,236",192,92,79,105,86,68,189,121,106,69,129
2021년08월_남_90~99세,97,12,8,4,6,9,6,17,14,5,9,7
2021년08월_남_100세 이상,4,1,0,0,1,0,0,1,0,1,0,0
2021년08월_여_총인구수,"18,041","4,744",993,939,"1,089","1,541","1,053","2,447","1,628","1,319",999,"1,289"
2021년08월_여_연령구간인구수,"18,041","4,744",993,939,"1,089","1,541","1,053","2,447","1,628","1,319",999,"1,289"
2021년08월_여_0~9세,610,287,29,22,21,47,23,54,43,30,27,27
2021년08월_여_10~19세,929,428,61,27,32,68,51,83,56,56,27,40
2021년08월_여_20~29세,"1,092",485,48,42,48,101,43,82,74,78,47,44
2021년08월_여_30~39세,968,436,41,30,36,76,53,97,62,55,39,43
2021년08월_여_40~49세,"1,533",653,59,74,66,116,71,154,105,102,60,73
2021년08월_여_50~59세,"3,194",748,178,177,195,290,187,481,291,218,184,245
2021년08월_여_60~69세,"4,280",800,252,245,301,344,274,668,435,316,281,364
2021년08월_여_70~79세,"2,833",532,160,164,198,261,164,434,271,248,171,230
2021년08월_여_80~89세,"2,223",333,136,136,165,209,157,327,244,190,133,193
2021년08월_여_90~99세,365,41,29,22,26,28,28,62,46,26,27,30
2021년08월_여_100세 이상,14,1,0,0,1,1,2,5,1,0,3,0
