카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년09월_계_총인구수,"474,062","36,788","38,732","27,787","22,273","28,412","32,406","26,991","32,819","27,384","24,682","45,744","27,176","20,414","15,053","11,380","56,021"
2021년09월_계_연령구간인구수,"474,062","36,788","38,732","27,787","22,273","28,412","32,406","26,991","32,819","27,384","24,682","45,744","27,176","20,414","15,053","11,380","56,021"
2021년09월_계_0~9세,"28,087","2,367","2,238","1,031",929,"1,433","1,674","1,098","2,520","3,133",975,"2,449","1,507","1,033",694,714,"4,292"
2021년09월_계_10~19세,"37,450","2,194","2,592","1,680","1,459","2,357","2,820","1,542","2,691","2,307","1,508","3,365","2,020","1,591","1,168",773,"7,383"
2021년09월_계_20~29세,"65,977","4,956","5,187","4,244","3,575","4,330","4,364","4,888","4,460","2,657","3,623","6,524","3,830","2,903","2,026","1,505","6,905"
2021년09월_계_30~39세,"66,957","5,959","5,355","3,781","2,921","3,798","4,051","4,211","5,410","4,793","3,355","6,358","4,001","2,695","1,970","1,778","6,521"
2021년09월_계_40~49세,"74,310","5,553","5,741","3,666","3,097","4,553","4,960","3,893","5,547","5,242","3,407","7,414","4,138","3,071","2,195","1,532","10,301"
2021년09월_계_50~59세,"77,026","5,869","6,596","4,820","3,864","4,757","5,672","4,175","4,870","3,698","4,092","7,620","4,391","3,474","2,522","1,973","8,633"
2021년09월_계_60~69세,"66,559","5,258","5,740","4,537","3,551","3,801","4,795","3,633","3,906","3,002","3,817","6,494","4,059","3,205","2,485","1,737","6,539"
2021년09월_계_70~79세,"38,628","3,107","3,422","2,740","2,028","2,300","2,732","2,351","2,321","1,696","2,543","3,809","2,233","1,637","1,369",897,"3,443"
2021년09월_계_80~89세,"16,718","1,341","1,651","1,137",744,961,"1,189","1,063",978,742,"1,215","1,532",897,711,550,416,"1,591"
2021년09월_계_90~99세,"2,063",179,197,137,99,110,145,113,115,93,143,169,100,89,71,55,248
2021년09월_계_100세 이상,287,5,13,14,6,12,4,24,1,21,4,10,0,5,3,0,165
2021년09월_남_총인구수,"226,833","17,478","18,285","13,450","10,855","13,446","15,923","12,577","15,540","13,281","12,043","21,478","13,106","10,185","7,348","5,595","26,243"
2021년09월_남_연령구간인구수,"226,833","17,478","18,285","13,450","10,855","13,446","15,923","12,577","15,540","13,281","12,043","21,478","13,106","10,185","7,348","5,595","26,243"
2021년09월_남_0~9세,"14,427","1,186","1,154",518,496,743,822,585,"1,273","1,630",529,"1,230",744,543,361,367,"2,246"
2021년09월_남_10~19세,"19,169","1,073","1,372",853,758,"1,175","1,389",701,"1,412","1,206",790,"1,682","1,072",887,598,405,"3,796"
2021년09월_남_20~29세,"31,521","2,337","2,484","2,109","1,793","2,107","2,098","2,139","2,014","1,320","1,830","3,076","1,926","1,500",995,770,"3,023"
2021년09월_남_30~39세,"32,893","2,929","2,642","1,966","1,580","1,849","2,044","2,080","2,604","2,246","1,763","3,045","2,007","1,423","1,012",901,"2,802"
2021년09월_남_40~49세,"36,752","2,833","2,770","1,915","1,581","2,214","2,507","1,904","2,731","2,673","1,740","3,682","2,056","1,549","1,088",772,"4,737"
2021년09월_남_50~59세,"37,132","2,824","3,090","2,251","1,767","2,213","2,837","2,051","2,375","1,810","2,039","3,561","2,060","1,696","1,236",997,"4,325"
2021년09월_남_60~69세,"30,678","2,354","2,602","2,122","1,635","1,721","2,354","1,621","1,733","1,361","1,780","2,884","1,882","1,544","1,185",843,"3,057"
2021년09월_남_70~79세,"16,906","1,345","1,450","1,216",908,980,"1,318","1,005",983,716,"1,053","1,668",971,745,614,390,"1,544"
2021년09월_남_80~89세,"6,755",554,654,460,314,406,513,448,380,287,477,609,365,269,240,142,637
