카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년09월_계_총인구수,"219,552","10,313","5,080","4,631","9,443","10,451","12,658","4,966","7,482","5,288","5,950","2,767","4,026","3,092","9,164","16,697","10,677","21,328","11,825","16,350","4,727","11,335","8,250","23,052"
2021년09월_계_연령구간인구수,"219,552","10,313","5,080","4,631","9,443","10,451","12,658","4,966","7,482","5,288","5,950","2,767","4,026","3,092","9,164","16,697","10,677","21,328","11,825","16,350","4,727","11,335","8,250","23,052"
2021년09월_계_0~9세,"16,750",403,200,146,649,"1,487",873,456,189,176,378,49,124,126,620,"1,557",933,"1,778",758,"1,178",354,"1,075",619,"2,622"
2021년09월_계_10~19세,"23,844",691,301,298,"1,034","1,260","1,430",448,398,303,589,116,195,214,966,"2,398","1,426","2,382","1,099","1,807",490,"1,561",830,"3,608"
2021년09월_계_20~29세,"26,532","1,016",506,386,"1,135","1,230","1,689",513,683,493,664,183,404,296,"1,076","1,752","1,151","2,513","2,224","2,559",541,"1,434","1,191","2,893"
2021년09월_계_30~39세,"24,000",902,420,352,"1,001","1,820","1,268",647,558,403,562,180,256,235,913,"1,850","1,075","2,463","1,538","1,852",512,"1,385",974,"2,834"
2021년09월_계_40~49세,"36,291","1,342",655,605,"1,466","1,880","2,118",787,925,679,923,364,462,404,"1,461","3,169","1,881","3,521","2,002","2,652",798,"2,105","1,324","4,768"
2021년09월_계_50~59세,"35,989","1,714",831,788,"1,607","1,279","2,279",784,"1,306",845,914,488,653,507,"1,593","2,486","1,590","3,469","1,998","3,031",765,"1,869","1,581","3,612"
2021년09월_계_60~69세,"29,844","2,082","1,069",888,"1,364",871,"1,647",683,"1,509","1,055",988,656,829,565,"1,405","1,858","1,444","2,934","1,326","2,050",682,"1,130","1,020","1,789"
2021년09월_계_70~79세,"17,761","1,497",801,764,787,430,916,424,"1,283",937,668,500,710,505,773,"1,064",768,"1,527",584,783,385,523,462,670
2021년09월_계_80~89세,"7,519",587,248,355,348,169,398,208,537,354,243,206,358,217,329,502,359,639,255,388,170,220,218,211
2021년09월_계_90~99세,982,77,48,45,50,25,40,14,88,41,21,24,33,23,28,58,45,99,38,48,30,33,31,43
2021년09월_계_100세 이상,40,2,1,4,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021년09월_남_총인구수,"109,300","5,156","2,547","2,361","4,594","5,158","6,224","2,464","3,812","2,769","2,911","1,478","2,155","1,607","4,580","8,208","5,262","10,441","6,105","8,123","2,364","5,457","4,018","11,506"
2021년09월_남_연령구간인구수,"109,300","5,156","2,547","2,361","4,594","5,158","6,224","2,464","3,812","2,769","2,911","1,478","2,155","1,607","4,580","8,208","5,262","10,441","6,105","8,123","2,364","5,457","4,018","11,506"
2021년09월_남_0~9세,"8,647",213,108,71,312,770,451,258,97,88,193,23,69,59,340,784,516,929,392,608,176,545,300,"1,345"
2021년09월_남_10~19세,"12,178",343,155,142,535,650,726,222,201,159,283,64,102,102,482,"1,237",713,"1,219",602,927,262,775,440,"1,837"
2021년09월_남_20~29세,"14,378",553,294,226,597,633,953,264,391,281,348,106,264,184,600,961,636,"1,327","1,136","1,399",282,738,622,"1,583"
2021년09월_남_30~39세,"12,382",527,227,218,536,882,673,324,321,243,301,111,165,137,484,908,523,"1,313",828,925,265,633,500,"1,338"
2021년09월_남_40~49세,"18,719",765,389,384,731,939,"1,068",417,537,424,499,242,318,242,782,"1,594",934,"1,735","1,058","1,298",413,975,675,"2,300"
2021년09월_남_50~59세,"18,207",900,441,455,770,630,"1,130",398,730,482,433,303,404,304,792,"1,231",761,"1,655","1,067","1,439",395,917,738,"1,832"
2021년09월_남_60~69세,"14,159",943,478,418,619,389,742,325,745,493,445,328,437,293,636,845,659,"1,388",676,"1,033",334,542,473,918
2021년09월_남_70~79세,"7,862",673,365,318,372,207,367,188,572,431,309,214,290,215,346,456,365,674,263,349,181,232,182,293
2021년09월_남_80~89세,"2,557",220,84,114,109,55,107,66,196,153,96,84,100,68,114,173,150,181,74,135,53,92,80,53
2021년09월_남_90~99세,205,19,6,13,12,3,7,2,20,14,4,3,6,3,4,19,5,20,9,10,3,8,8,7
2021년09월_남_100세 이상,6,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"110,252","5,157","2,533","2,270","4,849","5,293","6,434","2,502","3,670","2,519","3,039","1,289","1,871","1,485","4,584","8,489","5,415","10,887","5,720","8,227","2,363","5,878","4,232","11,546"
