카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년04월_계_총인구수,"2,651,054","505,209","232,620","272,589","254,225","140,418","159,035","418,205","104,418","101,828","98,644","71,382","263,375","23,534","52,236","25,291","16,844","36,845","42,684","31,910","43,627","115,780","55,572","31,889","48,834","9,269"
2020년04월_계_연령구간인구수,"2,651,054","505,209","232,620","272,589","254,225","140,418","159,035","418,205","104,418","101,828","98,644","71,382","263,375","23,534","52,236","25,291","16,844","36,845","42,684","31,910","43,627","115,780","55,572","31,889","48,834","9,269"
2020년04월_계_0~9세,"196,465","41,207","18,299","22,908","16,697","10,750","10,992","42,862","6,438","5,841","5,371","4,093","21,309",724,"1,996","1,014",773,"1,767","1,583","1,490","1,970","10,055","4,677","1,479","2,949",428
2020년04월_계_10~19세,"231,034","47,596","21,621","25,975","21,499","11,991","13,940","46,026","9,176","6,800","7,851","5,874","23,181","1,006","2,413","1,264",988,"2,150","2,370","2,132","2,414","11,684","4,406","1,916","3,874",483
2020년04월_계_20~29세,"288,414","57,375","26,792","30,583","27,380","14,853","16,704","57,454","9,924","10,416","8,498","6,105","35,920","1,597","3,285","1,810","1,165","2,569","2,942","2,672","3,681","12,498","4,116","2,120","4,489",841
2020년04월_계_30~39세,"300,333","61,240","28,040","33,200","26,099","15,609","15,774","67,217","8,883","9,579","7,782","5,968","34,066","1,419","3,402","1,772","1,078","2,594","2,969","2,450","3,416","15,945","5,670","2,063","4,418",920
2020년04월_계_40~49세,"388,395","78,041","36,087","41,954","37,466","19,493","22,554","73,596","14,189","12,938","11,860","8,864","41,726","2,257","4,810","2,468","1,806","4,025","4,581","3,997","4,869","20,701","7,083","3,341","6,395","1,335"
2020년04월_계_50~59세,"463,014","91,371","42,209","49,162","46,902","24,028","26,750","69,302","18,328","18,356","17,231","12,127","44,682","4,411","8,967","4,829","3,028","6,335","7,545","6,056","8,722","19,361","8,113","5,937","8,727","1,906"
2020년04월_계_60~69세,"393,035","75,301","35,366","39,935","39,596","21,175","24,686","37,038","17,833","17,982","17,797","12,960","33,464","5,171","11,450","5,342","3,326","7,200","9,374","6,065","8,935","13,051","9,071","6,587","7,873","1,758"
2020년04월_계_70~79세,"239,231","35,998","16,769","19,229","24,110","13,403","16,716","15,669","11,919","12,298","12,713","9,244","18,966","4,046","9,056","4,039","2,722","6,014","6,525","4,100","5,726","7,547","6,901","4,783","5,721","1,015"
2020년04월_계_80~89세,"132,258","14,900","6,518","8,382","12,732","7,953","9,447","7,861","6,707","6,828","8,255","5,313","8,982","2,579","6,038","2,425","1,702","3,685","4,208","2,630","3,419","4,292","4,866","3,164","3,773",499
2020년04월_계_90~99세,"17,921","2,077",868,"1,209","1,653","1,114","1,408","1,133",964,748,"1,225",776,"1,011",310,776,307,230,481,568,311,450,604,634,472,596,73
2020년04월_계_100세 이상,954,103,51,52,91,49,64,47,57,42,61,58,68,14,43,21,26,25,19,7,25,42,35,27,19,11
2020년04월_남_총인구수,"1,334,981","255,341","119,825","135,516","127,374","70,365","78,720","214,528","51,767","51,771","48,383","34,989","132,633","12,018","25,606","12,636","8,317","17,498","20,937","16,308","22,565","60,414","27,302","16,050","24,410","5,049"
2020년04월_남_연령구간인구수,"1,334,981","255,341","119,825","135,516","127,374","70,365","78,720","214,528","51,767","51,771","48,383","34,989","132,633","12,018","25,606","12,636","8,317","17,498","20,937","16,308","22,565","60,414","27,302","16,050","24,410","5,049"
2020년04월_남_0~9세,"101,297","21,354","9,483","11,871","8,537","5,554","5,794","22,140","3,328","2,968","2,778","2,137","10,866",391,"1,047",528,401,880,811,758,995,"5,178","2,358",774,"1,495",225
2020년04월_남_10~19세,"121,827","25,080","11,417","13,663","11,254","6,397","7,314","24,097","4,807","3,657","4,170","3,178","12,105",548,"1,267",678,512,"1,115","1,205","1,144","1,370","6,188","2,364","1,032","2,107",238
2020년04월_남_20~29세,"162,635","32,755","15,665","17,090","15,515","8,358","9,133","31,598","5,808","6,189","4,905","3,429","19,722",973,"1,915","1,080",668,"1,493","1,750","1,518","2,151","6,991","2,316","1,224","2,642",502
2020년04월_남_30~39세,"159,943","32,208","15,068","17,140","13,864","8,253","8,145","35,709","4,753","5,257","4,210","3,201","18,223",795,"1,886","1,047",583,"1,341","1,585","1,351","1,869","8,757","2,831","1,123","2,408",544
2020년04월_남_40~49세,"202,841","39,179","18,618","20,561","19,605","10,279","11,747","37,133","7,349","7,086","6,310","4,753","21,310","1,340","2,821","1,415","1,073","2,254","2,560","2,250","2,933","11,206","3,903","1,967","3,536",832
