카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년07월_계_총인구수,"215,987","7,430","7,160","9,275","14,280","29,455","5,532","7,753","8,993","6,655","12,721","6,221","19,773","8,493","46,708","19,799","5,739"
2020년07월_계_연령구간인구수,"215,987","7,430","7,160","9,275","14,280","29,455","5,532","7,753","8,993","6,655","12,721","6,221","19,773","8,493","46,708","19,799","5,739"
2020년07월_계_0~9세,"17,714",539,572,515,945,"2,952",307,408,379,258,"1,083",422,"1,436",513,"4,066","3,011",308
2020년07월_계_10~19세,"23,088",747,691,784,"1,402","4,977",292,447,641,375,"1,179",421,"2,072",634,"6,063","2,008",355
2020년07월_계_20~29세,"28,218",857,896,"1,267","2,009","3,465",673,903,"1,250",964,"1,548",939,"2,831","1,161","6,630","2,314",511
2020년07월_계_30~39세,"26,229",718,911,954,"1,644","2,989",686,862,"1,089",758,"1,618",859,"2,321",944,"5,592","3,834",450
2020년07월_계_40~49세,"34,268","1,109","1,157","1,280","2,241","5,621",760,"1,026","1,229",850,"1,932",858,"3,098","1,180","7,888","3,327",712
2020년07월_계_50~59세,"33,359","1,155","1,021","1,548","2,274","4,368",929,"1,287","1,568","1,257","1,933",912,"3,336","1,484","6,872","2,483",932
2020년07월_계_60~69세,"27,581","1,032",932,"1,394","1,909","2,876",855,"1,232","1,499","1,191","1,801",888,"2,599","1,383","5,200","1,717","1,073"
2020년07월_계_70~79세,"17,235",865,693,"1,027","1,170","1,417",714,"1,089",947,713,"1,098",637,"1,486",853,"2,998",715,813
2020년07월_계_80~89세,"7,110",344,248,431,587,668,273,426,343,249,454,245,518,295,"1,209",317,503
2020년07월_계_90~99세,"1,088",56,32,66,96,118,29,67,46,35,73,31,71,41,181,70,76
2020년07월_계_100세 이상,97,8,7,9,3,4,14,6,2,5,2,9,5,5,9,3,6
2020년07월_남_총인구수,"104,009","3,411","3,427","4,400","6,739","13,811","2,830","3,960","4,590","3,338","6,017","3,061","9,625","4,245","22,109","9,623","2,823"
2020년07월_남_연령구간인구수,"104,009","3,411","3,427","4,400","6,739","13,811","2,830","3,960","4,590","3,338","6,017","3,061","9,625","4,245","22,109","9,623","2,823"
2020년07월_남_0~9세,"9,056",279,303,264,504,"1,440",146,198,200,127,554,222,746,260,"2,076","1,576",161
2020년07월_남_10~19세,"11,624",367,336,405,714,"2,549",165,235,344,197,572,205,"1,070",330,"2,952","1,013",170
2020년07월_남_20~29세,"14,510",434,465,656,"1,039","1,773",347,509,671,525,794,435,"1,467",624,"3,292","1,181",298
2020년07월_남_30~39세,"13,013",346,444,499,807,"1,327",377,473,616,431,800,444,"1,178",521,"2,645","1,866",239
2020년07월_남_40~49세,"16,847",538,575,640,"1,072","2,524",444,611,698,478,928,492,"1,501",596,"3,715","1,627",408
2020년07월_남_50~59세,"15,773",519,489,711,"1,036","2,014",497,689,780,594,899,448,"1,577",703,"3,173","1,150",494
2020년07월_남_60~69세,"12,632",420,405,601,859,"1,312",410,585,699,567,796,400,"1,214",670,"2,369",778,547
2020년07월_남_70~79세,"7,723",358,303,453,487,609,321,492,451,330,472,301,668,409,"1,390",331,348
2020년07월_남_80~89세,"2,575",128,95,158,202,237,113,155,118,82,181,101,195,118,451,93,148
2020년07월_남_90~99세,244,21,10,13,18,25,7,13,13,6,21,11,9,14,46,8,9
2020년07월_남_100세 이상,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1
2020년07월_여_총인구수,"111,978","4,019","3,733","4,875","7,541","15,644","2,702","3,793","4,403","3,317","6,704","3,160","10,148","4,248","24,599","10,176","2,916"
2020년07월_여_연령구간인구수,"111,978","4,019","3,733","4,875","7,541","15,644","2,702","3,793","4,403","3,317","6,704","3,160","10,148","4,248","24,599","10,176","2,916"
2020년07월_여_0~9세,"8,658",260,269,251,441,"1,512",161,210,179,131,529,200,690,253,"1,990","1,435",147
2020년07월_여_10~19세,"11,464",380,355,379,688,"2,428",127,212,297,178,607,216,"1,002",304,"3,111",995,185
2020년07월_여_20~29세,"13,708",423,431,611,970,"1,692",326,394,579,439,754,504,"1,364",537,"3,338","1,133",213
2020년07월_여_30~39세,"13,216",372,467,455,837,"1,662",309,389,473,327,818,415,"1,143",423,"2,947","1,968",211
2020년07월_여_40~49세,"17,421",571,582,640,"1,169","3,097",316,415,531,372,"1,004",366,"1,597",584,"4,173","1,700",304
2020년07월_여_50~59세,"17,586",636,532,837,"1,238","2,354",432,598,788,663,"1,034",464,"1,759",781,"3,699","1,333",438
2020년07월_여_60~69세,"14,949",612,527,793,"1,050","1,564",445,647,800,624,"1,005",488,"1,385",713,"2,831",939,526
2020년07월_여_70~79세,"9,512",507,390,574,683,808,393,597,496,383,626,336,818,444,"1,608",384,465
2020년07월_여_80~89세,"4,535",216,153,273,385,431,160,271,225,167,273,144,323,177,758,224,355
2020년07월_여_90~99세,844,35,22,53,78,93,22,54,33,29,52,20,62,27,135,62,67
2020년07월_여_100세 이상,85,7,5,9,2,3,11,6,2,4,2,7,5,5,9,3,5
