카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년03월_계_총인구수,"27,044","7,356","1,291","1,621","1,438","1,652","3,672","1,318","1,518","3,296","1,518","1,166","1,198"
2021년03월_계_연령구간인구수,"27,044","7,356","1,291","1,621","1,438","1,652","3,672","1,318","1,518","3,296","1,518","1,166","1,198"
2021년03월_계_0~9세,"1,333",659,30,53,54,50,116,36,41,161,42,37,54
2021년03월_계_10~19세,"1,639",724,56,61,67,77,217,51,61,163,68,45,49
2021년03월_계_20~29세,"2,018",708,73,104,93,99,266,82,74,256,134,65,64
2021년03월_계_30~39세,"1,881",772,58,94,91,81,237,67,65,220,66,64,66
2021년03월_계_40~49세,"2,770","1,064",118,141,120,137,345,111,117,305,147,77,88
2021년03월_계_50~59세,"4,611","1,058",207,339,236,283,605,243,243,631,308,239,219
2021년03월_계_60~69세,"5,056","1,025",249,390,298,323,759,280,317,657,288,238,232
2021년03월_계_70~79세,"4,257",773,262,241,266,327,605,245,301,522,265,233,217
2021년03월_계_80~89세,"3,027",504,204,165,188,241,455,176,253,341,170,150,180
2021년03월_계_90~99세,434,68,33,33,23,33,67,26,46,36,27,13,29
2021년03월_계_100세 이상,18,1,1,0,2,1,0,1,0,4,3,5,0
2021년03월_남_총인구수,"13,864","3,790",649,841,737,856,"1,856",687,761,"1,687",804,585,611
2021년03월_남_연령구간인구수,"13,864","3,790",649,841,737,856,"1,856",687,761,"1,687",804,585,611
2021년03월_남_0~9세,715,364,13,27,25,24,70,21,20,88,20,11,32
2021년03월_남_10~19세,870,372,29,38,44,46,124,21,29,79,43,21,24
2021년03월_남_20~29세,"1,188",411,45,55,57,63,154,53,46,141,84,35,44
2021년03월_남_30~39세,"1,049",409,35,48,55,51,138,36,37,127,43,37,33
2021년03월_남_40~49세,"1,686",601,82,83,76,90,198,71,75,190,109,50,61
2021년03월_남_50~59세,"2,630",588,120,197,130,155,347,152,145,364,172,144,116
2021년03월_남_60~69세,"2,735",527,140,214,162,185,399,167,166,336,165,134,140
2021년03월_남_70~79세,"1,878",347,111,113,119,145,253,99,140,249,113,97,92
2021년03월_남_80~89세,"1,004",161,66,55,61,90,153,60,93,100,49,55,61
2021년03월_남_90~99세,105,10,7,11,8,6,20,6,10,13,6,0,8
2021년03월_남_100세 이상,4,0,1,0,0,1,0,1,0,0,0,1,0
2021년03월_여_총인구수,"13,180","3,566",642,780,701,796,"1,816",631,757,"1,609",714,581,587
2021년03월_여_연령구간인구수,"13,180","3,566",642,780,701,796,"1,816",631,757,"1,609",714,581,587
2021년03월_여_0~9세,618,295,17,26,29,26,46,15,21,73,22,26,22
2021년03월_여_10~19세,769,352,27,23,23,31,93,30,32,84,25,24,25
2021년03월_여_20~29세,830,297,28,49,36,36,112,29,28,115,50,30,20
2021년03월_여_30~39세,832,363,23,46,36,30,99,31,28,93,23,27,33
2021년03월_여_40~49세,"1,084",463,36,58,44,47,147,40,42,115,38,27,27
2021년03월_여_50~59세,"1,981",470,87,142,106,128,258,91,98,267,136,95,103
2021년03월_여_60~69세,"2,321",498,109,176,136,138,360,113,151,321,123,104,92
2021년03월_여_70~79세,"2,379",426,151,128,147,182,352,146,161,273,152,136,125
2021년03월_여_80~89세,"2,023",343,138,110,127,151,302,116,160,241,121,95,119
2021년03월_여_90~99세,329,58,26,22,15,27,47,20,36,23,21,13,21
2021년03월_여_100세 이상,14,1,0,0,2,0,0,0,0,4,3,4,0
