카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년12월_계_총인구수,"291,231","3,686","4,578","11,008","4,900","8,084","10,975","30,293","24,802","23,861","15,542","20,604","10,068","15,428","5,792","20,012","28,572","36,781","16,245"
2021년12월_계_연령구간인구수,"291,231","3,686","4,578","11,008","4,900","8,084","10,975","30,293","24,802","23,861","15,542","20,604","10,068","15,428","5,792","20,012","28,572","36,781","16,245"
2021년12월_계_0~9세,"20,175",97,370,566,163,528,819,"2,109","1,560","1,116",788,"2,259",501,992,391,"1,195","2,475","2,749","1,497"
2021년12월_계_10~19세,"29,862",143,333,626,230,559,"1,226","2,877","2,359","1,656","1,047","2,464",982,"1,519",385,"2,011","4,119","4,920","2,406"
2021년12월_계_20~29세,"44,576",382,461,"1,641",811,"1,026","1,722","5,511","4,724","4,425","3,040","2,280","1,546","2,124",707,"2,826","4,053","5,371","1,926"
2021년12월_계_30~39세,"35,000",319,529,"1,530",611,951,"1,449","4,157","3,470","2,948","2,342","2,786","1,041","1,634",663,"1,955","2,983","3,998","1,634"
2021년12월_계_40~49세,"46,978",400,719,"1,511",634,"1,222","1,899","4,797","3,882","3,157","2,149","3,747","1,366","2,159",704,"2,878","5,385","7,085","3,284"
2021년12월_계_50~59세,"49,483",575,647,"1,754",827,"1,518","1,924","5,414","4,012","3,927","2,332","2,864","1,680","2,566","1,196","3,834","5,291","6,505","2,617"
2021년12월_계_60~69세,"35,833",738,791,"1,582",810,"1,233","1,015","3,025","2,742","3,492","1,890","2,458","1,631","2,662",974,"3,089","2,505","3,444","1,752"
2021년12월_계_70~79세,"19,467",684,507,"1,204",527,705,582,"1,500","1,455","2,093","1,236","1,252",862,"1,200",474,"1,459","1,162","1,765",800
2021년12월_계_80~89세,"8,610",314,196,528,250,298,295,809,516,920,627,429,390,490,247,677,514,833,277
2021년12월_계_90~99세,"1,208",33,25,64,36,42,44,91,80,122,89,63,66,77,49,87,81,108,51
2021년12월_계_100세 이상,39,1,0,2,1,2,0,3,2,5,2,2,3,5,2,1,4,3,1
2021년12월_남_총인구수,"142,721","1,848","2,218","5,435","2,571","4,155","5,601","14,476","12,415","11,646","7,397","10,308","4,964","7,422","2,994","9,506","13,971","18,097","7,697"
2021년12월_남_연령구간인구수,"142,721","1,848","2,218","5,435","2,571","4,155","5,601","14,476","12,415","11,646","7,397","10,308","4,964","7,422","2,994","9,506","13,971","18,097","7,697"
2021년12월_남_0~9세,"10,423",55,199,279,88,288,449,"1,034",780,590,392,"1,192",278,529,209,632,"1,274","1,401",754
2021년12월_남_10~19세,"15,742",75,186,350,143,281,629,"1,494","1,164",866,565,"1,465",531,829,200,"1,096","2,077","2,598","1,193"
