,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년06월_계_총인구수,"89,698","4,852","5,852","11,108","6,481","4,274","10,155","4,256","5,703","11,229","12,225","8,942","4,621"
2020년06월_계_연령구간인구수,"89,698","4,852","5,852","11,108","6,481","4,274","10,155","4,256","5,703","11,229","12,225","8,942","4,621"
2020년06월_계_0~9세,"4,230",187,164,977,216,195,417,126,197,478,408,486,379
2020년06월_계_10~19세,"5,283",272,272,684,428,323,631,248,373,658,668,456,270
2020년06월_계_20~29세,"10,686",686,647,"1,682",674,500,"1,251",380,604,"1,326","1,351","1,152",433
2020년06월_계_30~39세,"10,576",524,561,"2,287",543,410,"1,166",314,455,"1,209","1,183","1,205",719
2020년06월_계_40~49세,"12,218",699,782,"1,697",867,613,"1,344",517,750,"1,477","1,486","1,281",705
2020년06월_계_50~59세,"15,027",791,"1,030","1,567","1,066",718,"1,707",744,"1,000","1,900","2,205","1,654",645
2020년06월_계_60~69세,"15,879",853,"1,220","1,216","1,228",733,"1,830",826,"1,072","2,023","2,548","1,572",758
2020년06월_계_70~79세,"10,671",590,799,658,952,548,"1,234",747,854,"1,475","1,569",779,466
2020년06월_계_80~89세,"4,451",219,315,274,435,205,507,313,342,609,715,314,203
2020년06월_계_90~99세,577,25,53,58,59,24,52,39,54,61,79,35,38
2020년06월_계_100세 이상,100,6,9,8,13,5,16,2,2,13,13,8,5
2020년06월_남_총인구수,"44,003","2,427","2,895","5,464","3,159","2,078","4,869","2,128","2,740","5,453","6,017","4,498","2,275"
2020년06월_남_연령구간인구수,"44,003","2,427","2,895","5,464","3,159","2,078","4,869","2,128","2,740","5,453","6,017","4,498","2,275"
2020년06월_남_0~9세,"2,240",78,98,512,118,100,210,71,112,270,219,260,192
2020년06월_남_10~19세,"2,741",153,141,370,234,158,314,146,188,324,326,240,147
2020년06월_남_20~29세,"5,401",348,327,704,371,269,621,220,340,698,723,577,203
2020년06월_남_30~39세,"5,694",286,322,"1,180",308,227,646,187,244,634,645,636,379
2020년06월_남_40~49세,"6,540",394,440,872,453,324,695,289,402,792,822,671,386
2020년06월_남_50~59세,"7,616",421,542,809,544,354,828,409,482,938,"1,121",846,322
2020년06월_남_60~69세,"7,544",406,560,612,564,327,843,400,486,941,"1,236",779,390
2020년06월_남_70~79세,"4,504",262,336,290,392,229,526,288,360,619,669,350,183
2020년06월_남_80~89세,"1,539",69,107,95,158,81,165,106,112,221,235,125,65
2020년06월_남_90~99세,154,7,18,15,12,9,18,12,14,12,18,12,7
2020년06월_남_100세 이상,30,3,4,5,5,0,3,0,0,4,3,2,1
2020년06월_여_총인구수,"45,695","2,425","2,957","5,644","3,322","2,196","5,286","2,128","2,963","5,776","6,208","4,444","2,346"
2020년06월_여_연령구간인구수,"45,695","2,425","2,957","5,644","3,322","2,196","5,286","2,128","2,963","5,776","6,208","4,444","2,346"
2020년06월_여_0~9세,"1,990",109,66,465,98,95,207,55,85,208,189,226,187
2020년06월_여_10~19세,"2,542",119,131,314,194,165,317,102,185,334,342,216,123
2020년06월_여_20~29세,"5,285",338,320,978,303,231,630,160,264,628,628,575,230
2020년06월_여_30~39세,"4,882",238,239,"1,107",235,183,520,127,211,575,538,569,340
2020년06월_여_40~49세,"5,678",305,342,825,414,289,649,228,348,685,664,610,319
2020년06월_여_50~59세,"7,411",370,488,758,522,364,879,335,518,962,"1,084",808,323
2020년06월_여_60~69세,"8,335",447,660,604,664,406,987,426,586,"1,082","1,312",793,368
2020년06월_여_70~79세,"6,167",328,463,368,560,319,708,459,494,856,900,429,283
2020년06월_여_80~89세,"2,912",150,208,179,277,124,342,207,230,388,480,189,138
2020년06월_여_90~99세,423,18,35,43,47,15,34,27,40,49,61,23,31
2020년06월_여_100세 이상,70,3,5,3,8,5,13,2,2,9,10,6,4
