,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년04월_계_총인구수,"223,358","4,733","24,872","12,146","12,337","8,674","21,724","14,939","10,572","13,793","18,254","20,509","12,179","10,922","14,357","2,450","20,897"
2021년04월_계_연령구간인구수,"223,358","4,733","24,872","12,146","12,337","8,674","21,724","14,939","10,572","13,793","18,254","20,509","12,179","10,922","14,357","2,450","20,897"
2021년04월_계_0~9세,"14,869",106,"2,499",879,752,259,"1,669","1,379",374,790,924,"1,068",878,579,774,63,"1,876"
2021년04월_계_10~19세,"19,927",140,"3,336",888,961,380,"1,844","1,373",856,"1,103","1,772","1,476",938,794,"1,252",139,"2,675"
2021년04월_계_20~29세,"30,180",371,"2,574","1,345","1,473",781,"3,341","1,768","2,687","1,944","2,883","3,939","1,335","1,941","1,535",197,"2,066"
2021년04월_계_30~39세,"25,790",374,"2,863","1,578","1,457",729,"2,953","1,987","1,045","1,421","1,865","2,985","1,489","1,275","1,388",155,"2,226"
2021년04월_계_40~49세,"33,994",501,"4,851","1,769","1,700","1,008","3,286","2,333","1,230","2,025","2,682","3,140","1,757","1,541","2,151",251,"3,769"
2021년04월_계_50~59세,"36,404",938,"3,540","1,938","2,150","1,513","3,543","2,359","1,548","2,303","3,292","3,302","2,078","1,836","2,533",450,"3,081"
2021년04월_계_60~69세,"33,423","1,151","2,916","1,957","1,975","1,919","2,974","1,989","1,503","2,261","2,711","2,664","1,946","1,657","2,456",575,"2,769"
2021년04월_계_70~79세,"19,072",776,"1,573","1,210","1,194","1,286","1,428","1,146",897,"1,314","1,439","1,356","1,179",857,"1,512",325,"1,580"
2021년04월_계_80~89세,"8,540",335,622,513,598,708,601,523,385,568,606,514,495,394,677,256,745
2021년04월_계_90~99세,"1,120",39,96,67,75,90,81,79,43,60,77,64,81,48,78,39,103
2021년04월_계_100세 이상,39,2,2,2,2,1,4,3,4,4,3,1,3,0,1,0,7
2021년04월_남_총인구수,"112,660","2,651","12,266","5,943","6,029","4,254","10,967","7,487","5,578","7,104","9,172","10,565","6,023","5,559","7,296","1,277","10,489"
2021년04월_남_연령구간인구수,"112,660","2,651","12,266","5,943","6,029","4,254","10,967","7,487","5,578","7,104","9,172","10,565","6,023","5,559","7,296","1,277","10,489"
2021년04월_남_0~9세,"7,685",51,"1,249",453,424,128,873,723,199,386,472,551,471,316,380,27,982
2021년04월_남_10~19세,"10,301",74,"1,758",475,492,196,924,730,414,553,918,757,472,411,658,68,"1,401"
2021년04월_남_20~29세,"16,020",208,"1,398",668,769,443,"1,774",930,"1,472","1,078","1,493","2,014",710,991,845,114,"1,113"
2021년04월_남_30~39세,"13,969",225,"1,384",835,785,441,"1,596","1,046",637,789,"1,051","1,719",779,716,752,98,"1,116"
2021년04월_남_40~49세,"17,848",331,"2,416",939,838,574,"1,700","1,180",715,"1,119","1,386","1,687",929,845,"1,139",144,"1,906"
2021년04월_남_50~59세,"18,731",614,"1,744",925,"1,045",784,"1,766","1,194",810,"1,234","1,667","1,737","1,038",948,"1,340",257,"1,628"
2021년04월_남_60~69세,"16,196",647,"1,358",873,938,918,"1,447",968,751,"1,132","1,300","1,279",913,805,"1,197",326,"1,344"
2021년04월_남_70~79세,"8,551",369,696,556,515,524,661,512,421,584,651,609,522,372,696,151,712
2021년04월_남_80~89세,"3,072",122,241,205,197,224,203,184,150,211,220,196,166,150,265,79,259
2021년04월_남_90~99세,277,9,22,13,25,21,21,20,9,17,14,16,23,5,23,13,26
2021년04월_남_100세 이상,10,1,0,1,1,1,2,0,0,1,0,0,0,0,1,0,2
2021년04월_여_총인구수,"110,698","2,082","12,606","6,203","6,308","4,420","10,757","7,452","4,994","6,689","9,082","9,944","6,156","5,363","7,061","1,173","10,408"
2021년04월_여_연령구간인구수,"110,698","2,082","12,606","6,203","6,308","4,420","10,757","7,452","4,994","6,689","9,082","9,944","6,156","5,363","7,061","1,173","10,408"
2021년04월_여_0~9세,"7,184",55,"1,250",426,328,131,796,656,175,404,452,517,407,263,394,36,894
2021년04월_여_10~19세,"9,626",66,"1,578",413,469,184,920,643,442,550,854,719,466,383,594,71,"1,274"
2021년04월_여_20~29세,"14,160",163,"1,176",677,704,338,"1,567",838,"1,215",866,"1,390","1,925",625,950,690,83,953
2021년04월_여_30~39세,"11,821",149,"1,479",743,672,288,"1,357",941,408,632,814,"1,266",710,559,636,57,"1,110"
2021년04월_여_40~49세,"16,146",170,"2,435",830,862,434,"1,586","1,153",515,906,"1,296","1,453",828,696,"1,012",107,"1,863"
2021년04월_여_50~59세,"17,673",324,"1,796","1,013","1,105",729,"1,777","1,165",738,"1,069","1,625","1,565","1,040",888,"1,193",193,"1,453"
2021년04월_여_60~69세,"17,227",504,"1,558","1,084","1,037","1,001","1,527","1,021",752,"1,129","1,411","1,385","1,033",852,"1,259",249,"1,425"
2021년04월_여_70~79세,"10,521",407,877,654,679,762,767,634,476,730,788,747,657,485,816,174,868
