,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년06월_계_총인구수,"281,054","2,742","4,676","18,499","31,618","12,216","2,986","1,838","3,249","1,524",919,"3,285","5,586","2,832","3,832","4,728","24,540","6,456","45,039","7,819","9,085","2,906","2,506","3,181","18,451","40,682","19,859"
2020년06월_계_연령구간인구수,"281,054","2,742","4,676","18,499","31,618","12,216","2,986","1,838","3,249","1,524",919,"3,285","5,586","2,832","3,832","4,728","24,540","6,456","45,039","7,819","9,085","2,906","2,506","3,181","18,451","40,682","19,859"
2020년06월_계_0~9세,"23,830",57,135,"1,616","5,823",859,58,36,66,17,27,78,146,59,158,148,"1,791",369,"3,581",398,386,115,66,108,"2,166","3,667","1,900"
2020년06월_계_10~19세,"30,772",134,227,"2,665","4,779","1,035",102,71,147,38,42,154,285,171,272,367,"2,723",589,"5,604",616,718,200,113,201,"1,724","5,043","2,752"
2020년06월_계_20~29세,"37,201",184,425,"3,159","3,065","1,319",168,131,201,82,58,241,425,261,375,844,"3,844",778,"6,737",920,"1,166",348,297,392,"2,176","6,337","3,268"
2020년06월_계_30~39세,"33,220",122,276,"2,243","6,585","1,185",141,103,162,67,37,152,287,157,331,413,"2,674",646,"5,167",797,795,260,212,287,"2,700","4,987","2,434"
2020년06월_계_40~49세,"43,771",239,501,"3,520","6,520","1,754",222,140,234,121,59,246,560,296,439,522,"3,627",942,"7,269",975,"1,135",322,302,436,"2,864","7,008","3,518"
2020년06월_계_50~59세,"49,110",566,929,"3,383","3,161","2,250",494,333,574,303,157,576,993,553,595,775,"4,461","1,171","8,716","1,355","1,775",486,495,563,"3,015","7,616","3,815"
2020년06월_계_60~69세,"32,821",522,880,"1,142","1,140","1,872",632,412,676,288,192,738,"1,095",568,791,735,"3,192","1,059","5,078","1,371","1,583",520,534,562,"2,032","3,726","1,481"
2020년06월_계_70~79세,"18,753",486,713,478,366,"1,184",633,336,656,332,179,635,944,444,559,611,"1,467",590,"1,957",958,"1,056",441,312,430,"1,090","1,444",452
