,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년11월_계_총인구수,"23,770","9,445","2,191","3,974","2,580","4,181","1,399"
2021년11월_계_연령구간인구수,"23,770","9,445","2,191","3,974","2,580","4,181","1,399"
2021년11월_계_0~9세,"1,075",664,48,148,62,118,35
2021년11월_계_10~19세,"1,771","1,001",102,267,110,239,52
2021년11월_계_20~29세,"1,695",855,105,324,140,214,57
2021년11월_계_30~39세,"1,617",869,123,235,105,220,65
2021년11월_계_40~49세,"2,738","1,413",181,456,224,363,101
2021년11월_계_50~59세,"4,140","1,534",426,781,435,738,226
2021년11월_계_60~69세,"4,646","1,347",538,811,590,985,375
2021년11월_계_70~79세,"3,282",981,349,543,464,678,267
2021년11월_계_80~89세,"2,446",678,276,360,396,550,186
2021년11월_계_90~99세,340,95,42,47,52,70,34
2021년11월_계_100세 이상,20,8,1,2,2,6,1
2021년11월_남_총인구수,"11,846","4,711","1,092","2,006","1,264","2,071",702
2021년11월_남_연령구간인구수,"11,846","4,711","1,092","2,006","1,264","2,071",702
2021년11월_남_0~9세,581,365,29,83,27,61,16
2021년11월_남_10~19세,887,488,59,147,52,115,26
2021년11월_남_20~29세,937,463,60,164,84,130,36
2021년11월_남_30~39세,902,457,70,141,65,131,38
2021년11월_남_40~49세,"1,509",734,114,252,125,221,63
2021년11월_남_50~59세,"2,290",848,217,441,246,405,133
2021년11월_남_60~69세,"2,419",674,279,425,321,517,203
2021년11월_남_70~79세,"1,380",421,159,214,184,287,115
2021년11월_남_80~89세,862,242,94,130,145,186,65
2021년11월_남_90~99세,76,19,10,9,15,16,7
2021년11월_남_100세 이상,3,0,1,0,0,2,0
2021년11월_여_총인구수,"11,924","4,734","1,099","1,968","1,316","2,110",697
2021년11월_여_연령구간인구수,"11,924","4,734","1,099","1,968","1,316","2,110",697
2021년11월_여_0~9세,494,299,19,65,35,57,19
2021년11월_여_10~19세,884,513,43,120,58,124,26
2021년11월_여_20~29세,758,392,45,160,56,84,21
2021년11월_여_30~39세,715,412,53,94,40,89,27
2021년11월_여_40~49세,"1,229",679,67,204,99,142,38
2021년11월_여_50~59세,"1,850",686,209,340,189,333,93
2021년11월_여_60~69세,"2,227",673,259,386,269,468,172
2021년11월_여_70~79세,"1,902",560,190,329,280,391,152
2021년11월_여_80~89세,"1,584",436,182,230,251,364,121
2021년11월_여_90~99세,264,76,32,38,37,54,27
2021년11월_여_100세 이상,17,8,0,2,2,4,1
