카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년01월_계_총인구수,"282,693","7,676","19,661","1,473","2,565","1,071","3,833","2,545",965,"17,326","3,505","3,566","2,834","2,248","8,793","9,679","11,835","14,928","21,224","4,561","11,966","4,491","35,312","49,436","19,106","22,094"
2021년01월_계_연령구간인구수,"282,693","7,676","19,661","1,473","2,565","1,071","3,833","2,545",965,"17,326","3,505","3,566","2,834","2,248","8,793","9,679","11,835","14,928","21,224","4,561","11,966","4,491","35,312","49,436","19,106","22,094"
2021년01월_계_0~9세,"21,512",336,"2,191",28,102,25,113,60,12,"1,455",79,100,74,79,929,756,516,"1,287","1,768",342,403,156,"2,513","4,439","1,536","2,213"
2021년01월_계_10~19세,"26,958",457,"2,455",60,132,31,188,145,25,"1,710",162,177,130,117,680,760,870,"1,459","1,981",382,659,228,"4,371","5,936","1,586","2,257"
2021년01월_계_20~29세,"37,219",784,"1,891",130,254,36,235,185,38,"2,155",247,842,382,269,"1,008","1,222","1,878","2,168","2,638",536,"2,688",985,"5,097","6,304","2,475","2,772"
2021년01월_계_30~39세,"34,164",657,"2,415",92,187,56,239,110,41,"2,347",247,404,304,213,"1,441","1,249","1,342","2,123","2,861",485,"1,320",618,"3,723","6,149","2,623","2,918"
2021년01월_계_40~49세,"42,433",887,"3,597",115,250,87,345,228,63,"2,892",374,385,356,247,"1,182","1,354","1,544","2,161","3,154",692,"1,418",485,"5,896","8,378","2,840","3,503"
2021년01월_계_50~59세,"46,940","1,444","3,068",259,527,207,701,477,190,"2,807",668,510,483,399,"1,252","1,687","1,987","2,408","3,401",755,"1,829",671,"6,270","8,331","3,223","3,386"
2021년01월_계_60~69세,"38,542","1,461","2,410",398,583,284,944,659,297,"2,225",910,528,524,399,"1,116","1,338","1,897","1,707","2,926",682,"1,720",661,"3,964","5,583","2,704","2,622"
2021년01월_계_70~79세,"21,007",932,996,211,282,193,582,402,185,"1,046",507,379,331,307,712,801,"1,113",968,"1,514",416,"1,171",406,"2,121","2,605","1,367","1,460"
2021년01월_계_80~89세,"11,862",619,522,165,218,131,393,237,100,588,263,214,206,174,395,426,587,555,851,232,657,243,"1,189","1,462",619,816
2021년01월_계_90~99세,"1,936",95,112,14,29,20,83,42,13,97,45,24,42,41,71,73,98,86,128,37,95,36,163,242,124,126
2021년01월_계_100세 이상,120,4,4,1,1,1,10,0,1,4,3,3,2,3,7,13,3,6,2,2,6,2,5,7,9,21
2021년01월_남_총인구수,"139,534","3,848","9,737",800,"1,327",576,"1,965","1,257",531,"8,652","1,852","1,833","1,368","1,097","4,434","4,699","5,873","7,139","10,073","2,287","6,353","2,270","17,300","23,781","9,370","11,112"
2021년01월_남_연령구간인구수,"139,534","3,848","9,737",800,"1,327",576,"1,965","1,257",531,"8,652","1,852","1,833","1,368","1,097","4,434","4,699","5,873","7,139","10,073","2,287","6,353","2,270","17,300","23,781","9,370","11,112"
2021년01월_남_0~9세,"11,041",166,"1,136",11,55,18,51,32,6,771,47,65,44,38,493,373,269,647,888,168,191,83,"1,273","2,275",796,"1,145"
2021년01월_남_10~19세,"13,998",234,"1,276",40,56,16,111,84,12,880,87,97,67,64,380,409,445,762,986,211,347,114,"2,225","3,064",823,"1,208"
2021년01월_남_20~29세,"19,874",438,"1,019",74,158,23,129,109,21,"1,105",135,451,186,160,521,640,994,"1,099","1,351",298,"1,604",495,"2,667","3,322","1,303","1,572"
2021년01월_남_30~39세,"17,437",355,"1,127",57,104,31,126,61,27,"1,218",147,228,165,115,758,634,748,"1,074","1,439",252,789,345,"1,925","2,936","1,338","1,438"
2021년01월_남_40~49세,"20,959",474,"1,782",74,136,54,202,114,35,"1,489",221,215,201,129,609,688,787,"1,012","1,505",366,808,281,"2,764","3,860","1,390","1,763"
2021년01월_남_50~59세,"23,573",764,"1,560",151,305,124,387,229,107,"1,410",377,271,248,206,697,823,"1,012","1,142","1,609",371,"1,021",342,"3,147","4,000","1,521","1,749"
2021년01월_남_60~69세,"18,641",751,"1,190",226,284,157,518,338,183,"1,094",465,239,246,194,539,625,888,785,"1,355",332,831,313,"1,934","2,655","1,267","1,232"
2021년01월_남_70~79세,"9,198",426,448,100,147,92,294,191,90,454,261,184,137,120,263,325,494,401,635,169,492,176,879,"1,090",672,658
2021년01월_남_80~89세,"4,293",211,182,65,76,56,124,91,46,203,97,74,63,61,145,155,216,189,272,106,252,109,448,519,228,305
2021년01월_남_90~99세,470,27,17,2,5,5,19,8,3,27,13,7,10,8,27,22,20,27,31,14,13,11,36,60,29,29
2021년01월_남_100세 이상,50,2,0,0,1,0,4,0,1,1,2,2,1,2,2,5,0,1,2,0,5,1,2,0,3,13
2021년01월_여_총인구수,"143,159","3,828","9,924",673,"1,238",495,"1,868","1,288",434,"8,674","1,653","1,733","1,466","1,151","4,359","4,980","5,962","7,789","11,151","2,274","5,613","2,221","18,012","25,655","9,736","10,982"
2021년01월_여_연령구간인구수,"143,159","3,828","9,924",673,"1,238",495,"1,868","1,288",434,"8,674","1,653","1,733","1,466","1,151","4,359","4,980","5,962","7,789","11,151","2,274","5,613","2,221","18,012","25,655","9,736","10,982"
2021년01월_여_0~9세,"10,471",170,"1,055",17,47,7,62,28,6,684,32,35,30,41,436,383,247,640,880,174,212,73,"1,240","2,164",740,"1,068"
2021년01월_여_10~19세,"12,960",223,"1,179",20,76,15,77,61,13,830,75,80,63,53,300,351,425,697,995,171,312,114,"2,146","2,872",763,"1,049"
2021년01월_여_20~29세,"17,345",346,872,56,96,13,106,76,17,"1,050",112,391,196,109,487,582,884,"1,069","1,287",238,"1,084",490,"2,430","2,982","1,172","1,200"
2021년01월_여_30~39세,"16,727",302,"1,288",35,83,25,113,49,14,"1,129",100,176,139,98,683,615,594,"1,049","1,422",233,531,273,"1,798","3,213","1,285","1,480"
2021년01월_여_40~49세,"21,474",413,"1,815",41,114,33,143,114,28,"1,403",153,170,155,118,573,666,757,"1,149","1,649",326,610,204,"3,132","4,518","1,450","1,740"
2021년01월_여_50~59세,"23,367",680,"1,508",108,222,83,314,248,83,"1,397",291,239,235,193,555,864,975,"1,266","1,792",384,808,329,"3,123","4,331","1,702","1,637"
2021년01월_여_60~69세,"19,901",710,"1,220",172,299,127,426,321,114,"1,131",445,289,278,205,577,713,"1,009",922,"1,571",350,889,348,"2,030","2,928","1,437","1,390"
2021년01월_여_70~79세,"11,809",506,548,111,135,101,288,211,95,592,246,195,194,187,449,476,619,567,879,247,679,230,"1,242","1,515",695,802
2021년01월_여_80~89세,"7,569",408,340,100,142,75,269,146,54,385,166,140,143,113,250,271,371,366,579,126,405,134,741,943,391,511
2021년01월_여_90~99세,"1,466",68,95,12,24,15,64,34,10,70,32,17,32,33,44,51,78,59,97,23,82,25,127,182,95,97
2021년01월_여_100세 이상,70,2,4,1,0,1,6,0,0,3,1,1,1,1,5,8,3,5,0,2,1,1,3,7,6,8
