카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년10월_계_총인구수,"213,070","16,139","3,422","1,602","4,151","4,308","3,570","4,504","6,609","15,432","5,050","3,373","26,073","7,874","10,509","13,091","4,842","9,990","16,727","18,169","28,767","8,868"
2020년10월_계_연령구간인구수,"213,070","16,139","3,422","1,602","4,151","4,308","3,570","4,504","6,609","15,432","5,050","3,373","26,073","7,874","10,509","13,091","4,842","9,990","16,727","18,169","28,767","8,868"
2020년10월_계_0~9세,"13,568",594,124,31,199,100,118,192,388,"1,390",173,95,"1,826",370,432,600,290,910,"1,484",968,"2,530",754
2020년10월_계_10~19세,"19,168",965,200,37,289,192,164,211,500,"1,549",301,167,"3,066",656,767,"1,226",408,"1,039","1,563","1,581","3,534",753
2020년10월_계_20~29세,"25,078","1,423",301,98,364,403,262,412,494,"1,756",594,311,"3,567",906,"1,303","1,673",580,"1,132","2,586","2,019","3,454","1,440"
2020년10월_계_30~39세,"21,679","1,142",199,80,327,300,224,395,585,"2,079",445,286,"2,606",752,900,"1,257",543,"1,305","2,202","1,643","3,355","1,054"
2020년10월_계_40~49세,"32,335","1,972",385,119,487,433,323,569,964,"2,658",635,402,"4,566","1,061","1,462","1,897",730,"1,665","2,715","2,598","5,238","1,456"
2020년10월_계_50~59세,"36,772","2,969",699,326,723,785,697,850,"1,158","2,441",811,613,"4,486","1,458","2,012","2,481",937,"1,638","2,526","3,197","4,592","1,373"
2020년10월_계_60~69세,"33,355","3,432",709,463,882,953,852,965,"1,315","1,899","1,001",680,"3,150","1,423","1,928","2,272",736,"1,363","2,074","2,898","3,282","1,078"
2020년10월_계_70~79세,"19,565","2,270",432,281,511,676,561,544,749,"1,068",677,561,"1,775",806,"1,162","1,104",371,575,"1,015","2,082","1,729",616
