,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년07월_계_총인구수,"162,925","14,327","29,461","38,173","20,895","22,919","37,150"
2021년07월_계_연령구간인구수,"162,925","14,327","29,461","38,173","20,895","22,919","37,150"
2021년07월_계_0~9세,"12,815",882,"2,142","2,776","1,500","2,274","3,241"
2021년07월_계_10~19세,"14,239",927,"2,381","3,828","1,974","2,069","3,060"
2021년07월_계_20~29세,"23,017","2,403","4,128","5,026","3,222","3,110","5,128"
2021년07월_계_30~39세,"22,698","2,647","4,137","4,771","2,374","3,446","5,323"
2021년07월_계_40~49세,"24,153","1,695","4,308","5,943","3,097","3,530","5,580"
2021년07월_계_50~59세,"29,179","2,006","5,185","6,904","4,113","4,074","6,897"
2021년07월_계_60~69세,"22,595","2,250","3,972","5,637","2,875","2,801","5,060"
2021년07월_계_70~79세,"9,112",998,"2,019","2,227","1,045",982,"1,841"
2021년07월_계_80~89세,"4,350",436,"1,037",903,581,541,852
2021년07월_계_90~99세,745,81,148,155,109,91,161
2021년07월_계_100세 이상,22,2,4,3,5,1,7
2021년07월_남_총인구수,"81,009","7,278","14,983","18,927","10,265","11,279","18,277"
2021년07월_남_연령구간인구수,"81,009","7,278","14,983","18,927","10,265","11,279","18,277"
2021년07월_남_0~9세,"6,630",474,"1,130","1,369",781,"1,172","1,704"
2021년07월_남_10~19세,"7,319",495,"1,224","1,980","1,038","1,082","1,500"
2021년07월_남_20~29세,"12,118","1,236","2,250","2,645","1,682","1,614","2,691"
2021년07월_남_30~39세,"11,685","1,452","2,252","2,439","1,172","1,670","2,700"
2021년07월_남_40~49세,"11,979",893,"2,260","2,883","1,473","1,750","2,720"
2021년07월_남_50~59세,"14,030",943,"2,577","3,340","1,964","1,941","3,265"
2021년07월_남_60~69세,"11,259","1,119","1,978","2,806","1,450","1,412","2,494"
2021년07월_남_70~79세,"4,299",495,898,"1,094",485,436,891
2021년07월_남_80~89세,"1,518",152,377,335,198,182,274
2021년07월_남_90~99세,169,18,37,35,22,20,37
2021년07월_남_100세 이상,3,1,0,1,0,0,1
2021년07월_여_총인구수,"81,916","7,049","14,478","19,246","10,630","11,640","18,873"
2021년07월_여_연령구간인구수,"81,916","7,049","14,478","19,246","10,630","11,640","18,873"
2021년07월_여_0~9세,"6,185",408,"1,012","1,407",719,"1,102","1,537"
2021년07월_여_10~19세,"6,920",432,"1,157","1,848",936,987,"1,560"
2021년07월_여_20~29세,"10,899","1,167","1,878","2,381","1,540","1,496","2,437"
2021년07월_여_30~39세,"11,013","1,195","1,885","2,332","1,202","1,776","2,623"
2021년07월_여_40~49세,"12,174",802,"2,048","3,060","1,624","1,780","2,860"
2021년07월_여_50~59세,"15,149","1,063","2,608","3,564","2,149","2,133","3,632"
2021년07월_여_60~69세,"11,336","1,131","1,994","2,831","1,425","1,389","2,566"
2021년07월_여_70~79세,"4,813",503,"1,121","1,133",560,546,950
2021년07월_여_80~89세,"2,832",284,660,568,383,359,578
2021년07월_여_90~99세,576,63,111,120,87,71,124
2021년07월_여_100세 이상,19,1,4,2,5,1,6
