카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년01월_계_총인구수,"69,142","34,864","4,672","2,422","2,382","3,750","3,985","6,147","3,828","3,886","3,206"
2021년01월_계_연령구간인구수,"69,142","34,864","4,672","2,422","2,382","3,750","3,985","6,147","3,828","3,886","3,206"
2021년01월_계_0~9세,"3,771","2,618",126,48,45,128,105,371,99,114,117
2021년01월_계_10~19세,"5,131","3,588",163,105,84,194,166,372,131,185,143
2021년01월_계_20~29세,"6,858","4,182",388,145,124,271,237,808,243,267,193
2021년01월_계_30~39세,"6,063","3,871",310,107,97,204,212,590,243,241,188
2021년01월_계_40~49세,"8,274","5,338",387,156,192,307,350,544,363,356,281
2021년01월_계_50~59세,"12,695","6,026",814,459,489,805,758,"1,002",751,826,765
2021년01월_계_60~69세,"13,932","5,053","1,255",687,706,987,"1,112","1,229","1,076",985,842
2021년01월_계_70~79세,"7,330","2,557",702,411,372,488,621,696,549,517,417
2021년01월_계_80~89세,"4,402","1,404",442,252,246,324,373,465,315,352,229
2021년01월_계_90~99세,644,209,82,50,27,38,45,69,55,39,30
2021년01월_계_100세 이상,42,18,3,2,0,4,6,1,3,4,1
2021년01월_남_총인구수,"35,625","17,643","2,465","1,208","1,249","1,903","2,059","3,335","2,019","2,042","1,702"
2021년01월_남_연령구간인구수,"35,625","17,643","2,465","1,208","1,249","1,903","2,059","3,335","2,019","2,042","1,702"
2021년01월_남_0~9세,"1,898","1,314",60,28,31,65,49,184,50,54,63
2021년01월_남_10~19세,"2,648","1,849",91,55,46,100,98,166,70,102,71
2021년01월_남_20~29세,"4,171","2,417",256,90,70,169,139,610,137,161,122
2021년01월_남_30~39세,"3,327","2,057",188,57,61,103,123,342,160,136,100
2021년01월_남_40~49세,"4,444","2,689",245,89,128,170,210,320,221,211,161
2021년01월_남_50~59세,"6,672","3,129",440,244,252,414,404,530,387,450,422
2021년01월_남_60~69세,"7,264","2,541",662,355,372,516,577,667,589,536,449
2021년01월_남_70~79세,"3,449","1,098",355,184,194,246,310,334,262,250,216
2021년01월_남_80~89세,"1,576",492,145,93,86,110,137,168,124,132,89
2021년01월_남_90~99세,169,56,23,12,9,9,11,14,19,8,8
2021년01월_남_100세 이상,7,1,0,1,0,1,1,0,0,2,1
2021년01월_여_총인구수,"33,517","17,221","2,207","1,214","1,133","1,847","1,926","2,812","1,809","1,844","1,504"
2021년01월_여_연령구간인구수,"33,517","17,221","2,207","1,214","1,133","1,847","1,926","2,812","1,809","1,844","1,504"
2021년01월_여_0~9세,"1,873","1,304",66,20,14,63,56,187,49,60,54
2021년01월_여_10~19세,"2,483","1,739",72,50,38,94,68,206,61,83,72
2021년01월_여_20~29세,"2,687","1,765",132,55,54,102,98,198,106,106,71
2021년01월_여_30~39세,"2,736","1,814",122,50,36,101,89,248,83,105,88
2021년01월_여_40~49세,"3,830","2,649",142,67,64,137,140,224,142,145,120
2021년01월_여_50~59세,"6,023","2,897",374,215,237,391,354,472,364,376,343
2021년01월_여_60~69세,"6,668","2,512",593,332,334,471,535,562,487,449,393
2021년01월_여_70~79세,"3,881","1,459",347,227,178,242,311,362,287,267,201
2021년01월_여_80~89세,"2,826",912,297,159,160,214,236,297,191,220,140
2021년01월_여_90~99세,475,153,59,38,18,29,34,55,36,31,22
2021년01월_여_100세 이상,35,17,3,1,0,3,5,1,3,2,0
