,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년01월_계_총인구수,"97,159","6,621","1,407","3,862","3,063",989,"2,674","3,944","1,659","1,970","2,568","1,748",753,"1,989","2,759","1,237",331,"2,731","1,140",381,"2,142","2,066",823,"12,194","9,094","8,023","8,341","3,647","9,003"
2021년01월_계_연령구간인구수,"97,159","6,621","1,407","3,862","3,063",989,"2,674","3,944","1,659","1,970","2,568","1,748",753,"1,989","2,759","1,237",331,"2,731","1,140",381,"2,142","2,066",823,"12,194","9,094","8,023","8,341","3,647","9,003"
2021년01월_계_0~9세,"5,201",279,41,103,96,29,82,89,59,59,98,58,26,63,136,30,5,85,20,9,39,63,25,914,709,589,564,174,757
2021년01월_계_10~19세,"7,499",521,59,168,160,34,109,194,65,91,148,68,38,105,145,64,11,157,45,19,93,92,35,"1,301",852,817,803,349,956
2021년01월_계_20~29세,"8,075",424,71,194,168,53,147,197,81,105,154,104,29,104,153,71,14,120,42,12,101,98,47,"1,296",973,751,857,304,"1,405"
2021년01월_계_30~39세,"7,430",463,72,217,129,35,157,197,84,95,127,84,49,102,173,71,9,141,31,8,100,72,32,"1,240","1,079",771,759,268,865
2021년01월_계_40~49세,"11,477",758,104,336,256,72,217,295,125,140,242,165,53,168,253,115,25,293,85,25,171,190,63,"1,780","1,343","1,177","1,186",494,"1,346"
2021년01월_계_50~59세,"16,668","1,080",238,633,521,198,428,633,286,384,498,331,154,380,525,258,66,487,166,71,306,313,164,"2,084","1,559","1,381","1,513",622,"1,389"
2021년01월_계_60~69세,"18,417","1,343",311,879,653,226,628,994,386,496,639,427,190,460,606,279,101,602,294,72,523,425,190,"1,840","1,430","1,238","1,306",650,"1,229"
2021년01월_계_70~79세,"12,627",969,294,678,565,152,477,748,299,331,392,276,113,346,417,187,56,458,262,75,436,426,140,"1,121",707,760,831,486,625
2021년01월_계_80~89세,"8,416",678,193,566,428,172,366,514,233,239,235,208,88,210,309,139,39,333,167,79,315,320,100,530,385,482,452,263,373
2021년01월_계_90~99세,"1,285",97,24,84,81,16,59,81,41,30,31,26,13,50,41,21,5,51,26,11,57,65,26,81,57,55,66,33,57
2021년01월_계_100세 이상,64,9,0,4,6,2,4,2,0,0,4,1,0,1,1,2,0,4,2,0,1,2,1,7,0,2,4,4,1
2021년01월_남_총인구수,"47,589","3,202",685,"1,887","1,483",482,"1,307","1,935",829,"1,007","1,282",883,358,996,"1,338",624,171,"1,294",526,200,"1,014",991,393,"5,981","4,523","3,833","4,062","1,785","4,518"
2021년01월_남_연령구간인구수,"47,589","3,202",685,"1,887","1,483",482,"1,307","1,935",829,"1,007","1,282",883,358,996,"1,338",624,171,"1,294",526,200,"1,014",991,393,"5,981","4,523","3,833","4,062","1,785","4,518"
2021년01월_남_0~9세,"2,688",155,27,53,50,15,44,41,26,25,49,27,14,32,73,18,2,37,8,3,17,40,12,465,354,302,299,101,399
2021년01월_남_10~19세,"3,921",254,26,102,80,13,72,117,42,56,77,36,19,54,67,29,6,80,26,13,43,39,17,729,449,401,406,193,475
2021년01월_남_20~29세,"4,692",243,44,129,98,36,96,124,49,62,99,69,14,59,88,35,10,73,23,9,70,56,17,738,549,411,472,180,839
2021년01월_남_30~39세,"3,997",258,41,125,82,19,88,113,40,61,65,52,22,59,95,48,5,79,16,5,67,45,12,667,556,419,388,134,436
2021년01월_남_40~49세,"6,085",402,74,223,151,44,142,193,88,76,143,98,35,103,139,60,15,165,54,15,106,109,40,854,670,591,557,277,661
2021년01월_남_50~59세,"8,811",584,146,358,284,115,228,335,176,212,259,188,76,220,269,148,40,264,90,47,162,182,91,"1,025",803,678,831,318,682
2021년01월_남_60~69세,"9,027",664,147,458,345,114,320,492,195,274,326,225,104,234,307,142,56,289,146,39,259,216,104,841,699,572,588,274,597
2021년01월_남_70~79세,"5,464",407,123,274,246,69,189,329,132,154,172,114,49,155,178,84,24,196,106,36,192,183,66,485,307,313,362,220,299
