,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년03월_계_총인구수,"115,886","10,856","4,187","9,049","9,464","7,375","5,434","6,967","18,788","29,399","3,620","10,747"
2020년03월_계_연령구간인구수,"115,886","10,856","4,187","9,049","9,464","7,375","5,434","6,967","18,788","29,399","3,620","10,747"
2020년03월_계_0~9세,"5,630",401,204,434,255,386,160,403,"1,105","1,665",200,417
2020년03월_계_10~19세,"7,798",552,266,619,524,438,298,472,"1,460","2,382",209,578
2020년03월_계_20~29세,"12,367","1,059",457,907,837,734,521,633,"2,041","3,545",624,"1,009"
2020년03월_계_30~39세,"11,324","1,059",397,852,708,806,438,712,"1,964","3,042",345,"1,001"
2020년03월_계_40~49세,"15,842","1,421",546,"1,146","1,201",992,725,"1,053","2,770","4,213",469,"1,306"
2020년03월_계_50~59세,"20,346","2,007",746,"1,603","1,759","1,225",974,"1,126","3,271","5,224",482,"1,929"
2020년03월_계_60~69세,"21,650","2,161",805,"1,682","1,871","1,422","1,059","1,230","3,332","5,079",665,"2,344"
2020년03월_계_70~79세,"14,450","1,494",534,"1,224","1,570",880,900,924,"1,988","2,979",443,"1,514"
2020년03월_계_80~89세,"5,613",611,196,490,640,410,318,345,747,"1,126",154,576
2020년03월_계_90~99세,738,83,27,80,87,53,33,57,96,129,27,66
2020년03월_계_100세 이상,128,8,9,12,12,29,8,12,14,15,2,7
2020년03월_남_총인구수,"57,150","5,415","2,024","4,412","4,739","3,633","2,710","3,390","9,329","14,368","1,898","5,232"
2020년03월_남_연령구간인구수,"57,150","5,415","2,024","4,412","4,739","3,633","2,710","3,390","9,329","14,368","1,898","5,232"
2020년03월_남_0~9세,"2,834",205,109,221,139,185,76,211,547,831,105,205
2020년03월_남_10~19세,"4,048",282,142,342,278,226,154,236,774,"1,206",106,302
2020년03월_남_20~29세,"6,748",549,241,489,442,397,297,320,"1,104","1,959",390,560
2020년03월_남_30~39세,"6,100",571,216,451,416,436,266,371,"1,065","1,571",195,542
2020년03월_남_40~49세,"8,349",797,269,569,696,551,407,558,"1,415","2,100",266,721
2020년03월_남_50~59세,"10,311","1,108",371,791,974,633,518,569,"1,647","2,498",251,951
2020년03월_남_60~69세,"10,337","1,039",358,807,898,667,478,588,"1,566","2,448",326,"1,162"
2020년03월_남_70~79세,"6,262",633,236,526,641,385,373,406,928,"1,334",192,608
2020년03월_남_80~89세,"1,989",221,73,194,238,134,127,116,260,396,55,175
2020년03월_남_90~99세,139,8,5,19,12,15,10,12,17,25,11,5
2020년03월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년03월_여_총인구수,"58,736","5,441","2,163","4,637","4,725","3,742","2,724","3,577","9,459","15,031","1,722","5,515"
2020년03월_여_연령구간인구수,"58,736","5,441","2,163","4,637","4,725","3,742","2,724","3,577","9,459","15,031","1,722","5,515"
2020년03월_여_0~9세,"2,796",196,95,213,116,201,84,192,558,834,95,212
2020년03월_여_10~19세,"3,750",270,124,277,246,212,144,236,686,"1,176",103,276
2020년03월_여_20~29세,"5,619",510,216,418,395,337,224,313,937,"1,586",234,449
2020년03월_여_30~39세,"5,224",488,181,401,292,370,172,341,899,"1,471",150,459
2020년03월_여_40~49세,"7,493",624,277,577,505,441,318,495,"1,355","2,113",203,585
2020년03월_여_50~59세,"10,035",899,375,812,785,592,456,557,"1,624","2,726",231,978
2020년03월_여_60~69세,"11,313","1,122",447,875,973,755,581,642,"1,766","2,631",339,"1,182"
2020년03월_여_70~79세,"8,188",861,298,698,929,495,527,518,"1,060","1,645",251,906
2020년03월_여_80~89세,"3,624",390,123,296,402,276,191,229,487,730,99,401
2020년03월_여_90~99세,599,75,22,61,75,38,23,45,79,104,16,61
2020년03월_여_100세 이상,95,6,5,9,7,25,4,9,8,15,1,6
