카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년01월_계_총인구수,"38,489","15,622","5,055","3,554","2,404","2,891","1,305","2,139","1,129","1,485","2,905"
2020년01월_계_연령구간인구수,"38,489","15,622","5,055","3,554","2,404","2,891","1,305","2,139","1,129","1,485","2,905"
2020년01월_계_0~9세,"2,089","1,351",154,150,90,83,38,45,21,46,111
2020년01월_계_10~19세,"2,989","1,668",320,234,124,144,60,112,46,84,197
2020년01월_계_20~29세,"3,283","1,646",360,269,146,221,84,149,86,98,224
2020년01월_계_30~39세,"2,996","1,690",304,212,155,194,76,89,44,70,162
2020년01월_계_40~49세,"4,340","2,155",453,383,220,269,118,178,109,157,298
2020년01월_계_50~59세,"6,544","2,497",894,617,377,530,211,392,278,253,495
2020년01월_계_60~69세,"6,308","2,078",961,643,467,529,269,364,227,217,553
2020년01월_계_70~79세,"5,579","1,483",910,578,439,488,213,434,186,279,569
2020년01월_계_80~89세,"3,758",878,624,421,325,361,207,331,114,228,269
2020년01월_계_90~99세,577,163,75,42,57,71,27,45,17,53,27
2020년01월_계_100세 이상,26,13,0,5,4,1,2,0,1,0,0
2020년01월_남_총인구수,"18,667","7,591","2,449","1,721","1,156","1,423",625,"1,009",558,714,"1,421"
2020년01월_남_연령구간인구수,"18,667","7,591","2,449","1,721","1,156","1,423",625,"1,009",558,714,"1,421"
2020년01월_남_0~9세,"1,070",672,84,67,53,51,23,20,7,28,65
2020년01월_남_10~19세,"1,576",866,184,125,64,83,29,53,28,37,107
2020년01월_남_20~29세,"1,793",879,203,151,88,125,36,89,43,55,124
2020년01월_남_30~39세,"1,605",849,165,113,99,123,38,54,32,38,94
2020년01월_남_40~49세,"2,405","1,087",266,239,132,162,77,113,64,89,176
2020년01월_남_50~59세,"3,517","1,298",478,338,197,281,121,227,162,156,259
2020년01월_남_60~69세,"3,125",991,483,315,258,283,137,181,114,109,254
2020년01월_남_70~79세,"2,323",642,375,237,162,210,92,168,72,114,251
2020년01월_남_80~89세,"1,138",274,198,121,99,90,66,96,30,77,87
2020년01월_남_90~99세,111,32,13,13,4,15,5,8,6,11,4
2020년01월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년01월_여_총인구수,"19,822","8,031","2,606","1,833","1,248","1,468",680,"1,130",571,771,"1,484"
2020년01월_여_연령구간인구수,"19,822","8,031","2,606","1,833","1,248","1,468",680,"1,130",571,771,"1,484"
2020년01월_여_0~9세,"1,019",679,70,83,37,32,15,25,14,18,46
2020년01월_여_10~19세,"1,413",802,136,109,60,61,31,59,18,47,90
2020년01월_여_20~29세,"1,490",767,157,118,58,96,48,60,43,43,100
2020년01월_여_30~39세,"1,391",841,139,99,56,71,38,35,12,32,68
2020년01월_여_40~49세,"1,935","1,068",187,144,88,107,41,65,45,68,122
2020년01월_여_50~59세,"3,027","1,199",416,279,180,249,90,165,116,97,236
2020년01월_여_60~69세,"3,183","1,087",478,328,209,246,132,183,113,108,299
2020년01월_여_70~79세,"3,256",841,535,341,277,278,121,266,114,165,318
2020년01월_여_80~89세,"2,620",604,426,300,226,271,141,235,84,151,182
2020년01월_여_90~99세,466,131,62,29,53,56,22,37,11,42,23
2020년01월_여_100세 이상,22,12,0,3,4,1,1,0,1,0,0
