,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년03월_계_총인구수,"3,330,463","1,034,977","260,953","212,926","178,773","189,593","192,732","347,034","126,988","110,501","540,863","104,354","244,154","352,830","26,669","63,694","61,072","51,035","42,709","44,388","34,686","39,014","61,860","43,635"
2021년03월_계_연령구간인구수,"3,330,463","1,034,977","260,953","212,926","178,773","189,593","192,732","347,034","126,988","110,501","540,863","104,354","244,154","352,830","26,669","63,694","61,072","51,035","42,709","44,388","34,686","39,014","61,860","43,635"
2021년03월_계_0~9세,"263,754","82,271","21,065","16,116","13,129","12,993","18,968","27,847","9,346","7,990","48,368","5,497","25,965","34,144","1,053","3,923","3,135","2,495","1,579","1,784","1,295","1,766","3,737","1,559"
2021년03월_계_10~19세,"322,143","98,675","23,296","22,589","13,950","17,894","20,946","34,906","12,678","10,154","60,774","7,733","27,834","34,502","1,490","5,921","4,188","4,159","2,934","2,809","2,085","2,968","5,942","2,391"
2021년03월_계_20~29세,"373,828","128,613","35,324","31,825","19,144","21,886","20,434","44,827","10,962","10,597","68,649","8,971","23,877","40,459","1,992","5,373","4,763","3,838","3,194","3,314","2,391","3,067","5,987","2,954"
2021년03월_계_30~39세,"393,463","132,824","34,952","29,025","21,071","21,330","26,446","41,277","13,294","11,629","68,505","8,754","35,614","48,498","1,720","5,385","4,996","3,719","2,404","2,718","2,088","2,595","4,954","2,489"
2021년03월_계_40~49세,"533,259","167,124","40,648","35,181","26,200","29,800","35,295","53,798","21,097","17,581","97,838","12,834","47,496","61,125","2,822","9,238","7,045","6,239","4,541","4,851","3,436","4,323","7,693","4,178"
2021년03월_계_50~59세,"579,448","185,570","50,090","43,105","29,553","34,236","28,586","57,367","22,196","18,382","97,199","18,591","39,290","58,665","4,548","11,196","10,812","9,010","7,224","8,268","6,399","6,811","10,435","7,485"
2021년03월_계_60~69세,"473,178","145,044","35,456","24,612","30,607","30,313","24,056","46,877","20,772","16,794","59,908","21,317","27,282","43,997","5,543","11,252","12,312","9,881","8,416","9,100","7,479","7,487","10,448","9,269"
2021년03월_계_70~79세,"246,385","64,211","13,504","7,018","16,780","15,006","11,903","25,655","11,139","10,684","26,494","12,756","10,924","21,271","3,961","6,651","8,053","6,769","6,632","6,346","5,232","5,511","6,967","7,129"
2021년03월_계_80~89세,"126,739","26,894","5,769","2,998","7,220","5,499","5,408","12,611","4,848","5,843","11,662","6,979","5,044","9,017","3,079","4,178","5,080","4,258","4,908","4,408","3,698","3,868","4,920","5,444"
2021년03월_계_90~99세,"17,680","3,596",812,447,"1,063",601,673,"1,789",640,822,"1,415",896,800,"1,119",454,563,674,653,861,770,569,598,754,707
2021년03월_계_100세 이상,586,155,37,10,56,35,17,80,16,25,51,26,28,33,7,14,14,14,16,20,14,20,23,30
2021년03월_남_총인구수,"1,677,021","524,419","132,831","108,787","88,979","95,030","98,792","171,573","63,843","55,785","273,581","51,206","128,130","176,987","13,111","32,325","30,399","25,621","20,599","22,166","17,058","18,820","30,326","21,072"
2021년03월_남_연령구간인구수,"1,677,021","524,419","132,831","108,787","88,979","95,030","98,792","171,573","63,843","55,785","273,581","51,206","128,130","176,987","13,111","32,325","30,399","25,621","20,599","22,166","17,058","18,820","30,326","21,072"
2021년03월_남_0~9세,"135,499","42,463","10,806","8,259","6,819","6,694","9,885","14,447","4,675","4,151","24,653","2,823","13,430","17,418",536,"1,967","1,629","1,260",822,922,684,885,"1,920",814
2021년03월_남_10~19세,"168,658","51,668","12,317","11,904","7,227","9,354","10,866","18,403","6,571","5,234","31,587","4,054","14,614","17,761",796,"3,155","2,282","2,276","1,587","1,528","1,122","1,545","3,222","1,253"
2021년03월_남_20~29세,"208,326","71,768","19,647","17,796","10,583","12,121","11,621","24,657","6,123","6,346","37,447","5,205","13,507","21,679","1,133","3,143","2,743","2,255","1,965","1,982","1,370","1,744","3,563","1,696"
2021년03월_남_30~39세,"205,771","70,282","18,508","15,504","11,180","11,246","13,844","21,164","6,842","6,288","35,288","4,640","18,728","24,914",908,"2,751","2,753","2,050","1,247","1,510","1,119","1,338","2,554","1,395"
2021년03월_남_40~49세,"274,572","85,014","20,531","16,916","13,782","15,169","18,616","26,800","11,360","9,347","48,670","6,804","25,824","31,051","1,632","4,988","3,917","3,472","2,430","2,696","1,897","2,365","3,922","2,383"
2021년03월_남_50~59세,"296,162","92,137","24,602","20,925","14,730","17,049","14,831","28,285","11,442","9,758","49,861","9,394","21,097","29,644","2,546","6,154","5,787","4,918","3,891","4,552","3,477","3,650","5,425","4,144"
2021년03월_남_60~69세,"235,216","71,889","18,017","13,157","14,505","14,477","11,733","22,395","10,124","8,111","30,601","10,411","14,052","21,574","2,916","5,829","6,131","4,949","4,111","4,712","3,868","3,731","5,114","4,698"
