,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년07월_계_총인구수,"22,205","7,409","2,110","2,375","4,400","2,137","2,188","1,586"
2020년07월_계_연령구간인구수,"22,205","7,409","2,110","2,375","4,400","2,137","2,188","1,586"
2020년07월_계_0~9세,"1,189",568,77,76,245,59,94,70
2020년07월_계_10~19세,"1,662",731,119,124,351,101,147,89
2020년07월_계_20~29세,"1,692",651,142,152,371,133,160,83
2020년07월_계_30~39세,"1,601",696,114,128,325,122,126,90
2020년07월_계_40~49세,"2,632","1,056",202,222,569,193,236,154
2020년07월_계_50~59세,"3,711","1,146",341,400,782,373,413,256
2020년07월_계_60~69세,"4,172","1,183",396,529,774,504,410,376
2020년07월_계_70~79세,"3,144",834,380,440,549,355,341,245
2020년07월_계_80~89세,"2,099",480,295,263,381,252,234,194
2020년07월_계_90~99세,281,61,43,39,44,42,23,29
2020년07월_계_100세 이상,22,3,1,2,9,3,4,0
2020년07월_남_총인구수,"11,051","3,657","1,043","1,205","2,224","1,054","1,075",793
2020년07월_남_연령구간인구수,"11,051","3,657","1,043","1,205","2,224","1,054","1,075",793
2020년07월_남_0~9세,613,288,46,48,120,27,51,33
2020년07월_남_10~19세,836,348,62,65,201,51,63,46
2020년07월_남_20~29세,960,351,91,83,213,83,90,49
2020년07월_남_30~39세,838,340,63,79,174,66,73,43
2020년07월_남_40~49세,"1,496",591,118,137,309,113,129,99
2020년07월_남_50~59세,"2,090",628,200,218,449,214,241,140
2020년07월_남_60~69세,"2,098",572,187,285,386,259,206,203
2020년07월_남_70~79세,"1,362",357,172,196,244,144,139,110
2020년07월_남_80~89세,693,169,92,89,120,86,75,62
2020년07월_남_90~99세,61,12,12,5,7,11,6,8
2020년07월_남_100세 이상,4,1,0,0,1,0,2,0
2020년07월_여_총인구수,"11,154","3,752","1,067","1,170","2,176","1,083","1,113",793
2020년07월_여_연령구간인구수,"11,154","3,752","1,067","1,170","2,176","1,083","1,113",793
2020년07월_여_0~9세,576,280,31,28,125,32,43,37
2020년07월_여_10~19세,826,383,57,59,150,50,84,43
2020년07월_여_20~29세,732,300,51,69,158,50,70,34
2020년07월_여_30~39세,763,356,51,49,151,56,53,47
2020년07월_여_40~49세,"1,136",465,84,85,260,80,107,55
2020년07월_여_50~59세,"1,621",518,141,182,333,159,172,116
2020년07월_여_60~69세,"2,074",611,209,244,388,245,204,173
2020년07월_여_70~79세,"1,782",477,208,244,305,211,202,135
2020년07월_여_80~89세,"1,406",311,203,174,261,166,159,132
2020년07월_여_90~99세,220,49,31,34,37,31,17,21
2020년07월_여_100세 이상,18,2,1,2,8,3,2,0
