,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년05월_계_총인구수,"111,268","18,710","10,682","16,057","7,822","1,671","3,529","2,930","3,559","6,382","5,324","6,303","15,622","6,915","5,482",280
2020년05월_계_연령구간인구수,"111,268","18,710","10,682","16,057","7,822","1,671","3,529","2,930","3,559","6,382","5,324","6,303","15,622","6,915","5,482",280
2020년05월_계_0~9세,"8,478","1,535","1,078","2,137",723,50,111,83,70,192,241,431,"1,127",359,334,7
2020년05월_계_10~19세,"10,403","1,989","1,290","2,049",639,57,172,100,151,324,340,475,"1,708",659,441,9
2020년05월_계_20~29세,"10,844","2,407","1,128","1,619",549,130,290,177,264,431,506,566,"1,618",680,470,9
2020년05월_계_30~39세,"12,367","2,545","1,318","2,637",974,105,211,161,160,485,484,682,"1,489",603,494,19
2020년05월_계_40~49세,"17,807","3,360","1,957","3,081","1,245",190,356,278,351,766,736,981,"2,545","1,159",768,34
2020년05월_계_50~59세,"18,520","3,112","1,666","1,890","1,254",304,630,555,703,"1,134","1,006","1,091","2,917","1,305",905,48
2020년05월_계_60~69세,"15,788","1,915","1,075","1,265","1,185",382,723,661,759,"1,428",996,"1,051","2,204","1,089",992,63
2020년05월_계_70~79세,"10,670","1,116",706,854,771,244,609,517,653,"1,081",663,712,"1,345",675,658,66
2020년05월_계_80~89세,"5,581",628,400,461,417,188,381,356,381,469,314,274,607,326,354,25
2020년05월_계_90~99세,784,97,64,63,64,21,43,40,66,70,38,34,61,59,64,0
2020년05월_계_100세 이상,26,6,0,1,1,0,3,2,1,2,0,6,1,1,2,0
2020년05월_남_총인구수,"56,099","9,732","5,319","8,397","3,890",884,"1,796","1,448","1,764","3,115","2,632","3,109","7,617","3,561","2,692",143
2020년05월_남_연령구간인구수,"56,099","9,732","5,319","8,397","3,890",884,"1,796","1,448","1,764","3,115","2,632","3,109","7,617","3,561","2,692",143
2020년05월_남_0~9세,"4,420",796,557,"1,153",350,28,65,47,38,103,121,221,583,177,177,4
2020년05월_남_10~19세,"5,364",989,664,"1,045",340,33,97,57,79,166,189,253,881,345,222,4
2020년05월_남_20~29세,"6,479","1,411",644,"1,016",322,77,183,106,165,260,315,340,933,421,278,8
2020년05월_남_30~39세,"6,579","1,427",650,"1,394",480,62,120,89,96,298,265,360,743,323,262,10
2020년05월_남_40~49세,"9,532","1,797",982,"1,647",706,119,210,184,228,447,410,533,"1,220",615,408,26
2020년05월_남_50~59세,"9,734","1,656",881,"1,048",629,189,357,318,395,583,493,532,"1,458",709,456,30
2020년05월_남_60~69세,"7,610",968,531,594,584,201,362,319,366,646,464,464,"1,046",554,483,28
2020년05월_남_70~79세,"4,530",475,273,364,338,108,269,215,288,454,271,307,551,301,289,27
2020년05월_남_80~89세,"1,722",196,126,127,128,62,121,105,104,149,98,92,194,106,108,6
2020년05월_남_90~99세,123,17,11,9,13,5,11,7,4,9,6,5,8,9,9,0
2020년05월_남_100세 이상,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020년05월_여_총인구수,"55,169","8,978","5,363","7,660","3,932",787,"1,733","1,482","1,795","3,267","2,692","3,194","8,005","3,354","2,790",137
2020년05월_여_연령구간인구수,"55,169","8,978","5,363","7,660","3,932",787,"1,733","1,482","1,795","3,267","2,692","3,194","8,005","3,354","2,790",137
2020년05월_여_0~9세,"4,058",739,521,984,373,22,46,36,32,89,120,210,544,182,157,3
2020년05월_여_10~19세,"5,039","1,000",626,"1,004",299,24,75,43,72,158,151,222,827,314,219,5
2020년05월_여_20~29세,"4,365",996,484,603,227,53,107,71,99,171,191,226,685,259,192,1
2020년05월_여_30~39세,"5,788","1,118",668,"1,243",494,43,91,72,64,187,219,322,746,280,232,9
2020년05월_여_40~49세,"8,275","1,563",975,"1,434",539,71,146,94,123,319,326,448,"1,325",544,360,8
2020년05월_여_50~59세,"8,786","1,456",785,842,625,115,273,237,308,551,513,559,"1,459",596,449,18
2020년05월_여_60~69세,"8,178",947,544,671,601,181,361,342,393,782,532,587,"1,158",535,509,35
2020년05월_여_70~79세,"6,140",641,433,490,433,136,340,302,365,627,392,405,794,374,369,39
2020년05월_여_80~89세,"3,859",432,274,334,289,126,260,251,277,320,216,182,413,220,246,19
2020년05월_여_90~99세,661,80,53,54,51,16,32,33,62,61,32,29,53,50,55,0
2020년05월_여_100세 이상,20,6,0,1,1,0,2,1,0,2,0,4,1,0,2,0
