,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년03월_계_총인구수,"491,370","37,091","15,496","12,930","36,337","32,855","15,057","13,296","31,665","22,291","17,956","7,011","34,956","16,391","19,141","34,028","29,182","16,443","18,845","31,633","12,646","12,717","23,403"
2021년03월_계_연령구간인구수,"491,370","37,091","15,496","12,930","36,337","32,855","15,057","13,296","31,665","22,291","17,956","7,011","34,956","16,391","19,141","34,028","29,182","16,443","18,845","31,633","12,646","12,717","23,403"
2021년03월_계_0~9세,"32,072","2,319",831,610,"2,473","2,436","1,036",646,"2,685","1,195","1,203",336,"2,724",852,"1,164","2,328","2,399",829,"1,293","1,875","1,038",666,"1,134"
2021년03월_계_10~19세,"42,616","2,916","1,196",857,"2,357","2,312",896,"1,009","3,750","2,016","1,746",502,"2,970","1,244","1,449","3,535","4,182","1,087","1,711","3,283","1,032","1,012","1,554"
2021년03월_계_20~29세,"69,244","5,990","2,094","1,655","5,839","5,187","2,156","1,700","4,067","2,900","2,618",903,"4,858","2,555","2,517","4,704","3,725","2,124","2,584","4,769","1,588","1,654","3,057"
2021년03월_계_30~39세,"66,592","5,907","2,156","1,674","6,422","5,919","2,378","1,595","3,709","2,328","2,140",819,"5,168","2,165","2,707","3,878","2,961","2,025","2,543","4,049","1,765","1,366","2,918"
2021년03월_계_40~49세,"76,327","5,663","2,409","1,860","5,545","5,280","2,234","1,834","5,504","3,114","2,764","1,065","5,289","2,335","2,499","5,627","5,756","2,364","2,988","5,135","1,803","1,894","3,365"
2021년03월_계_50~59세,"89,288","6,185","2,746","2,348","6,048","5,347","2,564","2,549","5,663","4,030","3,362","1,476","6,377","3,296","3,545","6,528","5,318","2,935","3,404","6,173","2,163","2,496","4,735"
2021년03월_계_60~69세,"67,518","4,700","2,259","2,158","4,466","3,735","2,180","2,265","3,856","3,620","2,414","1,167","4,685","2,394","3,155","4,328","2,925","2,865","2,542","3,812","2,031","2,051","3,910"
2021년03월_계_70~79세,"31,352","2,180","1,257","1,163","2,157","1,754","1,025","1,115","1,638","1,915","1,057",506,"1,904","1,054","1,345","1,896","1,234","1,560","1,205","1,634",840,"1,058","1,855"
2021년03월_계_80~89세,"14,150","1,061",478,516,908,757,515,496,685,988,570,185,875,431,638,"1,028",574,580,517,777,340,457,774
2021년03월_계_90~99세,"2,100",163,69,87,120,119,63,84,106,170,82,40,102,63,118,172,105,71,52,123,45,59,87
2021년03월_계_100세 이상,111,7,1,2,2,9,10,3,2,15,0,12,4,2,4,4,3,3,6,3,1,4,14
2021년03월_남_총인구수,"242,817","17,856","7,714","6,438","17,963","16,234","7,449","6,727","15,587","10,841","8,560","3,747","17,491","8,279","9,323","16,657","14,164","8,264","9,177","15,260","6,495","6,486","12,105"
2021년03월_남_연령구간인구수,"242,817","17,856","7,714","6,438","17,963","16,234","7,449","6,727","15,587","10,841","8,560","3,747","17,491","8,279","9,323","16,657","14,164","8,264","9,177","15,260","6,495","6,486","12,105"
2021년03월_남_0~9세,"16,391","1,166",411,314,"1,266","1,228",564,351,"1,361",635,612,161,"1,423",416,582,"1,205","1,211",411,634,961,557,368,554
2021년03월_남_10~19세,"22,083","1,449",607,457,"1,233","1,157",466,523,"1,974","1,073",891,249,"1,569",702,769,"1,795","2,146",574,852,"1,661",557,539,840
2021년03월_남_20~29세,"35,562","2,860","1,093",866,"2,885","2,565","1,045",936,"2,128","1,543","1,334",508,"2,513","1,362","1,299","2,482","1,912","1,125","1,332","2,408",896,873,"1,597"
2021년03월_남_30~39세,"34,369","3,061","1,171",905,"3,325","3,165","1,207",869,"1,780","1,194","1,035",456,"2,651","1,165","1,381","1,972","1,409","1,078","1,267","1,984",945,731,"1,618"
2021년03월_남_40~49세,"38,473","2,781","1,272",978,"2,834","2,805","1,203",959,"2,662","1,533","1,300",603,"2,720","1,219","1,275","2,705","2,637","1,301","1,487","2,429",958,971,"1,841"
2021년03월_남_50~59세,"43,658","2,939","1,355","1,171","2,955","2,553","1,232","1,310","2,729","1,913","1,540",818,"3,138","1,617","1,614","3,247","2,687","1,463","1,615","2,920","1,026","1,329","2,487"
2021년03월_남_60~69세,"32,857","2,182","1,040","1,055","2,136","1,728","1,059","1,087","1,912","1,706","1,181",642,"2,287","1,169","1,575","2,133","1,443","1,357","1,223","1,901","1,028","1,012","2,001"
2021년03월_남_70~79세,"14,179",988,578,498,974,756,470,519,789,882,461,246,858,473,625,804,520,730,564,725,396,469,854
2021년03월_남_80~89세,"4,797",390,170,173,331,251,191,158,230,325,190,52,312,149,177,279,185,205,187,244,123,178,297
2021년03월_남_90~99세,426,39,17,21,23,25,11,15,21,34,16,8,18,7,23,35,14,20,13,27,9,16,14
2021년03월_남_100세 이상,22,1,0,0,1,1,1,0,1,3,0,4,2,0,3,0,0,0,3,0,0,0,2
