,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년11월_계_총인구수,"177,161","52,880","8,588","81,893","25,862","7,938"
2021년11월_계_연령구간인구수,"177,161","52,880","8,588","81,893","25,862","7,938"
2021년11월_계_0~9세,"18,411","3,010",417,"11,360","3,282",342
2021년11월_계_10~19세,"18,028","4,280",395,"11,023","1,884",446
2021년11월_계_20~29세,"16,971","6,175",986,"6,627","2,500",683
2021년11월_계_30~39세,"24,143","5,662","1,055","12,300","4,482",644
2021년11월_계_40~49세,"33,025","7,937",955,"18,903","4,244",986
2021년11월_계_50~59세,"24,994","9,453","1,509","8,896","3,798","1,338"
2021년11월_계_60~69세,"22,450","8,563","1,702","7,082","3,279","1,824"
2021년11월_계_70~79세,"12,813","5,105",939,"4,045","1,614","1,110"
2021년11월_계_80~89세,"5,520","2,362",532,"1,456",671,499
2021년11월_계_90~99세,775,322,93,196,103,61
2021년11월_계_100세 이상,31,11,5,5,5,5
2021년11월_남_총인구수,"87,661","25,772","4,621","40,442","12,804","4,022"
2021년11월_남_연령구간인구수,"87,661","25,772","4,621","40,442","12,804","4,022"
2021년11월_남_0~9세,"9,378","1,592",219,"5,780","1,626",161
2021년11월_남_10~19세,"9,337","2,230",220,"5,716",941,230
2021년11월_남_20~29세,"9,019","3,271",591,"3,345","1,389",423
2021년11월_남_30~39세,"12,014","2,999",625,"5,855","2,197",338
2021년11월_남_40~49세,"16,806","3,952",573,"9,582","2,157",542
2021년11월_남_50~59세,"12,800","4,692",859,"4,665","1,892",692
2021년11월_남_60~69세,"10,377","3,988",875,"3,037","1,602",875
2021년11월_남_70~79세,"5,866","2,170",477,"1,892",760,567
2021년11월_남_80~89세,"1,899",812,160,534,216,177
2021년11월_남_90~99세,163,66,21,36,23,17
2021년11월_남_100세 이상,2,0,1,0,1,0
2021년11월_여_총인구수,"89,500","27,108","3,967","41,451","13,058","3,916"
2021년11월_여_연령구간인구수,"89,500","27,108","3,967","41,451","13,058","3,916"
2021년11월_여_0~9세,"9,033","1,418",198,"5,580","1,656",181
2021년11월_여_10~19세,"8,691","2,050",175,"5,307",943,216
2021년11월_여_20~29세,"7,952","2,904",395,"3,282","1,111",260
2021년11월_여_30~39세,"12,129","2,663",430,"6,445","2,285",306
2021년11월_여_40~49세,"16,219","3,985",382,"9,321","2,087",444
2021년11월_여_50~59세,"12,194","4,761",650,"4,231","1,906",646
2021년11월_여_60~69세,"12,073","4,575",827,"4,045","1,677",949
2021년11월_여_70~79세,"6,947","2,935",462,"2,153",854,543
2021년11월_여_80~89세,"3,621","1,550",372,922,455,322
2021년11월_여_90~99세,612,256,72,160,80,44
2021년11월_여_100세 이상,29,11,4,5,4,5
