카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년11월_계_총인구수,"503,388","230,644","7,354","30,298","56,081","3,391","9,713","4,050","1,863","24,622","17,159","12,217","4,768","2,994","30,604","25,530","272,744","40,897","2,916","4,772","2,475","4,967","2,122",609,"1,304","15,450","16,799","19,909","21,921","33,446","23,037","72,607","9,513"
2021년11월_계_연령구간인구수,"503,388","230,644","7,354","30,298","56,081","3,391","9,713","4,050","1,863","24,622","17,159","12,217","4,768","2,994","30,604","25,530","272,744","40,897","2,916","4,772","2,475","4,967","2,122",609,"1,304","15,450","16,799","19,909","21,921","33,446","23,037","72,607","9,513"
2021년11월_계_0~9세,"37,449","16,442",124,"2,188","5,374",60,498,62,29,"1,063",560,387,209,134,"3,605","2,149","21,007","3,707",65,95,37,78,36,4,15,541,"1,122",728,"1,300","3,213","1,589","7,642",835
2021년11월_계_10~19세,"46,215","20,950",241,"3,583","5,887",128,755,119,65,"1,449",757,658,257,181,"3,964","2,906","25,265","3,637",82,203,81,180,54,18,38,784,"1,772",918,"1,910","3,191","2,332","8,925","1,140"
2021년11월_계_20~29세,"56,565","26,560",397,"3,482","6,856",246,917,179,99,"3,208","1,635",983,667,751,"3,543","3,597","30,005","4,146",169,288,148,292,58,27,52,"1,583","2,009","2,349","2,333","3,745","2,817","9,082",907
2021년11월_계_30~39세,"57,613","25,888",421,"2,872","7,922",233,923,183,76,"2,871","1,554",955,481,365,"3,684","3,348","31,725","4,884",124,245,96,219,61,14,55,"1,699","1,810","2,365","2,096","4,681","2,476","9,770","1,130"
2021년11월_계_40~49세,"76,644","35,499",708,"5,014","10,478",295,"1,203",289,180,"3,254","2,128","1,382",527,332,"5,382","4,327","41,145","6,218",219,433,193,353,118,35,94,"1,922","2,555","2,508","3,192","5,089","3,281","13,276","1,659"
2021년11월_계_50~59세,"89,077","40,870","1,325","5,986","8,744",644,"1,794",683,315,"4,365","3,303","2,183",802,501,"5,187","5,038","48,207","7,121",460,897,439,884,396,115,208,"2,639","3,333","3,410","4,034","6,020","4,586","12,203","1,462"
2021년11월_계_60~69세,"82,790","38,363","2,003","4,568","6,822",970,"1,890","1,016",455,"5,162","4,203","3,190",985,433,"3,909","2,757","44,427","6,331",812,"1,165",631,"1,305",628,210,376,"3,330","2,727","4,276","4,258","4,889","3,863","8,149","1,477"
2021년11월_계_70~79세,"38,337","17,903","1,300","1,801","2,654",532,"1,129",801,377,"2,528","2,286","1,756",599,207,990,943,"20,434","3,006",516,828,480,929,407,111,254,"2,006","1,057","2,406","1,960","1,782","1,488","2,528",676
