,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년03월_계_총인구수,"9,733,655","151,217","126,175","229,579","299,042","350,417","346,156","395,619","442,494","312,985","331,238","531,037","478,019","312,642","374,570","456,339","589,302","405,837","232,583","371,903","395,014","499,374","430,568","544,804","674,095","452,646"
2020년03월_계_연령구간인구수,"9,733,655","151,217","126,175","229,579","299,042","350,417","346,156","395,619","442,494","312,985","331,238","531,037","478,019","312,642","374,570","456,339","589,302","405,837","232,583","371,903","395,014","499,374","430,568","544,804","674,095","452,646"
2020년03월_계_0~9세,"655,134","8,059","7,193","14,054","21,364","21,056","21,750","24,045","30,496","17,037","20,099","35,393","30,889","20,674","26,205","32,950","42,840","29,871","13,405","25,632","26,039","24,248","35,662","38,588","52,870","34,715"
2020년03월_계_10~19세,"810,349","11,570","7,261","16,219","21,142","27,146","25,089","27,948","38,896","23,182","26,970","55,811","39,917","24,633","29,457","51,854","46,611","31,055","15,446","24,714","29,107","30,334","45,661","60,013","60,719","39,594"
2020년03월_계_20~29세,"1,461,212","23,472","18,535","33,128","45,724","62,144","55,488","56,113","66,839","43,426","44,719","74,040","66,182","49,530","61,165","60,438","87,486","55,597","36,517","57,774","66,625","108,343","56,332","75,431","95,566","60,598"
2020년03월_계_30~39세,"1,501,662","20,290","20,418","38,146","50,243","57,503","51,236","58,815","61,360","40,231","42,632","66,867","68,647","45,358","65,355","59,014","101,665","64,219","35,523","66,863","63,399","88,225","66,164","85,013","113,764","70,712"
2020년03월_계_40~49세,"1,558,128","22,935","18,507","36,126","46,647","54,137","52,086","58,866","71,972","48,619","50,385","89,167","77,681","48,394","62,380","80,407","92,942","64,088","33,909","55,923","60,178","70,260","78,585","100,367","110,367","73,200"
2020년03월_계_50~59세,"1,537,114","25,736","20,982","36,659","48,272","55,342","54,332","70,407","69,937","53,437","58,173","88,633","76,951","49,654","54,409","76,779","88,423","63,664","41,112","56,524","59,002","69,117","62,960","80,054","103,986","72,569"
2020년03월_계_60~69세,"1,205,699","19,489","17,114","27,808","35,585","41,004","45,248","55,873","53,548","44,717","48,082","65,809","61,966","37,358","38,555","55,248","74,524","54,040","31,918","45,258","47,934","58,015","46,913","58,283","81,491","59,919"
2020년03월_계_70~79세,"691,028","12,580","10,471","17,196","20,493","22,163","28,093","30,639","33,465","29,719","27,254","36,861","38,381","24,350","24,419","27,475","38,030","30,905","17,649","26,596","29,339","36,481","26,841","33,273","39,033","29,322"
2020년03월_계_80~89세,"266,097","5,792","4,648","8,309","8,199","8,482","10,985","11,178","13,654","10,932","11,147","15,845","14,960","10,818","10,723","10,374","14,188","10,789","6,130","10,847","11,372","12,411","9,445","11,289","13,589","9,991"
2020년03월_계_90~99세,"40,809","1,033",851,"1,571","1,135","1,235","1,559","1,541","1,959","1,447","1,611","2,349","2,035","1,591","1,579","1,628","2,371","1,444",805,"1,501","1,717","1,631","1,787","2,214","2,429","1,786"
2020년03월_계_100세 이상,"6,423",261,195,363,238,205,290,194,368,238,166,262,410,282,323,172,222,165,169,271,302,309,218,279,281,240
2020년03월_남_총인구수,"4,742,217","73,704","61,839","110,667","146,300","169,568","171,896","196,076","213,926","152,747","161,879","256,726","230,147","150,051","176,943","224,241","285,085","200,558","118,044","184,316","191,272","250,743","205,787","260,654","325,859","223,189"
2020년03월_남_연령구간인구수,"4,742,217","73,704","61,839","110,667","146,300","169,568","171,896","196,076","213,926","152,747","161,879","256,726","230,147","150,051","176,943","224,241","285,085","200,558","118,044","184,316","191,272","250,743","205,787","260,654","325,859","223,189"
2020년03월_남_0~9세,"336,469","4,070","3,652","7,269","10,910","10,738","11,126","12,402","15,582","8,820","10,350","18,223","15,809","10,635","13,291","16,964","21,909","15,253","6,861","13,009","13,332","12,476","18,433","19,995","27,373","17,987"
2020년03월_남_10~19세,"415,728","5,827","3,648","8,257","10,591","13,829","12,682","14,271","19,752","11,934","13,889","28,941","20,390","12,287","14,865","27,056","23,721","16,000","7,852","12,952","14,866","15,604","23,277","31,332","31,055","20,850"
2020년03월_남_20~29세,"713,226","11,595","8,959","15,859","22,683","29,427","27,933","28,009","32,495","21,355","22,805","38,176","32,109","23,997","27,894","30,990","41,028","27,336","18,707","27,319","32,349","53,005","27,137","36,120","45,735","30,204"
2020년03월_남_30~39세,"751,137","10,056","10,231","19,013","24,738","28,430","26,543","30,440","30,520","21,150","21,825","33,280","34,177","22,532","30,978","28,994","51,551","32,760","19,647","34,496","32,068","48,560","30,317","38,891","54,628","35,312"
2020년03월_남_40~49세,"772,140","11,179","9,429","17,790","23,385","26,757","26,824","30,332","35,479","24,875","24,940","42,536","38,394","23,927","30,370","38,504","46,703","32,938","17,699","28,712","30,092","37,426","37,035","46,814","53,313","36,687"
2020년03월_남_50~59세,"754,079","12,935","10,669","18,148","24,163","27,045","27,341","34,791","34,432","26,037","27,733","42,917","37,073","24,047","26,760","38,183","42,115","31,350","20,679","28,728","28,270","34,354","30,830","39,882","50,234","35,363"
2020년03월_남_60~69세,"569,745","9,683","8,513","13,208","17,257","19,483","21,857","27,128","25,215","20,822","23,084","30,696","28,603","17,547","17,795","26,655","34,626","25,507","15,691","21,961","22,078","27,001","21,555","26,623","38,632","28,525"
2020년03월_남_70~79세,"315,112","5,599","4,706","7,453","9,135","10,200","12,689","13,991","14,590","12,981","12,532","15,894","17,001","10,404","10,345","12,878","17,839","14,727","8,237","12,282","13,196","16,751","12,664","15,799","19,057","14,162"
2020년03월_남_80~89세,"102,246","2,312","1,708","3,071","3,058","3,279","4,359","4,318","5,259","4,309","4,245","5,413","5,939","4,158","4,126","3,571","4,972","4,291","2,418","4,372","4,467","5,109","4,009","4,617","5,207","3,659"
2020년03월_남_90~99세,"10,672",362,260,495,313,335,456,350,510,404,434,571,575,442,440,402,553,359,197,418,464,393,478,526,556,379
2020년03월_남_100세 이상,"1,663",86,64,104,67,45,86,44,92,60,42,79,77,75,79,44,68,37,56,67,90,64,52,55,69,61
2020년03월_여_총인구수,"4,991,438","77,513","64,336","118,912","152,742","180,849","174,260","199,543","228,568","160,238","169,359","274,311","247,872","162,591","197,627","232,098","304,217","205,279","114,539","187,587","203,742","248,631","224,781","284,150","348,236","229,457"
2020년03월_여_연령구간인구수,"4,991,438","77,513","64,336","118,912","152,742","180,849","174,260","199,543","228,568","160,238","169,359","274,311","247,872","162,591","197,627","232,098","304,217","205,279","114,539","187,587","203,742","248,631","224,781","284,150","348,236","229,457"
2020년03월_여_0~9세,"318,665","3,989","3,541","6,785","10,454","10,318","10,624","11,643","14,914","8,217","9,749","17,170","15,080","10,039","12,914","15,986","20,931","14,618","6,544","12,623","12,707","11,772","17,229","18,593","25,497","16,728"
2020년03월_여_10~19세,"394,621","5,743","3,613","7,962","10,551","13,317","12,407","13,677","19,144","11,248","13,081","26,870","19,527","12,346","14,592","24,798","22,890","15,055","7,594","11,762","14,241","14,730","22,384","28,681","29,664","18,744"
2020년03월_여_20~29세,"747,986","11,877","9,576","17,269","23,041","32,717","27,555","28,104","34,344","22,071","21,914","35,864","34,073","25,533","33,271","29,448","46,458","28,261","17,810","30,455","34,276","55,338","29,195","39,311","49,831","30,394"
2020년03월_여_30~39세,"750,525","10,234","10,187","19,133","25,505","29,073","24,693","28,375","30,840","19,081","20,807","33,587","34,470","22,826","34,377","30,020","50,114","31,459","15,876","32,367","31,331","39,665","35,847","46,122","59,136","35,400"
2020년03월_여_40~49세,"785,988","11,756","9,078","18,336","23,262","27,380","25,262","28,534","36,493","23,744","25,445","46,631","39,287","24,467","32,010","41,903","46,239","31,150","16,210","27,211","30,086","32,834","41,550","53,553","57,054","36,513"
2020년03월_여_50~59세,"783,035","12,801","10,313","18,511","24,109","28,297","26,991","35,616","35,505","27,400","30,440","45,716","39,878","25,607","27,649","38,596","46,308","32,314","20,433","27,796","30,732","34,763","32,130","40,172","53,752","37,206"
2020년03월_여_60~69세,"635,954","9,806","8,601","14,600","18,328","21,521","23,391","28,745","28,333","23,895","24,998","35,113","33,363","19,811","20,760","28,593","39,898","28,533","16,227","23,297","25,856","31,014","25,358","31,660","42,859","31,394"
