,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년06월_계_총인구수,"158,526","6,469","4,149","3,076","3,601","5,273","2,829","1,824","2,123","2,913","2,735","1,765","1,896","1,652","1,781","5,145","5,104","22,408","9,300","13,507","6,497","6,374","22,077","15,643","10,385"
2020년06월_계_연령구간인구수,"158,526","6,469","4,149","3,076","3,601","5,273","2,829","1,824","2,123","2,913","2,735","1,765","1,896","1,652","1,781","5,145","5,104","22,408","9,300","13,507","6,497","6,374","22,077","15,643","10,385"
2020년06월_계_0~9세,"10,880",207,98,75,88,210,50,31,52,65,53,32,42,29,30,264,326,"1,974",681,947,411,381,"2,148","1,534","1,152"
2020년06월_계_10~19세,"13,826",294,219,100,132,256,130,71,89,113,80,50,55,49,72,358,419,"2,382",906,997,570,610,"2,639","1,679","1,556"
2020년06월_계_20~29세,"16,509",472,308,150,343,624,149,81,169,195,137,88,86,66,68,527,535,"2,989",859,"1,462",668,684,"2,752","1,864","1,233"
2020년06월_계_30~39세,"15,651",388,205,173,220,606,125,81,140,165,126,64,92,73,79,529,464,"2,593",873,"1,611",644,596,"2,596","2,038","1,170"
2020년06월_계_40~49세,"22,464",608,351,334,366,591,261,169,178,281,188,151,124,121,149,649,730,"3,639","1,408","1,907",933,887,"3,820","2,551","2,068"
2020년06월_계_50~59세,"26,646","1,120",706,577,626,820,462,299,443,542,523,307,394,301,306,838,961,"3,531","1,492","2,289","1,069","1,227","3,627","2,671","1,515"
2020년06월_계_60~69세,"24,852","1,368",875,620,819,894,626,395,459,682,663,459,462,426,446,904,818,"2,730","1,465","2,169","1,135","1,113","2,541","1,874",909
2020년06월_계_70~79세,"16,700","1,115",760,562,556,745,573,369,330,487,566,348,367,344,359,707,558,"1,617","1,023","1,409",699,609,"1,217",888,492
2020년06월_계_80~89세,"9,518",776,546,419,370,457,386,281,226,319,355,239,246,207,243,317,258,836,518,635,310,233,630,468,243
2020년06월_계_90~99세,"1,417",114,78,65,81,66,65,46,37,61,43,22,26,36,28,50,35,111,69,74,56,34,105,71,44
2020년06월_계_100세 이상,63,7,3,1,0,4,2,1,0,3,1,5,2,0,1,2,0,6,6,7,2,0,2,5,3
2020년06월_남_총인구수,"78,470","3,263","2,148","1,607","1,890","2,729","1,374",897,"1,085","1,532","1,375",905,973,868,930,"2,511","2,473","11,096","4,471","6,721","3,164","3,172","10,516","7,612","5,158"
2020년06월_남_연령구간인구수,"78,470","3,263","2,148","1,607","1,890","2,729","1,374",897,"1,085","1,532","1,375",905,973,868,930,"2,511","2,473","11,096","4,471","6,721","3,164","3,172","10,516","7,612","5,158"
2020년06월_남_0~9세,"5,719",112,54,39,44,112,27,15,30,26,23,21,24,15,21,146,180,"1,034",368,482,202,207,"1,115",816,606
2020년06월_남_10~19세,"7,248",159,134,61,79,136,83,42,45,58,41,23,36,26,35,183,204,"1,226",460,554,305,318,"1,359",857,824
2020년06월_남_20~29세,"9,043",275,180,101,192,347,86,47,101,123,77,53,54,43,38,297,289,"1,662",456,817,377,363,"1,414","1,007",644
2020년06월_남_30~39세,"8,094",218,117,110,134,344,69,50,85,101,77,43,57,47,54,256,226,"1,318",442,852,342,332,"1,236","1,039",545
2020년06월_남_40~49세,"11,700",374,219,223,223,351,164,110,107,179,137,99,80,90,99,357,391,"1,813",712,997,483,450,"1,838","1,222",982
2020년06월_남_50~59세,"13,587",619,399,338,363,476,260,170,246,329,302,176,211,175,170,437,481,"1,761",728,"1,112",502,593,"1,699","1,243",797
2020년06월_남_60~69세,"12,032",687,457,306,431,442,292,205,233,365,352,249,243,212,250,394,379,"1,278",653,"1,012",503,509,"1,186",939,455
2020년06월_남_70~79세,"7,447",520,355,262,274,341,255,160,154,233,221,149,168,165,177,319,244,697,451,639,320,297,473,351,222
2020년06월_남_80~89세,"3,264",266,211,153,130,160,124,93,75,98,133,84,92,84,78,114,71,282,181,239,121,93,182,125,75
2020년06월_남_90~99세,320,31,22,14,20,18,14,5,9,19,12,8,8,11,7,6,8,22,20,15,9,10,13,11,8
2020년06월_남_100세 이상,16,2,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
2020년06월_여_총인구수,"80,056","3,206","2,001","1,469","1,711","2,544","1,455",927,"1,038","1,381","1,360",860,923,784,851,"2,634","2,631","11,312","4,829","6,786","3,333","3,202","11,561","8,031","5,227"
2020년06월_여_연령구간인구수,"80,056","3,206","2,001","1,469","1,711","2,544","1,455",927,"1,038","1,381","1,360",860,923,784,851,"2,634","2,631","11,312","4,829","6,786","3,333","3,202","11,561","8,031","5,227"
2020년06월_여_0~9세,"5,161",95,44,36,44,98,23,16,22,39,30,11,18,14,9,118,146,940,313,465,209,174,"1,033",718,546
2020년06월_여_10~19세,"6,578",135,85,39,53,120,47,29,44,55,39,27,19,23,37,175,215,"1,156",446,443,265,292,"1,280",822,732
2020년06월_여_20~29세,"7,466",197,128,49,151,277,63,34,68,72,60,35,32,23,30,230,246,"1,327",403,645,291,321,"1,338",857,589
2020년06월_여_30~39세,"7,557",170,88,63,86,262,56,31,55,64,49,21,35,26,25,273,238,"1,275",431,759,302,264,"1,360",999,625
2020년06월_여_40~49세,"10,764",234,132,111,143,240,97,59,71,102,51,52,44,31,50,292,339,"1,826",696,910,450,437,"1,982","1,329","1,086"
2020년06월_여_50~59세,"13,059",501,307,239,263,344,202,129,197,213,221,131,183,126,136,401,480,"1,770",764,"1,177",567,634,"1,928","1,428",718
2020년06월_여_60~69세,"12,820",681,418,314,388,452,334,190,226,317,311,210,219,214,196,510,439,"1,452",812,"1,157",632,604,"1,355",935,454
2020년06월_여_70~79세,"9,253",595,405,300,282,404,318,209,176,254,345,199,199,179,182,388,314,920,572,770,379,312,744,537,270
2020년06월_여_80~89세,"6,254",510,335,266,240,297,262,188,151,221,222,155,154,123,165,203,187,554,337,396,189,140,448,343,168
2020년06월_여_90~99세,"1,097",83,56,51,61,48,51,41,28,42,31,14,18,25,21,44,27,89,49,59,47,24,92,60,36
2020년06월_여_100세 이상,47,5,3,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,6,5,2,0,1,3,3
