,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년07월_계_총인구수,"351,651","119,218","35,351","3,390","13,081","8,517","11,600","33,950","22,319","9,123","28,817","20,056","31,094","15,135"
2020년07월_계_연령구간인구수,"351,651","119,218","35,351","3,390","13,081","8,517","11,600","33,950","22,319","9,123","28,817","20,056","31,094","15,135"
2020년07월_계_0~9세,"35,569","16,412","5,015",86,565,202,475,"2,737","1,446",771,"2,520","1,498","2,615","1,227"
2020년07월_계_10~19세,"34,238","12,180","2,752",107,886,620,655,"4,362","1,835","1,031","3,336","1,762","3,336","1,376"
2020년07월_계_20~29세,"40,854","14,353","3,400",167,"1,358",890,"1,457","4,639","3,249","1,024","3,250","2,167","3,187","1,713"
2020년07월_계_30~39세,"50,654","21,682","6,776",211,"1,136",607,"1,275","3,555","3,107","1,150","3,521","2,394","3,340","1,900"
2020년07월_계_40~49세,"60,387","21,406","6,218",293,"1,710",963,"1,488","6,326","3,549","1,659","5,471","3,368","5,559","2,377"
2020년07월_계_50~59세,"58,469","16,681","4,827",636,"2,829","1,961","2,497","6,161","4,622","1,573","4,912","3,785","5,158","2,827"
2020년07월_계_60~69세,"41,183","10,281","3,864",923,"2,519","1,846","2,288","3,315","2,846","1,111","3,416","2,784","3,956","2,034"
2020년07월_계_70~79세,"20,690","4,341","1,800",615,"1,385",882,"1,001","1,985","1,140",549,"1,672","1,521","2,682","1,117"
2020년07월_계_80~89세,"8,515","1,653",611,304,603,463,403,795,453,231,628,710,"1,154",507
2020년07월_계_90~99세,"1,033",220,86,46,81,76,53,73,69,24,81,65,102,57
2020년07월_계_100세 이상,59,9,2,2,9,7,8,2,3,0,10,2,5,0
2020년07월_남_총인구수,"176,482","59,000","17,908","1,737","6,666","4,487","6,169","16,463","11,682","4,590","14,991","9,994","15,199","7,596"
2020년07월_남_연령구간인구수,"176,482","59,000","17,908","1,737","6,666","4,487","6,169","16,463","11,682","4,590","14,991","9,994","15,199","7,596"
2020년07월_남_0~9세,"18,189","8,363","2,577",47,283,99,248,"1,412",738,387,"1,298",755,"1,338",644
2020년07월_남_10~19세,"17,633","6,287","1,379",47,443,345,380,"2,271",970,478,"1,711",908,"1,708",706
2020년07월_남_20~29세,"21,876","7,118","1,854",97,797,537,872,"2,447","1,887",543,"1,860","1,184","1,731",949
2020년07월_남_30~39세,"25,955","10,718","3,413",138,649,357,743,"1,724","1,774",633,"1,883","1,249","1,679",995
2020년07월_남_40~49세,"30,727","10,765","3,358",175,905,513,844,"2,889","1,880",842,"2,874","1,708","2,787","1,187"
2020년07월_남_50~59세,"29,468","8,154","2,387",341,"1,459","1,047","1,289","3,053","2,289",833,"2,669","1,926","2,606","1,415"
2020년07월_남_60~69세,"20,227","5,047","1,831",477,"1,308",996,"1,170","1,507","1,506",557,"1,698","1,370","1,754","1,006"
2020년07월_남_70~79세,"9,254","1,990",885,302,601,425,472,835,493,245,762,638,"1,117",489
2020년07월_남_80~89세,"2,925",522,205,103,201,149,134,310,125,71,222,238,452,193
2020년07월_남_90~99세,218,35,19,10,17,19,16,14,18,1,14,18,25,12
2020년07월_남_100세 이상,10,1,0,0,3,0,1,1,2,0,0,0,2,0
2020년07월_여_총인구수,"175,169","60,218","17,443","1,653","6,415","4,030","5,431","17,487","10,637","4,533","13,826","10,062","15,895","7,539"
2020년07월_여_연령구간인구수,"175,169","60,218","17,443","1,653","6,415","4,030","5,431","17,487","10,637","4,533","13,826","10,062","15,895","7,539"
2020년07월_여_0~9세,"17,380","8,049","2,438",39,282,103,227,"1,325",708,384,"1,222",743,"1,277",583
2020년07월_여_10~19세,"16,605","5,893","1,373",60,443,275,275,"2,091",865,553,"1,625",854,"1,628",670
2020년07월_여_20~29세,"18,978","7,235","1,546",70,561,353,585,"2,192","1,362",481,"1,390",983,"1,456",764
2020년07월_여_30~39세,"24,699","10,964","3,363",73,487,250,532,"1,831","1,333",517,"1,638","1,145","1,661",905
2020년07월_여_40~49세,"29,660","10,641","2,860",118,805,450,644,"3,437","1,669",817,"2,597","1,660","2,772","1,190"
2020년07월_여_50~59세,"29,001","8,527","2,440",295,"1,370",914,"1,208","3,108","2,333",740,"2,243","1,859","2,552","1,412"
2020년07월_여_60~69세,"20,956","5,234","2,033",446,"1,211",850,"1,118","1,808","1,340",554,"1,718","1,414","2,202","1,028"
2020년07월_여_70~79세,"11,436","2,351",915,313,784,457,529,"1,150",647,304,910,883,"1,565",628
2020년07월_여_80~89세,"5,590","1,131",406,201,402,314,269,485,328,160,406,472,702,314
2020년07월_여_90~99세,815,185,67,36,64,57,37,59,51,23,67,47,77,45
2020년07월_여_100세 이상,49,8,2,2,6,7,7,1,1,0,10,2,3,0
