카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년01월_계_총인구수,"714,822","62,433","93,055","104,163","14,730","24,252","53,672","29,751","19,736","9,048","4,204","51,121","36,717","18,981","4,616","77,961","36,306","74,076"
2021년01월_계_연령구간인구수,"714,822","62,433","93,055","104,163","14,730","24,252","53,672","29,751","19,736","9,048","4,204","51,121","36,717","18,981","4,616","77,961","36,306","74,076"
2021년01월_계_0~9세,"64,619","4,096","8,272","8,846","1,630","1,053","3,988","1,737","1,213",350,195,"5,420","3,264",726,168,"10,289","4,832","8,540"
2021년01월_계_10~19세,"77,390","7,425","11,442","11,515","1,289","1,910","6,604","2,582","1,948",549,253,"6,749","5,028","1,193",198,"8,147","3,767","6,791"
2021년01월_계_20~29세,"85,165","7,853","10,558","12,243","1,586","3,315","6,742","4,145","2,505",817,405,"5,625","4,502","2,512",525,"8,945","3,841","9,046"
2021년01월_계_30~39세,"89,274","6,031","10,342","12,497","2,225","2,335","5,421","3,345","1,796",758,423,"6,158","4,332","2,115",499,"13,139","5,916","11,942"
2021년01월_계_40~49세,"130,410","11,102","17,432","19,760","2,508","3,351","10,251","4,287","3,282","1,051",530,"10,841","7,430","2,287",485,"15,185","7,311","13,317"
2021년01월_계_50~59세,"117,419","11,177","15,174","17,531","2,310","5,184","9,619","5,752","3,621","1,798",776,"7,530","5,869","3,897",906,"10,212","5,147","10,916"
2021년01월_계_60~69세,"83,886","7,682","11,037","11,907","1,893","4,040","5,785","4,574","2,752","1,955",877,"4,597","3,430","3,575","1,084","7,003","3,413","8,282"
2021년01월_계_70~79세,"45,017","4,798","5,949","6,834",851,"1,972","3,543","2,235","1,729","1,130",481,"2,909","1,897","1,647",495,"3,475","1,425","3,647"
2021년01월_계_80~89세,"18,728","1,942","2,521","2,634",378,942,"1,522",979,761,498,223,"1,111",845,878,224,"1,350",553,"1,367"
2021년01월_계_90~99세,"2,689",296,312,363,59,137,192,106,108,132,38,172,117,135,24,200,86,212
2021년01월_계_100세 이상,225,31,16,33,1,13,5,9,21,10,3,9,3,16,8,16,15,16
2021년01월_남_총인구수,"355,980","30,793","46,964","52,207","7,466","12,589","27,010","14,838","9,881","4,741","2,177","24,919","18,058","9,677","2,614","38,313","17,689","36,044"
2021년01월_남_연령구간인구수,"355,980","30,793","46,964","52,207","7,466","12,589","27,010","14,838","9,881","4,741","2,177","24,919","18,058","9,677","2,614","38,313","17,689","36,044"
2021년01월_남_0~9세,"33,225","2,138","4,283","4,576",840,587,"2,071",862,623,193,101,"2,804","1,648",372,83,"5,233","2,460","4,351"
2021년01월_남_10~19세,"39,755","3,802","5,919","6,012",673,973,"3,370","1,353","1,059",309,125,"3,470","2,582",631,101,"4,096","1,928","3,352"
2021년01월_남_20~29세,"44,447","4,154","5,594","6,426",827,"1,827","3,620","2,203","1,254",473,231,"2,927","2,273","1,397",314,"4,487","1,947","4,493"
2021년01월_남_30~39세,"44,020","2,969","5,136","6,258","1,130","1,264","2,733","1,775",936,412,223,"2,841","2,114","1,198",308,"6,245","2,693","5,785"
2021년01월_남_40~49세,"65,418","5,288","8,765","10,033","1,290","1,791","5,149","2,147","1,644",585,274,"5,233","3,622","1,210",316,"7,744","3,697","6,630"
2021년01월_남_50~59세,"59,953","5,667","8,059","9,062","1,197","2,749","5,080","2,760","1,891",988,421,"3,842","3,015","1,944",510,"5,035","2,513","5,220"
2021년01월_남_60~69세,"40,919","3,675","5,487","5,725",946,"2,139","2,831","2,321","1,339","1,016",458,"2,072","1,634","1,816",643,"3,264","1,575","3,978"
2021년01월_남_70~79세,"20,521","2,235","2,673","3,039",402,882,"1,533","1,030",769,548,243,"1,250",832,766,244,"1,684",657,"1,734"
2021년01월_남_80~89세,"7,044",776,960,984,151,348,574,358,328,186,92,435,310,305,89,492,195,461
2021년01월_남_90~99세,617,81,84,83,9,28,47,26,33,25,6,42,28,32,6,32,19,36
2021년01월_남_100세 이상,61,8,4,9,1,1,2,3,5,6,3,3,0,6,0,1,5,4
2021년01월_여_총인구수,"358,842","31,640","46,091","51,956","7,264","11,663","26,662","14,913","9,855","4,307","2,027","26,202","18,659","9,304","2,002","39,648","18,617","38,032"
2021년01월_여_연령구간인구수,"358,842","31,640","46,091","51,956","7,264","11,663","26,662","14,913","9,855","4,307","2,027","26,202","18,659","9,304","2,002","39,648","18,617","38,032"
2021년01월_여_0~9세,"31,394","1,958","3,989","4,270",790,466,"1,917",875,590,157,94,"2,616","1,616",354,85,"5,056","2,372","4,189"
2021년01월_여_10~19세,"37,635","3,623","5,523","5,503",616,937,"3,234","1,229",889,240,128,"3,279","2,446",562,97,"4,051","1,839","3,439"
2021년01월_여_20~29세,"40,718","3,699","4,964","5,817",759,"1,488","3,122","1,942","1,251",344,174,"2,698","2,229","1,115",211,"4,458","1,894","4,553"
2021년01월_여_30~39세,"45,254","3,062","5,206","6,239","1,095","1,071","2,688","1,570",860,346,200,"3,317","2,218",917,191,"6,894","3,223","6,157"
2021년01월_여_40~49세,"64,992","5,814","8,667","9,727","1,218","1,560","5,102","2,140","1,638",466,256,"5,608","3,808","1,077",169,"7,441","3,614","6,687"
2021년01월_여_50~59세,"57,466","5,510","7,115","8,469","1,113","2,435","4,539","2,992","1,730",810,355,"3,688","2,854","1,953",396,"5,177","2,634","5,696"
2021년01월_여_60~69세,"42,967","4,007","5,550","6,182",947,"1,901","2,954","2,253","1,413",939,419,"2,525","1,796","1,759",441,"3,739","1,838","4,304"
2021년01월_여_70~79세,"24,496","2,563","3,276","3,795",449,"1,090","2,010","1,205",960,582,238,"1,659","1,065",881,251,"1,791",768,"1,913"
2021년01월_여_80~89세,"11,684","1,166","1,561","1,650",227,594,948,621,433,312,131,676,535,573,135,858,358,906
2021년01월_여_90~99세,"2,072",215,228,280,50,109,145,80,75,107,32,130,89,103,18,168,67,176
2021년01월_여_100세 이상,164,23,12,24,0,12,3,6,16,4,0,6,3,10,8,15,10,12
