,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년04월_계_총인구수,"43,618","7,939","19,240","3,273","3,966","2,662","1,768","1,019","2,825",198,728
2020년04월_계_연령구간인구수,"43,618","7,939","19,240","3,273","3,966","2,662","1,768","1,019","2,825",198,728
2020년04월_계_0~9세,"2,877",738,"1,644",99,132,92,48,23,64,9,28
2020년04월_계_10~19세,"3,251",467,"1,946",185,194,156,75,52,130,10,36
2020년04월_계_20~29세,"5,418","1,249","2,458",338,453,244,152,81,345,43,55
2020년04월_계_30~39세,"4,300","1,028","2,201",206,289,187,109,60,162,12,46
2020년04월_계_40~49세,"5,028",829,"2,668",296,421,249,147,86,247,19,66
2020년04월_계_50~59세,"7,304","1,093","3,201",612,743,530,351,155,443,31,145
2020년04월_계_60~69세,"7,228","1,072","2,593",690,834,530,449,229,647,35,149
2020년04월_계_70~79세,"5,047",882,"1,522",499,565,434,270,226,505,24,120
2020년04월_계_80~89세,"2,722",502,833,312,279,220,146,96,248,13,73
2020년04월_계_90~99세,396,74,152,31,49,18,19,10,32,1,10
2020년04월_계_100세 이상,47,5,22,5,7,2,2,1,2,1,0
2020년04월_남_총인구수,"22,882","4,297","9,822","1,731","2,108","1,435",941,538,"1,533",115,362
2020년04월_남_연령구간인구수,"22,882","4,297","9,822","1,731","2,108","1,435",941,538,"1,533",115,362
2020년04월_남_0~9세,"1,483",380,848,50,66,45,27,14,32,4,17
2020년04월_남_10~19세,"1,743",262,"1,019",101,117,88,41,31,61,4,19
2020년04월_남_20~29세,"3,446",854,"1,384",232,318,159,96,51,282,38,32
2020년04월_남_30~39세,"2,430",602,"1,182",118,179,116,63,34,103,7,26
2020년04월_남_40~49세,"2,750",469,"1,375",177,246,140,88,54,153,8,40
2020년04월_남_50~59세,"3,921",610,"1,676",333,395,293,184,93,251,18,68
2020년04월_남_60~69세,"3,717",538,"1,317",373,424,288,257,112,313,20,75
2020년04월_남_70~79세,"2,270",374,697,223,240,205,119,105,239,11,57
2020년04월_남_80~89세,993,184,274,113,107,94,57,41,90,5,28
2020년04월_남_90~99세,113,24,41,9,15,6,8,2,8,0,0
2020년04월_남_100세 이상,16,0,9,2,1,1,1,1,1,0,0
2020년04월_여_총인구수,"20,736","3,642","9,418","1,542","1,858","1,227",827,481,"1,292",83,366
2020년04월_여_연령구간인구수,"20,736","3,642","9,418","1,542","1,858","1,227",827,481,"1,292",83,366
2020년04월_여_0~9세,"1,394",358,796,49,66,47,21,9,32,5,11
2020년04월_여_10~19세,"1,508",205,927,84,77,68,34,21,69,6,17
2020년04월_여_20~29세,"1,972",395,"1,074",106,135,85,56,30,63,5,23
2020년04월_여_30~39세,"1,870",426,"1,019",88,110,71,46,26,59,5,20
2020년04월_여_40~49세,"2,278",360,"1,293",119,175,109,59,32,94,11,26
2020년04월_여_50~59세,"3,383",483,"1,525",279,348,237,167,62,192,13,77
2020년04월_여_60~69세,"3,511",534,"1,276",317,410,242,192,117,334,15,74
2020년04월_여_70~79세,"2,777",508,825,276,325,229,151,121,266,13,63
2020년04월_여_80~89세,"1,729",318,559,199,172,126,89,55,158,8,45
2020년04월_여_90~99세,283,50,111,22,34,12,11,8,24,1,10
2020년04월_여_100세 이상,31,5,13,3,6,1,1,0,1,1,0
