카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년06월_계_총인구수,"544,136","46,318","41,842","31,542","49,173","27,952","28,499","6,699","9,995","22,950","13,622","14,965","32,473","12,135","20,726","16,644","10,988","33,158","23,000","24,610","28,508","24,887","23,450"
2020년06월_계_연령구간인구수,"544,136","46,318","41,842","31,542","49,173","27,952","28,499","6,699","9,995","22,950","13,622","14,965","32,473","12,135","20,726","16,644","10,988","33,158","23,000","24,610","28,508","24,887","23,450"
2020년06월_계_0~9세,"51,772","4,911","2,546","4,048","7,121","4,387","3,406",357,509,"1,307",783,662,"2,845",609,"1,470",723,791,"2,817","2,052","2,661","3,105","2,401","2,261"
2020년06월_계_10~19세,"57,065","4,476","3,676","4,382","6,205","3,603","2,139",463,797,"1,635",949,"1,318","3,090",894,"1,997","1,334",797,"3,463","2,913","3,512","3,360","2,735","3,327"
2020년06월_계_20~29세,"73,278","6,592","6,692","3,856","5,848","2,980","3,561","1,064","1,639","3,360","1,780","2,335","4,406","1,700","3,094","2,365","1,471","4,765","2,871","2,707","3,857","3,166","3,169"
2020년06월_계_30~39세,"81,308","8,621","5,090","6,041","8,575","5,186","5,101",905,"1,209","2,989","1,634","1,603","4,574","1,528","2,655","1,884","1,705","4,804","2,640","3,503","4,728","3,365","2,968"
2020년06월_계_40~49세,"96,152","8,595","6,514","6,515","9,918","5,571","4,522",873,"1,381","3,359","1,951","2,273","5,103","1,910","3,045","2,326","1,628","5,962","4,583","5,620","5,539","4,393","4,571"
2020년06월_계_50~59세,"93,185","6,830","8,792","3,941","6,559","3,669","4,690","1,629","2,306","4,801","2,804","3,206","6,121","2,555","4,070","3,424","2,041","5,776","3,878","3,464","4,452","4,400","3,777"
2020년06월_계_60~69세,"55,776","3,893","4,996","1,785","3,296","1,759","3,180",962,"1,375","3,369","2,224","2,121","4,141","1,729","2,785","2,727","1,608","3,308","2,122","1,751","2,064","2,642","1,939"
2020년06월_계_70~79세,"23,871","1,692","2,243",641,"1,146",525,"1,283",279,507,"1,450","1,023",980,"1,539",837,"1,054","1,254",622,"1,530","1,290",939,923,"1,159",955
2020년06월_계_80~89세,"10,023",605,"1,092",290,431,228,518,127,243,577,410,412,550,327,467,522,259,626,597,389,416,527,410
2020년06월_계_90~99세,"1,604",96,191,41,71,43,92,33,27,93,60,54,97,43,87,78,60,97,48,60,62,98,73
2020년06월_계_100세 이상,102,7,10,2,3,1,7,7,2,10,4,1,7,3,2,7,6,10,6,4,2,1,0
2020년06월_남_총인구수,"274,761","23,555","21,299","15,673","24,512","13,815","14,336","3,532","5,021","11,819","7,077","7,566","16,243","6,459","10,065","8,480","5,641","17,154","11,615","12,463","14,202","12,704","11,530"
2020년06월_남_연령구간인구수,"274,761","23,555","21,299","15,673","24,512","13,815","14,336","3,532","5,021","11,819","7,077","7,566","16,243","6,459","10,065","8,480","5,641","17,154","11,615","12,463","14,202","12,704","11,530"
2020년06월_남_0~9세,"26,689","2,532","1,270","2,103","3,703","2,258","1,797",177,256,675,397,372,"1,434",330,750,371,389,"1,472","1,035","1,410","1,574","1,220","1,164"
2020년06월_남_10~19세,"29,225","2,357","1,915","2,207","3,181","1,835","1,102",243,409,854,501,645,"1,535",455,986,696,435,"1,780","1,488","1,806","1,735","1,415","1,645"
2020년06월_남_20~29세,"38,117","3,394","3,592","1,870","2,963","1,497","1,808",601,868,"1,820",995,"1,245","2,261",923,"1,619","1,255",749,"2,538","1,535","1,388","1,936","1,685","1,575"
2020년06월_남_30~39세,"41,475","4,420","2,707","2,954","4,065","2,402","2,585",511,675,"1,717",898,899,"2,324",886,"1,335","1,073",901,"2,618","1,342","1,697","2,337","1,676","1,453"
2020년06월_남_40~49세,"49,010","4,490","3,315","3,228","4,960","2,773","2,394",481,685,"1,825","1,064","1,187","2,597","1,071","1,450","1,181",850,"3,051","2,313","2,825","2,775","2,274","2,221"
2020년06월_남_50~59세,"47,298","3,429","4,460","2,030","3,269","1,813","2,320",839,"1,109","2,386","1,441","1,598","3,046","1,384","1,896","1,718","1,046","3,075","2,060","1,935","2,255","2,271","1,918"
2020년06월_남_60~69세,"28,397","1,926","2,622",915,"1,671",929,"1,576",512,731,"1,696","1,151","1,045","2,105",917,"1,402","1,385",867,"1,699","1,027",819,"1,027","1,413",962
2020년06월_남_70~79세,"10,946",778,982,263,541,240,597,133,208,666,484,446,753,368,469,611,307,700,571,420,396,567,446
2020년06월_남_80~89세,"3,256",205,386,99,143,61,143,28,75,156,132,122,175,111,138,170,78,205,228,153,148,168,132
