,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년05월_계_총인구수,"221,020","10,474","5,099","4,708","9,375","10,026","12,763","5,010","7,612","5,367","6,053","2,833","4,148","3,128","9,213","16,993","10,809","21,306","11,826","16,476","4,769","11,377","8,440","23,215"
2021년05월_계_연령구간인구수,"221,020","10,474","5,099","4,708","9,375","10,026","12,763","5,010","7,612","5,367","6,053","2,833","4,148","3,128","9,213","16,993","10,809","21,306","11,826","16,476","4,769","11,377","8,440","23,215"
2021년05월_계_0~9세,"17,355",434,209,158,658,"1,430",905,452,205,177,394,51,124,130,663,"1,686",966,"1,825",779,"1,242",379,"1,121",660,"2,707"
2021년05월_계_10~19세,"24,042",699,309,311,"1,029","1,190","1,450",455,404,325,601,124,205,219,972,"2,431","1,452","2,382","1,125","1,813",497,"1,557",851,"3,641"
2021년05월_계_20~29세,"26,868","1,056",513,404,"1,146","1,228","1,708",522,707,506,684,196,453,311,"1,080","1,750","1,169","2,519","2,211","2,576",553,"1,472","1,210","2,894"
2021년05월_계_30~39세,"24,675",958,437,364,989,"1,715","1,312",656,580,414,601,195,271,243,940,"1,980","1,144","2,489","1,552","1,911",526,"1,409","1,036","2,953"
2021년05월_계_40~49세,"36,675","1,365",677,629,"1,480","1,805","2,133",808,967,694,931,373,478,411,"1,482","3,223","1,890","3,526","2,015","2,674",791,"2,113","1,386","4,824"
2021년05월_계_50~59세,"36,005","1,735",826,813,"1,580","1,227","2,299",783,"1,320",868,931,503,676,511,"1,595","2,487","1,600","3,451","1,974","3,060",767,"1,861","1,599","3,539"
2021년05월_계_60~69세,"29,426","2,092","1,064",874,"1,320",827,"1,633",685,"1,522","1,057",990,656,834,574,"1,370","1,831","1,426","2,865","1,302","1,995",674,"1,086",998,"1,751"
2021년05월_계_70~79세,"17,646","1,479",791,766,784,417,904,427,"1,291",938,657,499,718,491,760,"1,059",768,"1,522",577,795,380,507,462,654
2021년05월_계_80~89세,"7,318",578,231,341,341,162,381,204,521,348,241,208,351,215,322,485,345,627,250,358,175,218,210,206
2021년05월_계_90~99세,972,76,41,44,46,25,38,16,89,38,23,27,36,23,29,59,44,97,38,50,27,33,28,45
2021년05월_계_100세 이상,38,2,1,4,2,0,0,2,6,2,0,1,2,0,0,2,5,3,3,2,0,0,0,1
2021년05월_남_총인구수,"110,120","5,261","2,566","2,398","4,553","4,953","6,279","2,503","3,878","2,816","2,962","1,516","2,230","1,625","4,631","8,360","5,319","10,440","6,087","8,207","2,388","5,457","4,097","11,594"
2021년05월_남_연령구간인구수,"110,120","5,261","2,566","2,398","4,553","4,953","6,279","2,503","3,878","2,816","2,962","1,516","2,230","1,625","4,631","8,360","5,319","10,440","6,087","8,207","2,388","5,457","4,097","11,594"
2021년05월_남_0~9세,"8,963",228,112,76,316,740,480,253,103,86,199,24,65,61,365,849,531,958,405,635,184,569,324,"1,400"
2021년05월_남_10~19세,"12,306",352,158,153,536,603,739,230,206,173,293,68,108,106,485,"1,253",732,"1,228",618,939,269,759,453,"1,845"
