카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년04월_계_총인구수,"1,444,787","102,939","294,128","213,698","429,159","404,863"
2021년04월_계_연령구간인구수,"1,444,787","102,939","294,128","213,698","429,159","404,863"
2021년04월_계_0~9세,"117,272","7,214","21,096","17,141","32,880","38,941"
2021년04월_계_10~19세,"154,930","7,315","30,813","22,600","42,288","51,914"
2021년04월_계_20~29세,"208,208","14,720","45,126","27,665","61,955","58,742"
2021년04월_계_30~39세,"183,705","13,420","35,985","25,118","55,205","53,977"
2021년04월_계_40~49세,"239,431","14,019","48,044","34,067","67,113","76,188"
2021년04월_계_50~59세,"233,781","15,535","49,373","32,768","71,512","64,593"
2021년04월_계_60~69세,"166,786","14,911","34,908","28,322","54,368","34,277"
2021년04월_계_70~79세,"93,666","10,321","19,275","17,379","29,557","17,134"
2021년04월_계_80~89세,"40,716","4,756","8,241","7,452","12,394","7,873"
2021년04월_계_90~99세,"6,001",680,"1,219","1,147","1,782","1,173"
2021년04월_계_100세 이상,291,48,48,39,105,51
2021년04월_남_총인구수,"714,834","50,783","144,117","102,854","213,032","204,048"
2021년04월_남_연령구간인구수,"714,834","50,783","144,117","102,854","213,032","204,048"
2021년04월_남_0~9세,"60,215","3,732","10,939","8,745","16,836","19,963"
2021년04월_남_10~19세,"80,270","3,765","16,248","11,288","22,278","26,691"
2021년04월_남_20~29세,"108,762","7,531","23,104","14,244","32,653","31,230"
2021년04월_남_30~39세,"93,897","6,978","18,213","12,491","28,718","27,497"
2021년04월_남_40~49세,"118,857","7,291","23,183","16,803","33,662","37,918"
2021년04월_남_50~59세,"116,033","7,684","24,215","15,532","35,048","33,554"
2021년04월_남_60~69세,"79,467","7,027","16,384","12,988","25,843","17,225"
2021년04월_남_70~79세,"41,574","4,572","8,571","7,764","13,261","7,406"
2021년04월_남_80~89세,"14,442","1,999","2,985","2,746","4,372","2,340"
2021년04월_남_90~99세,"1,280",190,270,248,353,219
2021년04월_남_100세 이상,37,14,5,5,8,5
2021년04월_여_총인구수,"729,953","52,156","150,011","110,844","216,127","200,815"
2021년04월_여_연령구간인구수,"729,953","52,156","150,011","110,844","216,127","200,815"
2021년04월_여_0~9세,"57,057","3,482","10,157","8,396","16,044","18,978"
2021년04월_여_10~19세,"74,660","3,550","14,565","11,312","20,010","25,223"
2021년04월_여_20~29세,"99,446","7,189","22,022","13,421","29,302","27,512"
2021년04월_여_30~39세,"89,808","6,442","17,772","12,627","26,487","26,480"
2021년04월_여_40~49세,"120,574","6,728","24,861","17,264","33,451","38,270"
2021년04월_여_50~59세,"117,748","7,851","25,158","17,236","36,464","31,039"
2021년04월_여_60~69세,"87,319","7,884","18,524","15,334","28,525","17,052"
2021년04월_여_70~79세,"52,092","5,749","10,704","9,615","16,296","9,728"
2021년04월_여_80~89세,"26,274","2,757","5,256","4,706","8,022","5,533"
2021년04월_여_90~99세,"4,721",490,949,899,"1,429",954
2021년04월_여_100세 이상,254,34,43,34,97,46
