,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년12월_계_총인구수,"44,699","5,414","3,571","12,054","15,483","2,001","3,796","2,271",109,0,0,0,0
2020년12월_계_연령구간인구수,"44,699","5,414","3,571","12,054","15,483","2,001","3,796","2,271",109,0,0,0,0
2020년12월_계_0~9세,"3,365",420,364,826,"1,171",166,233,185,0,0,0,0,0
2020년12월_계_10~19세,"3,795",502,253,998,"1,464",96,342,137,3,0,0,0,0
2020년12월_계_20~29세,"5,846",676,543,"1,621","1,832",429,448,294,3,0,0,0,0
2020년12월_계_30~39세,"4,687",551,453,"1,253","1,574",239,351,263,3,0,0,0,0
2020년12월_계_40~49세,"5,687",679,379,"1,615","2,078",190,538,199,9,0,0,0,0
2020년12월_계_50~59세,"7,227",899,477,"2,044","2,560",243,648,340,16,0,0,0,0
2020년12월_계_60~69세,"6,726",771,497,"1,834","2,331",272,592,408,21,0,0,0,0
2020년12월_계_70~79세,"4,716",595,367,"1,209","1,590",227,390,297,41,0,0,0,0
2020년12월_계_80~89세,"2,244",280,203,550,739,114,214,131,13,0,0,0,0
2020년12월_계_90~99세,361,39,33,92,125,20,36,16,0,0,0,0,0
2020년12월_계_100세 이상,45,2,2,12,19,5,4,1,0,0,0,0,0
2020년12월_남_총인구수,"23,216","2,757","1,915","6,462","7,794","1,111","1,905","1,220",52,0,0,0,0
2020년12월_남_연령구간인구수,"23,216","2,757","1,915","6,462","7,794","1,111","1,905","1,220",52,0,0,0,0
2020년12월_남_0~9세,"1,706",193,210,415,576,84,127,101,0,0,0,0,0
2020년12월_남_10~19세,"1,965",278,129,541,719,55,170,71,2,0,0,0,0
2020년12월_남_20~29세,"3,789",404,364,"1,100","1,109",312,283,216,1,0,0,0,0
2020년12월_남_30~39세,"2,583",304,254,716,831,148,182,146,2,0,0,0,0
2020년12월_남_40~49세,"3,036",364,214,863,"1,072",112,289,116,6,0,0,0,0
2020년12월_남_50~59세,"3,857",483,266,"1,094","1,366",129,332,177,10,0,0,0,0
2020년12월_남_60~69세,"3,290",366,251,929,"1,117",129,275,215,8,0,0,0,0
2020년12월_남_70~79세,"2,085",260,141,561,711,101,167,129,15,0,0,0,0
2020년12월_남_80~89세,813,97,80,217,255,35,76,45,8,0,0,0,0
2020년12월_남_90~99세,81,8,6,22,34,4,3,4,0,0,0,0,0
2020년12월_남_100세 이상,11,0,0,4,4,2,1,0,0,0,0,0,0
2020년12월_여_총인구수,"21,483","2,657","1,656","5,592","7,689",890,"1,891","1,051",57,0,0,0,0
2020년12월_여_연령구간인구수,"21,483","2,657","1,656","5,592","7,689",890,"1,891","1,051",57,0,0,0,0
2020년12월_여_0~9세,"1,659",227,154,411,595,82,106,84,0,0,0,0,0
2020년12월_여_10~19세,"1,830",224,124,457,745,41,172,66,1,0,0,0,0
2020년12월_여_20~29세,"2,057",272,179,521,723,117,165,78,2,0,0,0,0
2020년12월_여_30~39세,"2,104",247,199,537,743,91,169,117,1,0,0,0,0
2020년12월_여_40~49세,"2,651",315,165,752,"1,006",78,249,83,3,0,0,0,0
2020년12월_여_50~59세,"3,370",416,211,950,"1,194",114,316,163,6,0,0,0,0
2020년12월_여_60~69세,"3,436",405,246,905,"1,214",143,317,193,13,0,0,0,0
2020년12월_여_70~79세,"2,631",335,226,648,879,126,223,168,26,0,0,0,0
2020년12월_여_80~89세,"1,431",183,123,333,484,79,138,86,5,0,0,0,0
2020년12월_여_90~99세,280,31,27,70,91,16,33,12,0,0,0,0,0
2020년12월_여_100세 이상,34,2,2,8,15,3,3,1,0,0,0,0,0
