카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년01월_계_총인구수,"3,361,344","1,044,579","260,206","219,933","177,026","193,975","193,439","347,489","131,089","111,845","542,713","105,459","248,130","351,168","27,131","65,491","62,182","52,204","43,539","46,331","35,336","39,555","62,049","45,054"
2020년01월_계_연령구간인구수,"3,361,344","1,044,579","260,206","219,933","177,026","193,975","193,439","347,489","131,089","111,845","542,713","105,459","248,130","351,168","27,131","65,491","62,182","52,204","43,539","46,331","35,336","39,555","62,049","45,054"
2020년01월_계_0~9세,"284,183","87,550","21,798","17,832","13,135","14,159","20,626","29,491","10,728","8,713","51,933","5,928","28,625","36,210","1,148","4,544","3,565","2,889","1,666","2,091","1,510","1,938","3,961","1,693"
2020년01월_계_10~19세,"332,811","103,181","24,248","24,566","14,193","19,094","21,080","36,123","13,067","10,474","63,050","8,127","28,262","34,264","1,609","6,172","4,294","4,157","3,144","3,096","2,199","3,124","5,830","2,638"
2020년01월_계_20~29세,"386,854","133,740","36,383","33,872","19,611","23,226","20,648","44,886","11,848","11,075","69,392","9,483","25,159","41,435","2,139","5,845","5,230","4,128","3,354","3,860","2,623","3,286","6,086","3,285"
2020년01월_계_30~39세,"420,582","139,502","35,532","30,548","21,670","22,825","28,927","42,566","15,415","12,624","72,512","9,297","39,775","51,997","1,915","6,254","5,505","4,312","2,647","3,087","2,332","2,755","5,266","2,821"
2020년01월_계_40~49세,"543,802","170,332","41,147","37,570","25,790","31,174","34,651","55,204","21,715","17,940","99,794","13,264","47,384","60,311","2,978","9,722","7,253","6,718","4,796","5,506","3,680","4,634","8,030","4,541"
2020년01월_계_50~59세,"585,162","188,813","50,537","44,308","30,222","35,392","28,354","57,886","23,012","18,579","94,977","19,346","38,530","58,044","4,787","11,483","11,290","9,300","7,587","8,826","6,754","7,091","10,741","8,116"
2020년01월_계_60~69세,"432,284","132,239","31,560","21,376","28,805","28,408","22,090","42,863","19,271","15,619","53,507","20,070","24,368","39,731","5,102","10,449","11,513","9,237","7,933","8,479","6,803","6,873","9,584","8,643"
2020년01월_계_70~79세,"239,878","60,889","12,760","6,581","15,962","14,172","11,414","25,033","10,887","10,558","25,415","12,323","10,433","20,043","4,067","6,602","8,033","6,816","6,858","6,451","5,333","5,580","7,154","7,403"
2020년01월_계_80~89세,"119,203","25,017","5,486","2,863","6,682","4,943","5,043","11,736","4,543","5,487","10,742","6,726","4,806","8,083","2,970","3,919","4,888","4,045","4,747","4,255","3,569","3,717","4,713","5,240"
2020년01월_계_90~99세,"15,864","3,148",723,397,894,544,590,"1,618",578,752,"1,312",856,750,995,409,493,586,589,789,659,520,526,644,640
2020년01월_계_100세 이상,721,168,32,20,62,38,16,83,25,24,79,39,38,55,7,8,25,13,18,21,13,31,40,34
2020년01월_남_총인구수,"1,691,504","529,176","132,348","112,345","88,078","97,511","98,894","171,917","65,897","56,399","274,438","51,578","130,147","176,291","13,223","33,120","30,945","26,174","20,939","23,037","17,300","19,058","30,275","21,590"
2020년01월_남_연령구간인구수,"1,691,504","529,176","132,348","112,345","88,078","97,511","98,894","171,917","65,897","56,399","274,438","51,578","130,147","176,291","13,223","33,120","30,945","26,174","20,939","23,037","17,300","19,058","30,275","21,590"
2020년01월_남_0~9세,"146,194","45,313","11,243","9,118","6,854","7,360","10,738","15,359","5,408","4,509","26,466","2,999","14,758","18,522",589,"2,263","1,845","1,471",893,"1,092",801,990,"2,048",868
2020년01월_남_10~19세,"174,439","54,163","12,766","13,076","7,406","10,042","10,873","19,048","6,798","5,411","32,996","4,267","14,878","17,618",870,"3,275","2,303","2,245","1,705","1,646","1,157","1,603","3,079","1,377"
2020년01월_남_20~29세,"213,831","74,053","20,145","18,756","10,770","12,741","11,641","24,702","6,426","6,640","37,478","5,428","13,969","22,169","1,188","3,340","2,988","2,418","1,997","2,263","1,489","1,868","3,565","1,850"
2020년01월_남_30~39세,"219,187","73,375","18,698","16,170","11,486","12,035","14,986","21,553","8,006","6,713","37,139","4,911","21,224","26,642","1,013","3,196","3,040","2,349","1,387","1,705","1,257","1,431","2,688","1,558"
2020년01월_남_40~49세,"280,337","86,309","20,689","17,865","13,565","15,804","18,386","27,522","11,789","9,603","49,683","7,013","25,851","30,606","1,735","5,287","4,118","3,759","2,614","3,095","2,058","2,540","4,171","2,584"
2020년01월_남_50~59세,"298,103","93,900","24,966","21,927","14,858","17,646","14,503","28,483","11,674","9,706","49,023","9,760","20,334","29,378","2,617","6,263","5,920","5,015","4,010","4,766","3,609","3,734","5,506","4,405"
2020년01월_남_60~69세,"214,869","65,632","16,052","11,509","13,731","13,554","10,786","20,558","9,435","7,570","27,200","9,732","12,750","19,508","2,621","5,405","5,746","4,615","3,858","4,333","3,515","3,389","4,664","4,338"
